	KRAS	HRAS	BRAF	RAF1	MAP3K1	MAP3K2	MAP3K3	MAP3K4	MAP3K5	MAP2K1	MAP2K2	MAP2K3	MAP2K4	MAP2K5	MAPK1	MAPK3	MAPK4	MAPK6	MAPK7	MAPK8	MAPK9	MAPK12	MAPK14	DAB2	RASSF1	RAB25
TCGA-46-3768-01	0.259	-0.491	0.341	-0.535	-0.503	0.266	0.281	0.189	0.189	-0.23	0.172	0.281	-0.501	-0.23	0.109	-0.041	-0.222	-0.23	-0.501	0.14	-0.525	0.109	-0.391	0.894	-0.535	0.544
TCGA-46-3769-01	0.547	-0.409	0.295	-0.077	-0.389	0.105	-0.446	0.383	0.251	-0.029	-0.043	0.269	0.049	-0.029	0.609	-0.007	1.797	-0.425	0.049	0.361	0.27	-0.11	-0.034	0.971	-0.075	0.293
TCGA-46-6025-01	0.358	-0.212	0.191	0.334	-0.168	-0.237	0.955	-0.172	-0.172	-0.223	-0.192	-0.136	-0.136	0.262	0.39	0.129	-0.217	0.581	-0.136	-0.191	-0.224	0.964	0.494	1.19	-0.163	0.514
TCGA-46-6026-01	0.537	0.484	-0.399	-0.397	-0.875	0.065	0.499	0.548	0.548	-0.389	-0.39	-0.392	-0.392	-0.389	0.062	0.071	0.136	-0.364	-0.392	0.056	-0.875	0.062	0.546	1.756	-0.397	-0.381
TCGA-51-4079-01	0.184	0.071	0.123	-0.416	-0.53	0.057	0.014	0.041	0.048	0.214	-0.273	0.014	0.014	0.214	-0.072	0.076	-0.407	0.214	0.014	0.085	-0.526	-0.072	-0.023	0.007	-0.398	0.95
TCGA-51-4080-01	0.015	0.04	-0.009	-0.907	-0.019	1.553	0.868	-0.015	0.009	0.049	-0.034	-0.918	-0.918	0.049	0.083	0.024	0.042	0.049	-0.918	-0.881	0.002	0.02	-0.023	-0.019	-0.907	0.835
TCGA-51-4081-01	0.863	0.021	0.147	-0.684	-0.654	-0.359	0.053	-0.262	-0.224	0.042	-0.172	0.044	0.002	0.042	0.733	0.084	0.115	0.042	0.033	-0.59	-0.648	-0.088	-0.617	0.868	-0.661	0
TCGA-56-1622-01	1.047	-0.525	-0.509	-0.49	-0.494	0.407	0.5	0.24	0.24	-0.015	-0.141	-0.374	-0.374	-0.015	1.323	0.368	-0.495	-0.015	-0.374	-0.516	-0.494	1.323	0.261	0.555	-0.481	0.034
TCGA-56-5897-01	0	0.024	0.008	-0.297	-0.193	-0.137	-0.068	-0.03	-0.03	0.047	-0.112	-0.139	-0.139	0.047	0.363	-0.006	-0.291	0.048	-0.139	0.027	-0.3	0.357	0.015	-0.193	-0.297	0.024
TCGA-56-5898-01	0.142	-0.085	0.116	-0.417	0.178	0.12	-0.131	0.077	0.077	0	-0.397	-0.412	-0.412	0	0.495	-0.035	0.111	0	-0.412	-0.411	-0.396	0.495	0.19	0.178	-0.417	0.196
TCGA-56-6545-01	0.245	-0.265	-0.261	0.008	-0.243	0.519	0	-0.253	-0.253	-0.09	0.024	0	0	-0.09	0.227	-0.288	-0.12	-0.09	0	-0.048	0.008	0.227	0.301	0.976	-0.172	0.249
TCGA-56-6546-01	0.164	0.023	0.175	-0.04	-0.224	0.151	-0.043	0.118	0.13	-0.037	-0.228	-0.043	-0.043	-0.037	-0.106	-0.045	0.092	-0.037	-0.043	-0.011	-0.236	-0.106	0.13	0.697	-0.04	-0.019
TCGA-60-2698-01	1.597	-0.34	0.044	-0.308	-0.298	0.105	0.054	0.096	0.096	-0.278	-0.129	0.523	-0.334	-0.278	-0.154	0.065	-0.511	-0.278	0.523	-0.303	-0.028	0.021	-0.239	0.065	-0.308	0.358
TCGA-60-2707-01	0.003	-0.006	0	-0.519	-0.516	0.065	0.112	-0.424	-0.426	-0.027	-0.446	0.112	-0.454	-0.027	0.238	0.095	-0.097	-0.027	0.112	0.043	-0.532	0.222	-0.354	0.477	-0.51	0.115
TCGA-60-2708-01	0.637	-0.144	0.955	-0.71	-0.226	0.271	0.212	0.04	0	-0.255	0.354	0.729	-0.299	-0.255	1.559	-0.299	-0.215	-0.255	-0.299	-0.248	-0.248	1.559	0	-0.181	-0.71	0.265
TCGA-60-2709-01	0.043	-0.024	0.128	-0.118	-0.114	0	0.076	-0.072	-0.079	0.003	0.088	0.076	0.076	0.003	0.082	-0.083	0.079	0.003	0.076	-0.116	-0.122	0.082	-0.015	0.392	-0.118	0.033
TCGA-60-2710-01	0.01	0.02	0.032	-0.638	-0.621	0	-0.001	0.008	0.008	0.587	-0.04	1.699	-0.656	0.587	-0.015	-0.059	0.025	0.587	-0.656	0.024	-0.626	-0.068	0.008	0.559	-0.636	-0.006
TCGA-60-2711-01	0.576	0	0.561	-0.533	-0.528	0.746	0.557	0.37	0.37	0.819	-0.485	0.557	-0.579	0.819	0.559	-0.053	0.563	0.652	-0.579	-0.015	-0.529	0.559	-0.097	1.195	-0.533	0.011
TCGA-60-2712-01	0.144	-0.131	-0.44	-0.446	0.138	0.181	-0.096	0.024	0.024	-0.404	0.175	-0.4	-0.4	-0.404	-0.093	-0.074	0.163	-0.404	-0.4	0.158	0.145	-0.058	0.024	0.138	-0.446	0
TCGA-60-2713-01	0.1	0.031	0.01	-0.626	-0.628	0.052	0.017	0.033	0.033	0	0.019	-0.612	-0.612	0	0	0.378	0.045	-0.006	-0.612	-0.603	-0.637	0.635	0	0.55	-0.626	-0.002
TCGA-60-2715-01	-0.014	-0.074	0.082	-0.103	0	-0.1	0.269	-0.098	-0.061	0.05	-0.059	0.053	0.053	0.05	0.037	0.06	-0.098	0.05	0.053	-0.102	-0.11	0.031	0.22	0	-0.098	0.133
TCGA-60-2719-01	0.177	0.172	0.235	-0.595	-0.695	0.208	-0.197	0.174	0.177	0.234	0.208	-0.26	-0.263	0.234	0.265	-0.685	-0.06	0.234	-0.26	-0.68	-0.655	0.265	0.222	1.869	-0.595	-0.21
TCGA-60-2720-01	0	-0.17	0.06	-0.212	-0.226	0.069	-0.227	0.075	0.075	-0.231	-0.218	-0.227	-0.227	-0.231	0.117	-0.236	-0.192	-0.231	-0.227	0.007	0.091	0.117	0.087	0.715	-0.009	0.079
TCGA-60-2721-01	0.018	-0.575	0.011	-0.587	-0.462	-0.014	0.052	0.061	0.061	0.019	-0.559	-0.555	-0.555	0.019	-0.021	0.015	0.012	0.019	-0.555	-0.018	-0.624	-0.021	0.061	0.319	-0.59	0.36
TCGA-60-2722-01	-0.132	0.299	0.486	-0.694	-0.101	-0.086	0.209	-0.697	-0.697	0.179	-0.307	-1.293	-0.808	0.179	0.63	0.188	0.366	0.179	-0.784	-0.125	-0.804	0.63	-0.312	-0.126	-0.71	2.229
TCGA-60-2723-01	0.442	-0.612	0.131	-0.229	-0.24	0.049	0.485	0.238	0.238	-0.234	-0.229	-0.237	-0.237	-0.234	0.989	-0.248	0.026	-0.234	-0.237	-0.242	-0.2	0.989	-0.24	1.168	-0.229	0.264
TCGA-60-2724-01	0.131	-0.38	-0.06	-0.365	-0.363	-0.107	0.087	-0.036	-0.036	0.112	0.003	0.127	0.049	0.112	0.061	0.301	-0.049	0.112	0.488	0.107	-0.384	0.061	0	1.674	-0.382	0.085
TCGA-60-2725-01	0.338	-0.009	0.031	-0.214	-0.217	-0.017	0.169	0.181	0.15	0.148	0.093	-0.229	-0.229	0.148	0.499	0.475	0.121	0.148	-0.229	-0.221	-0.217	0.447	-0.17	0.351	-0.221	0.147
TCGA-60-2726-01	0.641	-0.196	-0.208	-0.196	0.02	0.199	0.27	-0.203	-0.217	-0.191	-0.096	-0.196	-0.196	-0.191	0.346	0.429	-0.646	-0.191	-0.196	0.287	0	0.346	0.247	0.789	-0.205	0.231
TCGA-63-5128-01	1.518	0.026	0.414	-0.383	-0.419	0.022	0.022	-0.348	-0.348	0.464	0.364	0.022	0.436	0.464	0.442	-0.417	0.432	0.455	0.022	-0.408	-0.419	0.462	0.039	0.465	-0.371	0.438
TCGA-63-5131-01	0.004	-0.373	0.283	-0.34	-0.381	0.248	0.911	0.056	0.056	-0.352	-0.087	-0.404	-0.404	-0.352	0.307	0.191	-0.453	-0.347	-0.404	-0.046	-0.381	0.307	0.037	1.596	-0.34	0.297
TCGA-63-6202-01	0.006	-0.16	0.375	0.036	0.366	-0.378	0.268	-0.192	-0.192	-0.081	-0.106	-0.18	-0.18	-0.081	-0.201	-0.203	0.064	-0.081	-0.18	0.268	-0.179	-0.201	0.279	1.147	-0.092	0.928
TCGA-66-2727-01	0.29	0.064	0.034	-0.254	-0.273	0.022	0.038	0.654	0.673	-0.003	-0.133	-0.505	-0.505	-0.003	-0.247	-0.265	0.067	-0.003	-0.505	-0.143	0.035	-0.254	0.019	1.364	-0.572	0.3
TCGA-66-2734-01	-0.002	0.141	0.126	-0.248	-0.25	-0.051	-0.023	0.112	0.112	0.134	-0.126	0.495	-0.288	0.134	0.265	-0.146	-0.244	0.134	0.418	0.001	-0.25	0.265	0.112	0.179	-0.248	0.135
TCGA-66-2742-01	-0.025	-0.37	0.465	-0.377	-0.359	0	0.582	-0.017	-0.017	-0.358	-0.08	-0.392	-0.392	-0.358	0.141	0.008	-0.005	-0.358	-0.392	0.115	-0.389	0.141	-0.022	0.307	-0.372	1.475
TCGA-66-2744-01	0.446	-0.043	1.064	0.036	0.005	0.331	-0.035	0.017	0.017	-0.017	-0.063	-0.035	-0.058	-0.017	1.133	0.098	-0.388	-0.017	-0.035	-0.039	-0.016	-0.05	-0.017	1.052	-0.017	-0.02
TCGA-66-2754-01	0.619	0.068	-0.492	-0.535	-0.498	0.023	0.584	0.091	0.122	0.595	-0.158	-0.565	-0.565	0.595	-0.286	0.006	0.093	-0.502	-0.565	-0.502	-0.619	-0.286	1.081	0.571	-0.538	0.48
TCGA-66-2755-01	0.024	0.014	0.504	-0.211	-0.504	0.019	0.017	0.447	0.447	-0.046	0.007	0.017	0.017	-0.046	0.256	0.017	0.034	-0.046	0.017	-0.146	-0.504	0.256	0	0.423	-0.211	0.504
TCGA-66-2756-01	0.476	-0.067	1.796	-0.518	-0.484	-0.049	0.934	-0.003	-0.011	-0.534	-0.559	-0.058	-0.058	-0.534	2.257	0.217	0	-0.534	-0.058	-0.279	-0.446	-0.067	-0.033	3.218	-0.523	0.938
TCGA-66-2757-01	0.06	0.049	-0.061	-0.897	-0.911	0	1.149	0.48	0.48	0.019	-0.067	-0.905	-0.905	0.019	-0.795	-0.113	0.033	0.019	-0.905	-0.896	-0.904	-0.795	0.463	0.764	-0.897	0.007
TCGA-66-2758-01	0.587	-0.329	0.688	-0.319	-0.331	0.414	0.378	-0.343	-0.341	0.043	0.063	-0.248	0.38	0.043	0.041	-0.373	-0.725	0.043	-0.791	-0.334	-0.08	0.792	-0.353	1.198	-0.319	0.656
TCGA-66-2759-01	0	-0.358	0.054	-0.008	-0.298	0.192	0.023	-0.016	1.485	0.011	-0.387	-0.371	-0.373	0.011	-0.345	0.04	0.609	0.011	-0.371	-0.383	-0.309	-0.345	-0.013	0.737	-0.396	0.205
TCGA-66-2763-01	0.009	-0.519	0.141	-0.506	-0.423	0.254	0.113	-0.49	-0.469	-0.038	0.055	-0.52	-0.52	-0.038	-0.016	0.83	-0.486	-0.056	-0.52	0.331	-0.453	-0.09	0	0.013	-0.486	0.329
TCGA-66-2765-01	0.005	0.476	0.011	-0.497	0.017	0.006	-0.049	0.498	0.498	-0.029	-0.071	-0.062	-0.062	-0.029	-0.055	-0.006	-0.478	-0.029	-0.062	-0.004	0.007	-0.055	0.483	0.017	-0.497	0
TCGA-66-2766-01	0.064	-0.519	0.56	0.692	-0.541	0.042	0.011	0	0	0.074	-0.559	-0.494	-0.494	0.074	0.343	-0.005	-0.441	0.074	-0.494	0.055	0.225	0.025	0.485	1.568	-0.276	0.022
TCGA-66-2767-01	1.196	0.205	0.305	-0.262	-0.053	0.183	0.197	-0.046	-0.046	-0.256	0.079	-0.287	-0.287	2.441	-0.037	0.181	0.047	-0.256	-0.287	-0.096	-0.095	-0.037	-0.081	-0.053	-0.266	0.094
TCGA-66-2768-01	0.011	-0.578	0.008	-0.58	-0.583	-0.056	-0.035	-0.017	0.032	0.002	-0.652	-0.623	-0.623	0.002	-0.018	-0.021	-0.58	0.014	-0.623	0.001	-0.017	-0.018	0.003	0.574	-0.593	0
TCGA-66-2770-01	-0.07	0.462	-0.369	-0.372	-0.079	0.175	0.181	-0.083	-0.083	0.188	0.213	0.206	0.206	0.188	-0.099	0.2	0.237	0.188	0.206	-0.377	-0.079	-0.084	-0.086	0.449	-0.372	0.647
TCGA-66-2771-01	0.094	-0.329	0.161	-0.326	-0.314	-0.036	0.101	0.022	0.127	0.103	0.046	-0.358	-0.358	0.103	-0.321	0.081	-0.187	0.103	-0.358	-0.089	-0.371	-0.341	-0.303	0.376	-0.326	-0.217
TCGA-66-2773-01	0.107	-0.306	-0.306	-0.303	-0.255	0.157	0.267	-0.376	-0.361	0.259	0.023	-0.205	-0.205	0.259	0.261	-0.112	-0.378	0.254	-0.205	0.026	-0.325	0.251	0.057	-0.255	-0.304	0.369
TCGA-66-2777-01	0.21	0.146	-0.04	-0.316	-0.29	0.198	0.134	-0.097	0.029	0.097	-0.409	-0.397	-0.397	0.097	0.634	0.075	0.265	0.097	-0.397	0.172	-0.452	0.517	0.029	0.231	-0.373	0.318
TCGA-66-2778-01	-0.007	-0.07	0.008	-0.361	0.366	-0.001	-0.082	0.009	0.009	0.004	-0.023	-0.082	-0.082	0.004	-0.169	-0.059	0.003	0.004	-0.082	-0.009	-0.358	-0.353	0	0.366	-0.361	0.005
TCGA-66-2780-01	0.058	-0.448	0.104	-0.449	0.024	0	-0.452	-0.286	-0.286	0.042	-0.429	-0.465	-0.47	0.042	0.039	0.014	-0.435	0.042	-0.465	0.049	-0.489	0.055	-0.087	0.175	-0.449	0.045
TCGA-66-2781-01	0.372	-0.386	0.026	-0.334	-0.692	0	0.292	0.149	0.149	-0.004	-0.103	-0.404	-0.404	-0.004	0.429	0.259	-0.398	-0.004	-0.404	-0.033	-0.409	0.429	0.272	-0.004	-0.342	0.139
TCGA-66-2782-01	0.041	-0.333	0.315	-0.328	0.222	0.071	-0.122	-0.327	-0.327	-0.073	-0.314	-0.122	-0.122	-0.073	-0.183	0.298	-0.051	-0.073	-0.122	0.192	-0.293	-0.188	-0.231	0.222	-0.33	0.113
TCGA-66-2783-01	0.019	-0.009	0.006	-0.597	0.008	0.015	-0.069	-0.588	-0.572	-0.093	-0.131	-0.618	-0.618	-0.079	-0.021	-0.055	0.022	-0.021	-0.618	-0.037	0.543	0.492	-0.016	0.013	-0.616	0.846
TCGA-66-2785-01	0.371	-0.369	0.355	-0.352	-0.722	0.34	-0.037	0.01	0.01	0.003	-0.377	-0.379	-0.379	0.003	-0.366	-0.347	-0.374	0.016	-0.379	0.028	-0.371	0.334	0.659	0.368	-0.352	0.647
TCGA-66-2786-01	0.024	0.001	0.009	-0.61	-0.598	-0.062	-0.586	0.848	0.306	0.033	-0.556	-0.569	-0.599	0.033	0.038	-0.329	0.251	0.033	-0.569	-0.091	-0.601	0.008	-0.387	1.347	-0.61	0.021
TCGA-66-2787-01	0.273	0.039	0.346	-0.284	-0.296	0.061	0.641	0.039	0.039	0.013	0.189	0.289	0.967	0.295	-0.038	-0.268	0.278	0.013	-0.34	-0.302	-0.296	-0.024	0.039	0.581	-0.284	0.771
TCGA-66-2788-01	0.018	-0.345	-0.109	-0.322	-0.325	0.004	0.067	0.085	0.082	-0.017	-0.316	-0.331	-0.331	-0.017	0.11	0	-0.041	-0.017	-0.331	-0.103	-0.325	0.269	0.066	0.482	-0.32	0.06
TCGA-66-2789-01	0.081	-0.511	-0.01	0.027	-0.547	-0.019	0.635	0.347	0.205	0.062	-0.425	-0.475	-0.475	0.062	-0.473	0.093	-0.012	0.062	-0.475	0.086	-0.542	-0.473	-0.271	0.52	-1.077	0.039
TCGA-66-2791-01	0.086	-0.225	0.107	-0.126	-0.319	-0.224	0.326	-0.322	-0.322	0.151	-0.034	-0.348	-0.348	0.151	0.202	0.155	-0.288	-0.321	-0.348	-0.202	0.183	-0.295	0.165	0.42	-0.311	0.257
TCGA-66-2792-01	0.065	-0.455	0.043	-0.427	-0.419	0.637	0.581	0.053	-0.42	0	0.047	0.436	0.436	0	0.637	-0.533	-0.44	0.475	0.436	-0.458	-0.501	0.619	-0.467	1.004	-0.439	0.037
TCGA-66-2793-01	0.297	-0.393	0.282	-0.727	-0.736	-0.225	0.632	1.733	0.849	-0.212	-0.75	-0.255	1.184	-0.212	-0.754	0.4	-0.017	-0.212	-0.255	-0.753	-0.757	-0.761	0.696	-0.736	-0.742	0.25
TCGA-66-2794-01	1.107	0.022	0.568	-0.02	-0.608	0.008	0.005	-0.005	-0.005	-0.602	0.465	-0.015	-0.015	-0.602	0.04	-0.023	0.695	-0.58	-0.015	-0.07	-0.664	0.695	-0.62	0.534	-0.032	0.035
TCGA-66-2795-01	0.054	-0.221	0.086	-0.708	0.045	0.003	0.747	-0.713	-0.671	0.019	-0.739	-0.719	-0.719	0.019	-0.729	-0.034	-0.671	-0.44	-0.719	-0.056	0.009	-0.013	0.008	0.644	-0.67	1.934
TCGA-66-2800-01	0.133	-0.475	0.313	-0.315	-0.515	-0.138	0.08	0	-0.004	-0.335	0.213	0.041	0.041	-0.335	0.493	-0.322	0.194	-0.335	0.041	-0.414	-0.573	-0.212	0.016	1.023	-0.336	0.168
TCGA-70-6722-01	0.195	-0.053	0.228	-0.267	-0.023	1.005	-0.027	0.093	0.093	-0.127	-0.027	-0.122	-0.122	-0.127	0.141	0.264	-0.116	-0.127	-0.122	0	-0.085	-0.084	0.09	-0.023	-0.239	0.051
TCGA-70-6723-01	1.084	-0.467	0.398	-0.442	-0.409	0.671	0.164	-0.425	-0.425	0	-0.512	0.481	0.987	0	0.126	-0.446	-1.035	-0.044	0.481	-0.406	-0.411	-0.447	1.755	0.13	-0.438	1.397
TCGA-85-6175-01	-0.041	-0.067	0.051	-0.115	0.127	0.106	0.542	0.01	0.01	-0.115	-0.222	-0.009	-0.009	-0.115	0.15	0.111	-0.141	-0.115	-0.009	-0.029	0.127	0.15	0.121	0.127	-0.115	-0.109
TCGA-85-6560-01	0.551	0.151	-0.227	-0.228	-0.242	0.136	0.338	0.143	0.143	-0.223	-0.212	-0.223	-0.587	-0.223	-0.147	0.161	-0.239	-0.223	-0.502	0.522	-0.236	-0.159	0.549	1.209	-0.226	0.159
TCGA-85-6561-01	0	-0.111	0.116	-0.308	-0.314	0.014	-0.061	-0.067	-0.067	0.111	0.135	0.051	0.051	0.111	0.138	-0.018	-0.303	0.111	0.051	0.154	-0.307	0.138	-0.029	-0.314	-0.308	0.121
