	x	y
R869	29.4368412489	67.5545281141
R870	40.0500951983	71.8890335708
R871	37.5747950188	69.9887444412
R872	49.3104686263	67.1687603206
R873	47.3480185524	72.5916115408
R874	50.157414434	71.1617258246
R875	58.2100082697	68.0445380719
R876	56.6089076561	70.4089460888
R877	52.8338205303	72.5518862725
R878	61.8185854576	76.1128240228
R879	61.7276334143	77.0692384058
R880	62.1922520815	76.1568192103
R881	58.1187658587	73.1189614684
R882	58.2704123843	35.5968950425
R883	59.7665303129	32.6212516009
R884	52.5355347207	27.1741229419
R885	50.8925215809	29.1452839382
R886	49.9675511775	28.4602033343
R887	51.3478832298	27.3642602259
R888	37.5551162883	24.5376638386
R889	39.1995941778	23.6804956588
R890	36.3827221955	25.2380052325
R891	41.1006943822	26.5526132161
R892	28.2178118248	28.2802924847
R893	33.7970720433	28.6997507433
R894	43.9193873055	27.7978445882
R895	44.4164011084	28.9476923345
R896	28.0376027706	26.8038243613
R897	31.6895761296	26.6664002089
R898	27.2796128523	19.2572809685
R899	31.2218783581	26.4408557812
R900	33.5458051034	20.0807081014
R901	39.7363306065	23.4948069772
R902	42.8418426525	20.3339004396
R903	47.0937298879	26.9934706312
R904	51.4536583539	26.0229417521
R905	49.3677068167	22.005580703
R906	48.2534809736	29.2708555331
R907	61.0029597643	30.0153144324
R908	60.8065608049	27.8683134861
R909	59.0674270249	26.7882840217
R910	61.4146337175	31.0393750583
R911	68.9343694692	31.6198930866
R912	63.0652438592	34.2357465852
R913	72.2725228706	67.6444437851
R914	75.3598819664	75.4216145799
R915	72.8336258709	72.1146938095
R916	70.8104148392	79.3504618327
R917	45.8019347617	81.6582677456
R918	45.835020171	82.7425919919
R919	40.0788064496	80.2471852579
R920	51.9829247003	82.2043834675
R921	57.337906053	84.9995188696
R922	62.3362327624	83.2465678988
R923	58.5059100905	81.7455863409
R924	56.2479351377	83.513949493
R925	55.4065208295	80.2666719669
R926	53.2839688423	84.2635992213
R927	44.6767615455	80.2382855483
R928	30.0112642472	68.1467563743
R929	29.7452539206	74.4045268347
R930	37.3099483549	72.5861552003
R931	61.1359469093	82.5375693646
R932	61.7206191907	85.7056934492
R933	63.6093798555	83.3600288362
R934	70.7237162322	87.1522075165
R935	75.0063926418	82.4258351563
R936	75.0925497814	83.4373907092
R937	70.3279291834	82.0293546968
R938	70.8633308324	79.4081747457
R939	75.7799048195	79.8861994199
R940	78.0936590733	77.759558184
R941	76.7457612243	71.9733600919
R942	78.4646034437	69.7493008209
R943	76.7456848486	70.0440572588
R944	85.161682187	65.5124047088
R945	91.8083525691	34.9655944844
R946	91.8874485924	34.7692538555
R947	92.2484016622	32.3771544295
R948	91.782532741	34.3842946521
R949	96.0805193672	28.0536005018
R950	92.2478988278	28.0707514904
R951	57.662276619	24.0606079328
R952	59.8469248931	26.1777124879
R953	64.0670962137	27.7765005568
R954	60.9815013975	23.9342981582
R955	59.9670579092	26.8025832185
R956	62.7074541119	21.9955085787
R957	69.1952352018	22.709792166
R958	65.5923626471	20.6941731019
R959	64.6170985343	22.4431455531
R960	59.191159132	17.767901807
R961	55.8396313724	21.6185696663
R962	59.0007586238	21.1710074885
R963	56.4593711284	25.1445642082
R964	52.3581053558	19.4170541222
R965	51.8116637782	17.0334945954
R966	54.222845621	19.503665544
R967	49.0187553996	23.4892740197
R968	35.6535812004	17.5145080595
R969	46.965785757	16.7892016247
R970	49.5842392555	16.7579160147
R971	51.8562999655	21.969084007
R972	55.9528886329	16.7897576048
R973	51.6637862607	19.9251251977
R974	45.8596693166	17.1289036754
R975	39.7403795202	18.7410514146
R976	52.8112216438	17.8549881176
R977	56.7891043639	17.3061155207
R978	54.1145317806	17.6735343896
R979	55.571119732	17.369574581
R980	65.3064624975	18.1973548277
R981	66.9907491546	17.2228706509
R982	72.1567189391	16.8142747914
R983	70.9805804021	17.15575228
R984	72.2220822073	19.3692816955
R985	79.7001583481	20.740218365
R986	64.2491606461	14.9139624607
R987	66.9432914334	20.1891325034
R988	66.9416766634	18.2435093914
R989	39.6482666468	22.7313663718
R990	37.9497836858	26.5217492344
R991	86.5043905611	34.8940252874
R992	50.8154853559	78.950838805
R993	51.1834666638	85.1288546497
R994	40.8638552293	82.9261452983
R995	51.1479167122	90.8674123313
R996	50.5171258092	89.1023945866
R997	50.2074801993	85.4600473951
R998	50.0694819181	83.0576695262
R999	50.5628463386	82.9378217764
R1000	50.288527801	82.9752535659
R1001	25.5834750822	82.9148911324
R1002	25.4835833896	82.929084979
R1003	25.4435257049	82.8742004973
R1004	25.5651134237	82.9240977704
R1005	25.9288442731	82.8211841087
R1006	27.5514782612	51.4873865306
R1007	27.5304663693	51.4148465629
R1008	27.0955703605	52.0767994399
R1009	27.4392496133	51.7120790527
R1010	27.8782642594	50.70890793
R1011	27.3388689181	51.6530467544
R1012	27.6784029741	51.1819891691
R1013	52.6356576791	51.4185522584
R1014	52.0252141055	52.1230110467
R1015	52.8811647904	50.6215547554
R1016	52.9526073133	50.0747390118
R1017	52.5205524936	51.5024421035
R1018	52.3428220582	51.8619520908
R1019	51.9275902141	52.2577906065
R1020	52.7137744894	51.1979443188
R1021	50.4438027888	82.9418288173
R1022	50.2166950326	83.7523429676
R1023	52.1841801076	51.9752506714
R1024	52.7920973459	51.0733956509
R1025	52.5897198565	51.338090196
R1026	52.0288486671	52.1768375002
R1027	52.729246581	51.2017650475
R1028	52.8843132864	50.4414354501
R1029	52.5093008862	51.4162051508
R1030	50.8626843321	17.1456310914
R1031	50.8914922458	17.1413237277
R1032	25.8551275976	17.0819086886
R1033	26.0256445518	16.9250135319
R1034	27.8931727187	50.6619634101
R1035	27.6399679354	51.3990974838
R1036	27.892658895	50.7952815163
R1037	52.7977329399	50.6860370901
R1038	27.5806388053	51.5247612607
R1039	26.4913985349	17.4053909738
R1040	25.9853178159	17.203722132
R1041	26.2014192753	17.0938239128
R1042	25.8575694746	17.113842659
R1043	50.7046843629	17.0237445436
R1044	50.8119753465	17.1149252621
R1045	50.5648455577	17.0777773216
R1046	50.9393039127	16.981021883
R1047	50.4588548392	17.0385789686
R1048	52.9013640729	50.6905627231
R1049	52.6849534438	51.2944692191
R1050	52.500088943	51.594356165
R1051	51.8356372562	52.3357655339
R1052	76.9954121013	52.0455286534
R1053	77.310600475	51.7467300374
R1054	77.9260443352	50.3186604237
R1055	77.2543883433	51.4618248152
R1056	76.2431578028	52.1236898503
R1057	77.0844843669	51.9671367003
R1058	75.2280531954	82.9856620201
R1059	50.6583547714	83.1144793358
R1060	50.2033658114	82.9826568621
R1061	50.9295476993	82.8460411252
R1062	50.1786718465	83.1846223323
R1063	50.422698058	82.9099014671
R1064	50.4642248341	82.9353284131
R1065	50.4492703306	83.9699203811
R1066	49.9283802752	82.9936654888
R1067	50.4880136436	83.0995191232
R1068	49.9649053793	83.7083177013
R1069	50.7521082559	82.9019500961
R1070	27.4224292143	51.4388762325
R1071	27.6740833991	51.3041121452
R1072	27.5373953151	51.5936540762
R1073	52.2633473764	94.2493278274
R1074	51.7372816586	92.9791175339
R1075	75.8709636929	88.3864417377
R1076	75.2443262052	83.9034973788
R1077	75.1982952889	83.4623033365
R1078	75.7010415321	82.9194588559
R1079	75.4793396586	82.8840513891
R1080	75.1945668739	82.9321157846
R1081	74.8202539551	82.9623887856
R1082	75.1643404933	83.0349971693
R1083	75.2633555474	82.9452793018
R1084	77.7564189331	51.1517703255
R1085	77.9544350549	50.4755789715
R1086	77.0833377719	52.1577992662
R1087	76.0635502513	52.1046520613
R1088	77.6820163247	51.1656378096
R1089	76.8780819814	51.8675622958
R1090	76.9485027211	51.9075165439
R1091	77.8640547124	49.6625455341
R1092	75.7714500936	17.1112512057
R1093	52.3315691301	51.8788603463
R1094	52.5928183721	51.3915915185
R1095	50.4770477213	17.0482894119
R1096	75.2964750909	17.0156531888
R1097	75.573954129	17.0621921415
R1098	75.4005271583	17.0411068868
R1099	75.8709908356	17.1348939075
R1100	75.6058847579	17.0677230553
R1101	75.8955770466	17.1699497051
R1102	75.7465632023	17.1057165115
R1103	75.1423414811	16.7549238932
R1104	50.6617795563	17.0781405153
R1105	50.6998506392	17.0851843836
R1106	50.9189408654	17.1476047571
R1107	50.7252585405	16.9074698083
R1108	51.2638712274	17.1623497098
R1109	51.2509196468	17.2404558616
R1110	50.7851572052	17.1801964842
R1111	50.5013965822	17.1057707188
R1112	50.7336745372	16.9929634144
R1113	50.7113785398	17.0883158538
R1114	50.8127448984	16.5727180506
R1115	51.014232955	17.2210955293
R1116	50.3535214052	17.0647430794
R1117	50.4355295722	17.0651685025
R1118	50.6309819633	17.0765223454
R1119	51.0668072036	17.2088597095
R1120	50.7923547263	17.2042143387
R1121	50.5512780561	17.0846551833
R1122	50.5597580562	17.0938837744
R1123	75.3259785471	15.7718919896
R1124	75.04472578	17.0042622562
R1125	75.2870877232	16.1749349097
R1126	75.2399699777	17.0318474866
R1127	75.1524592023	17.0049424015
R1128	75.9618400861	16.6948422289
R1129	75.4480625064	17.0451494125
R1130	75.7593838168	16.9429296545
R1131	50.378262298	16.9462798113
R1132	50.5336350094	17.0195813691
R1133	77.5009073165	50.1669859475
R1134	50.6911241884	87.5139604241
R1135	49.9903949511	83.997356924
R1136	50.1271820272	82.990749996
R1137	55.9930301513	79.2772636977
R1138	50.0322537946	79.013071199
R1139	51.2884586593	82.4359398425
R1140	51.1705368873	79.1652941091
R1141	44.3779145287	78.1646280036
R1142	45.0102700721	77.8808631153
R1143	48.559816719	78.7883706035
R1144	42.1422682922	76.8806345544
R1145	41.0269715735	76.4095884613
R1146	34.5753090115	72.7248411845
R1147	31.1686007236	69.2454213193
R1148	32.6442540714	70.7325550334
R1149	26.6666456539	62.9809712052
R1150	26.4592623274	62.6346733709
R1151	25.5380076465	60.6302361093
R1152	26.3207111933	62.3962811186
R1153	26.1633874648	62.0268148985
R1154	25.2137904611	60.2733986018
R1155	26.8595295604	63.1418346727
R1156	31.7606691716	69.7976553936
R1157	39.7932905744	75.8079642168
R1158	45.6174391854	78.1199702277
R1159	53.7714606827	79.3029316435
R1160	56.4514336733	79.2471070208
R1161	66.0937201989	77.0178182606
R1162	56.9258394194	79.2063186226
R1163	58.9882538467	78.9172589554
R1164	57.9022660533	79.0808678187
R1165	64.8128669568	77.4869389235
R1166	60.3497935166	78.7294458673
R1167	48.890555756	16.8065435154
R1168	47.549506348	17.0714045245
R1169	30.8894308257	26.3290372348
R1170	28.972835724	29.0504689185
R1171	35.1613607523	22.7868496473
R1172	45.8703691685	17.4893933655
R1173	32.8314206076	24.7975381459
R1174	39.4855747899	20.0330500489
R1175	33.4461829314	24.1906434075
R1176	21.8635812756	46.0525933457
R1177	25.1658708449	35.7666139539
R1178	22.9594789762	51.2877067934
R1179	25.5860552415	60.8465833585
R1180	26.3143100672	33.2971681038
R1181	33.037301251	24.5644624921
R1182	36.4688894772	21.8761144725
R1183	26.5135531009	32.9187498178
R1184	36.0270912125	22.1954385395
R1185	42.6810404129	18.5425361977
R1186	45.0410771273	17.7345177303
R1187	47.3524164557	17.1347454264
R1188	53.8461940322	16.3873180961
R1189	55.1296393835	16.3532468711
R1190	52.1881199617	16.4182174652
R1191	58.6726630845	16.6633724322
R1192	82.1443116037	33.1952218669
R1193	75.6865711383	24.7415103908
R1194	85.344964503	52.886419866
R1195	83.8446535127	58.6160602305
R1196	85.66476066	45.5427527692
R1197	77.931004934	68.6900618808
R1198	73.0318330209	73.12057473
R1199	70.1028044999	75.6832068542
R1200	57.1446946889	79.1941025922
R1201	46.9624619942	78.6665589963
R1202	50.5649338128	79.0772985529
R1203	53.7196765696	79.306936167
R1204	54.2002323226	79.3250023354
R1205	47.875198343	78.6758534295
R1206	51.4734585149	79.1598669963
R1207	52.7512222162	79.2936599344
R1208	48.5622230047	78.7823835275
R1209	53.0812416908	79.2972507654
R1210	56.475383374	79.1678400979
R1211	49.570911405	79.0381238831
R1212	37.6277032991	74.5575043418
R1213	32.2637000863	70.3166389012
R1214	32.542380336	70.7024172063
R1215	52.8250171923	85.5781338795
R1216	58.5282895407	78.9787042541
R1217	56.265834263	79.2529394854
R1218	57.0758924193	79.1939225382
R1219	54.2564023808	79.3138648504
R1220	62.6856712475	78.1747432719
R1221	68.0856058616	76.1123175001
R1222	65.1181219632	77.3991884543
R1223	68.7456312971	75.7900554548
R1224	63.0902251412	78.041409495
R1225	77.2045893204	69.3121497658
R1226	82.0339084758	62.6818697859
R1227	81.5779459183	63.8949255005
R1228	85.1801432805	53.7816766607
R1229	84.2868249936	57.2561680896
R1230	85.6224867126	45.0241658646
R1231	85.6044990156	50.7623379055
R1232	84.4247858276	38.761410164
R1233	85.570985078	44.5600964397
R1234	84.6267242006	39.4870775084
R1235	73.3961549252	22.8162479426
R1236	73.5074477338	22.8569887644
R1237	63.3564881135	17.7240688424
R1238	72.9590468722	22.5114998325
R1239	64.0208416469	17.8835812521
R1240	61.124463241	17.1163533592
R1241	75.6742073297	24.7825009657
R1242	69.5135831574	20.2793578927
R1243	58.5721354669	16.642703808
R1244	70.9819409865	21.1458881039
R1245	65.2230303973	18.3971951223
R1246	65.3150439093	18.3337482986
R1247	64.0102406778	17.9244781912
R1248	57.1409359294	16.5986105437
R1249	56.3651532552	16.3265463742
R1250	43.046183241	18.4025593948
R1251	52.0817555582	16.4538745312
R1252	42.8790365154	18.4894110252
R1253	51.5669948027	16.4857136372
R1254	58.8391251216	16.6376352154
R1255	60.7557891374	17.0332315064
R1256	54.7611561181	16.3661890954
R1257	53.5699050003	16.3397125506
R1258	48.9146182416	16.7986370826
R1259	52.6461373069	16.3848363836
R1260	49.8384929905	16.6763302777
R1261	52.6840664009	16.4079627826
R1262	65.8072190346	18.1407649473
R1263	60.6739209233	17.0518023644
R1264	63.394712866	17.7005351354
R1265	64.8020094467	18.2168786335
R1266	65.0259398087	18.2878245002
R1267	65.7555515404	18.5162158303
R1268	69.9677341245	20.5389887758
R1269	68.8927840241	20.0324488429
R1270	61.8265465579	17.2696554452
R1271	60.7879700808	17.0462048583
R1272	61.9156096372	17.2821912228
R1273	45.0289975331	17.7244473049
R1274	39.9213628084	19.7018495281
R1275	84.7942778751	55.5686503735
R1276	55.6629587449	83.3564796243
R1277	50.4922475132	78.997532065
R1278	51.4671011416	79.2018445773
R1279	51.2038911373	83.3397766053
R1280	58.9744699018	85.499817612
R1281	51.8720726696	85.8297376348
R1282	48.1799307865	85.0451167372
R1283	41.6832004024	84.0179406019
R1284	37.8904155015	82.5674929978
R1285	39.5489736947	80.812601774
R1286	39.6495738769	82.6645338713
R1287	34.7505970472	80.0110909897
R1288	27.560835291	72.8478255927
R1289	24.6355399754	71.6107148256
R1290	20.9594648125	66.0414983826
R1291	20.6891490538	62.7213052064
R1292	19.2882047369	62.0630593582
R1293	20.0245005746	61.3426238695
R1294	35.4695229971	43.1158849517
R1295	36.8943276507	47.7065559687
R1296	39.0555497751	55.5469737131
R1297	46.9570801494	65.2404073935
R1298	37.3104527352	45.2587508999
R1299	40.0096720019	60.9865825077
R1300	48.0143866846	65.7128195934
R1301	53.7037759268	66.3894820363
R1302	63.0674998921	64.0350004581
R1303	62.0480325076	63.8458632494
R1304	59.8399667124	64.4767644437
R1305	55.1609418175	65.2373081694
R1306	61.2797865792	65.766402504
R1307	60.8349175348	64.6037697063
R1308	61.5205906458	64.7918550418
R1309	36.916543863	41.0952474383
R1310	38.5021996714	41.5671556174
R1311	48.6643707344	30.6806668519
R1312	50.2852524042	30.3379221051
R1313	42.276332666	34.5276361236
R1314	54.0317756204	29.6723483149
R1315	37.3293552552	39.6020423074
R1316	41.389522551	37.2960562328
R1317	40.0746666572	34.6236852027
R1318	35.3496806211	47.1410731332
R1319	34.7637004189	47.6247999245
R1320	37.0266294472	44.4622930512
R1321	36.4555695327	40.791843032
R1322	35.5376642131	48.7293868661
R1323	20.4089478892	32.2030304205
R1324	23.4957104659	25.3224681542
R1325	29.5575433634	21.3647774591
R1326	33.0082339121	15.9850714584
R1327	53.9803991821	29.3509867092
R1328	52.2343086004	29.7116729865
R1329	59.5030766063	30.6696739448
R1330	41.1637810689	34.3157582514
R1331	48.9930401201	32.0303588363
R1332	59.2692803248	29.6407017654
R1333	45.4691770035	33.8311927323
R1334	62.6912665406	30.2903738312
R1335	73.4286708654	48.5778551303
R1336	70.846426107	52.282253331
R1337	71.5390198495	45.5218061588
R1338	67.6208658884	38.0065584658
R1339	72.4709525633	51.1221348241
R1340	64.8122375621	62.8109155873
R1341	60.8536798727	65.4991470327
R1342	67.7894961571	61.3637015467
R1343	41.6095572691	83.8486865559
R1344	53.0030253202	84.6747986012
R1345	54.7141710591	84.0431280734
R1346	44.2916687157	82.9094412144
R1347	49.1917219555	85.8762291224
R1348	53.1013817819	84.5476586881
R1349	51.599848153	84.8198214898
R1350	54.3797219484	84.2403555494
R1351	46.4807681047	83.518211666
R1352	53.174656268	84.2605679876
R1353	45.272002941	85.2370794195
R1354	36.03340215	53.371687755
R1355	28.2711941653	72.840231257
R1356	25.0548060847	71.5485979221
R1357	64.7588870014	82.3152236405
R1358	63.1445274767	85.2366963264
R1359	50.4246786898	85.1747475891
R1360	70.6449962629	82.4309187567
R1361	63.1490490834	83.9468553485
R1362	62.8240245172	84.9661859507
R1363	70.236869515	82.1711510621
R1364	70.0427352449	80.3850213547
R1365	72.5706234458	80.9712184346
R1366	75.1307160373	79.9840931403
R1367	83.2939057345	70.7784317876
R1368	79.6642622775	73.9323097157
R1369	88.4321025254	64.6242470023
R1370	89.1155590082	64.0015066388
R1371	89.0921976305	57.768193047
R1372	91.7260057727	52.6233532573
R1373	91.7355387598	48.9702108877
R1374	91.5078881747	53.3126520851
R1375	88.239001904	31.4774348786
R1376	88.5305192041	30.4760310098
R1377	55.3651603364	30.4458502777
R1378	62.5602588694	30.4471356661
R1379	58.0066691227	30.2537212987
R1380	55.0671179917	29.0115351997
R1381	61.6147759612	29.9943911942
R1382	68.5431435378	35.6578321706
R1383	77.7061096487	20.3042601852
R1384	68.4530459999	13.0355285908
R1385	68.2572064402	12.3846391542
R1386	70.2554746739	13.2503849689
R1387	65.0443252778	11.0008414785
R1388	60.0922466078	11.8721117093
R1389	52.9920289667	9.90666848335
R1390	50.1446289773	12.2115430946
R1391	46.5086141932	11.2071344881
R1392	43.8070319612	11.3189448865
R1393	57.8178546865	10.9451424306
R1394	50.9404926595	9.69154713447
R1395	63.4973230835	11.9140691707
R1396	50.0164829541	11.9338520864
R1397	58.6367650809	11.9747210652
R1398	54.7302890863	11.4128826732
R1399	65.8755478023	11.7324363627
R1400	57.0609827131	9.92056085444
R1401	46.819907946	10.4946526804
R1402	38.3593948725	13.431322624
R1403	47.3154157773	12.853451784
R1404	55.0519165396	11.9499886181
R1405	50.5159602579	9.76559162187
R1406	49.6774146514	10.3831325083
R1407	67.2806595188	14.1286515323
R1408	66.1730182606	12.0379170217
R1409	61.0885441374	10.0845344144
R1410	66.0530857731	13.3802260073
R1411	72.6699892655	15.2342259409
R1412	61.503472503	10.8284144754
R1413	68.995028632	13.9943105293
R1414	78.2499161658	17.8832409068
R1415	36.4819805699	15.1627600944
R1416	50.9677483784	29.6797742875
R1417	91.1910536059	46.6743428399
R1418	55.8637684939	85.3364867573
R1419	49.2805947987	84.0488228306
R1420	43.3685015447	84.3321772039
R1421	47.6952008891	95.2411869282
R1422	44.6099759113	93.075835032
R1423	43.8563814822	94.0858717713
R1424	41.5789293984	90.3035665387
R1425	49.1774185559	96.6105324538
R1426	42.6522509813	90.5606397307
R1427	30.1233318217	81.1442953304
R1428	31.915519986	79.7904134869
R1429	27.8877193574	75.4455759934
R1430	27.5482344526	75.1647590544
R1431	20.2097781637	67.5166420988
R1432	24.4434528292	54.4736551228
R1433	24.6308301331	53.3957388998
R1434	21.0379688969	49.829299645
R1435	27.106242932	54.7195531488
R1436	28.0896176553	60.512212549
R1437	31.1357349152	61.4319127116
R1438	37.700837521	68.4184052804
R1439	43.3926884016	43.5975940692
R1440	51.2623974761	49.6665051258
R1441	43.2867129203	43.0568603208
R1442	55.9059162338	54.2526725342
R1443	50.198958949	52.2250295948
R1444	55.761587372	54.0305172396
R1445	58.3231396505	60.0310591646
R1446	70.171457528	70.2822212385
R1447	60.600276471	59.7533088802
R1448	63.7602750188	61.1856411696
R1449	54.3894952619	53.811901225
R1450	55.2412969947	52.5935746267
R1451	49.0701267502	48.8969446811
R1452	46.0181190216	46.2577233718
R1453	44.7595874356	41.9746066134
R1454	51.6006241332	50.0324668853
R1455	36.4658820182	35.5241876075
R1456	33.3947987327	35.0168013145
R1457	37.5800715749	38.8315722007
R1458	36.619722059	36.8114141094
R1459	36.1634664356	33.819314199
R1460	33.1677570349	31.2477411672
R1461	42.6449829318	40.1543216386
R1462	47.2250252695	44.5756466185
R1463	48.3923630032	50.3315285645
R1464	27.2451932001	29.8195074488
R1465	30.4043143388	29.0795399241
R1466	30.0807992865	27.5880255173
R1467	33.9806339675	35.0330581489
R1468	34.2506117649	34.4415865654
R1469	51.1411835714	20.6183237784
R1470	49.899592066	19.5640835356
R1471	55.5898773424	26.2992451143
R1472	55.4820563581	22.8274662445
R1473	63.5729393821	32.9386176053
R1474	59.0250770848	28.3220858801
R1475	62.4237785929	33.4865952868
R1476	47.849907703	48.556624645
R1477	52.2685616825	52.8052401961
R1478	68.8510215758	39.573434273
R1479	65.6763960251	35.1093154301
R1480	77.7468851148	47.3718241139
R1481	80.352934115	47.8002988852
R1482	60.3375864858	63.0349593272
R1483	61.6587233282	64.1000234779
R1484	71.5450389858	72.657716331
R1485	49.0409566406	77.3625832678
R1486	51.8868880222	80.1136076892
R1487	57.968981435	85.3560457326
R1488	54.855664646	83.7833976656
R1489	54.1331954613	83.7939960824
R1490	51.3088252568	80.1363911553
R1491	61.1203943844	88.7040529069
R1492	55.5638650304	85.8103751441
R1493	55.044123361	83.5414106324
R1494	50.4441853247	78.1958883115
R1495	43.8277089981	71.0470522123
R1496	37.7914323802	66.8546410275
R1497	29.292783111	59.79199693
R1498	32.1920969515	60.2006509147
R1499	51.4339355233	99.2568672885
R1500	67.4641398118	95.999963905
R1501	65.1507052757	92.5026337368
R1502	65.5834276962	93.5170609365
R1503	69.2889731377	99.5795911254
R1504	81.2694405511	80.635944933
R1505	78.5757448361	76.8157030942
R1506	74.1867734997	74.3442041467
R1507	72.622209414	74.5269656511
R1508	75.1415195918	73.8196684648
R1509	75.168667839	73.9004448762
R1510	85.3242028911	55.3885788252
R1511	84.090507598	56.301968006
R1512	86.2562238205	55.8309303793
R1513	92.5487933153	42.9019079116
R1514	90.3426345089	37.7803861004
R1515	85.8191629042	37.5713861819
R1516	90.4418181137	40.1331134204
R1517	92.0175590822	39.9179311324
R1518	95.2605278366	46.008830272
R1519	41.2902998033	42.3115524113
R1520	66.4313243161	36.5361097353
R1521	63.9863468858	32.7134316129
R1522	61.2696820905	29.3857240482
R1523	60.7493891909	28.0517363383
R1524	64.6552305634	16.6122765086
R1525	68.6382807138	18.5080128963
R1526	65.7766651568	16.7876560655
R1527	71.1341263421	19.3859575313
R1528	63.7231835039	14.5214211957
R1529	73.0014940701	24.0738125371
R1530	72.436657497	20.5783451136
R1531	68.4127671225	19.9131265443
R1532	52.8583150204	20.2350610035
R1533	53.5299526734	24.2419155845
R1534	50.7597410528	18.0893946004
R1535	42.53480844	10.1698684594
R1536	41.5303978512	13.3962907452
R1537	46.7145179915	15.6132744651
R1538	48.4506176492	16.2122782224
R1539	59.6326101247	7.05803719901
R1540	61.6185682473	13.4108227184
R1541	48.8339891275	17.7259558674
R1542	45.3426531889	13.9088123935
R1543	42.4150122932	11.6937810961
R1544	58.9347650647	9.36920121911
R1545	60.6836260407	10.6326415569
R1546	54.8117983683	6.56964870325
R1547	61.5868424253	11.0275858356
R1548	59.7160077628	11.5190968617
R1549	58.4163840114	5.64577748328
R1550	59.243809528	10.5401420943
R1551	56.5943646385	8.91734404523
R1552	68.4925132247	17.9873634289
R1553	65.0059431717	15.9126686464
R1554	63.9210367078	15.6209610332
R1555	53.5129705438	5.87510952836
R1556	57.8328062743	9.22238462333
R1557	31.0329174395	28.9281418896
R1558	31.3332440932	32.5385694785
R1559	86.4015498466	38.7469331743
R1560	47.4421116354	98.1843018589
R1561	46.2647413368	94.1161921613
R1562	40.1638157437	87.4486723469
R1563	52.8720214902	97.3432226575
R1564	59.0141444945	93.5748748733
R1565	56.3751090389	96.30514763
R1566	37.8391996844	94.359443503
R1567	39.8853734176	90.6346620817
R1568	44.0774051326	84.1258533023
R1569	31.4970254888	67.9125621568
R1570	25.9525965456	73.0331803541
R1571	36.4347239148	62.2940454639
R1572	24.997482691	75.4415616626
R1573	32.2462751352	70.1105868383
R1574	18.1094722949	53.7081103324
R1575	21.7960992263	49.4995295248
R1576	24.150491069	47.1885335266
R1577	28.6031956015	44.2237227
R1578	20.9319996761	51.6462354868
R1579	35.4355325251	34.9610381566
R1580	44.3773828236	57.6847369215
R1581	46.313692406	55.6855917703
R1582	46.3860739231	51.0021645381
R1583	42.4954400876	56.9036815315
R1584	44.3005150328	58.1329592781
R1585	46.9882833458	55.4206367313
R1586	52.4215231623	47.867005488
R1587	64.090998189	68.6509850107
R1588	63.0168717563	68.2252589114
R1589	67.3025779226	64.4134627173
R1590	67.2259568904	62.4764105301
R1591	50.309988715	47.2678818553
R1592	45.4126389249	53.8707976895
R1593	54.0206071815	47.2698972057
R1594	49.8420222483	50.5765522936
R1595	50.7132995657	48.7722867825
R1596	55.0455549106	45.9862727459
R1597	37.5437012597	32.8840244657
R1598	39.7958978066	28.4432191156
R1599	28.5233910215	39.7966662481
R1600	31.3996460012	39.2652632229
R1601	39.2415652162	33.3614166846
R1602	27.7140565712	42.2500516253
R1603	32.9607035213	35.8231112903
R1604	35.4047362397	31.9391621952
R1605	51.6422264225	50.8383406788
R1606	34.207620843	33.5938054385
R1607	36.5234892198	35.6710483891
R1608	28.4192021281	21.3157482481
R1609	26.1604969417	23.0422314726
R1610	40.435327397	27.6400711421
R1611	44.544955314	27.3622426221
R1612	40.1237272008	30.0731619402
R1613	42.1848064503	28.5736747331
R1614	40.0026592892	27.4875100027
R1615	57.1252310509	42.7390191388
R1616	60.375744968	41.3564579961
R1617	55.1058961252	46.1490510561
R1618	61.7372710245	38.5848440052
R1619	55.7412443246	46.6535769763
R1620	58.2964084158	41.5831977346
R1621	57.0425482213	42.418757739
R1622	76.7756112073	55.2545987009
R1623	71.8870772602	59.2669926152
R1624	73.7883730663	58.6208121164
R1625	75.1396847343	54.2445521781
R1626	64.5963189058	65.952512925
R1627	46.9095386323	85.6022611586
R1628	46.9051031994	81.5656424136
R1629	49.8069877356	82.085025592
R1630	48.8632418189	83.1583574877
R1631	66.7481899024	84.0048341677
R1632	62.3597662841	90.2436599196
R1633	47.3748964954	83.4715555182
R1634	47.4464667165	82.622124014
R1635	53.385280634	78.8711362558
R1636	49.4527077733	79.9306028004
R1637	54.8026825363	75.3639849893
R1638	37.0882451339	60.857227495
R1639	32.3759619238	68.5108204552
R1640	37.4770138847	63.7886855744
R1641	52.4066488967	96.4254150057
R1642	50.2970432655	99.6441791736
R1643	61.5633243835	89.8641388605
R1644	61.0865603919	89.2243556475
R1645	59.2364904011	91.4811005766
R1646	66.1540050863	84.1119370252
R1647	67.2313347767	85.055640808
R1648	73.7099068702	78.2706108976
R1649	76.5804513576	72.8915336827
R1650	78.8765811639	71.5625276804
R1651	77.4490021363	72.4473094857
R1652	86.8537073476	65.5433240194
R1653	79.806531301	52.7231797883
R1654	76.9882734745	54.2027848022
R1655	79.4793575017	49.1410154455
R1656	82.3041595613	46.9909036215
R1657	90.700691247	41.4667030063
R1658	95.4434878077	36.1897016148
R1659	94.9974880471	35.0953011066
R1660	91.517847246	36.8902631263
