	char_costume	char_popular	character	costume	parameter	rank
879	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
880	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
881	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
882	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
883	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
884	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
885	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
886	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
887	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
888	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
889	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
890	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
891	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
892	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
893	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
894	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
895	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
896	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
897	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
898	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
899	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
900	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
901	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
902	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
903	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
904	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
905	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
906	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
907	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
908	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
909	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
910	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
911	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
912	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
913	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
914	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
915	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
916	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
917	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
918	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
919	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
920	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
921	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
922	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
923	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
924	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
925	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
926	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
927	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
928	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
929	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
930	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
931	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
932	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
933	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
934	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
935	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
936	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
937	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
938	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
939	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
940	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
941	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
942	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
943	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
944	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
945	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
946	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
947	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
948	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
949	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
950	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
951	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
952	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
953	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
954	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
955	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
956	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
957	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
958	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
959	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
960	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
961	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
962	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
963	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
964	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
965	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
966	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
967	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
968	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
969	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
970	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
971	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
972	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
973	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
974	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
975	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
976	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
977	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
978	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
979	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
980	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
981	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
982	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
983	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
984	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
985	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
986	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
987	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
988	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
989	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
990	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
991	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
992	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
993	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
994	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
995	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
996	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
997	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
998	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
999	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1000	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1001	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1002	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1003	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1004	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1005	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1006	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1007	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1008	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1009	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1010	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1011	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1012	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1013	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1014	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1015	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1016	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1017	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1018	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1019	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1020	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1021	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1022	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1023	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1024	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1025	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1026	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1027	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1028	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1029	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1030	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1031	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1032	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1033	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1034	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1035	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1036	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1037	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1038	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1039	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1040	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1041	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1042	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1043	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1044	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1045	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1046	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1047	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1048	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1049	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1050	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1051	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1052	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1053	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1054	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1055	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1056	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1057	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1058	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1059	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1060	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1061	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1062	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1063	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1064	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1065	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1066	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1067	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1068	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1069	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1070	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1071	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1072	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1073	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1074	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1075	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1076	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1077	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1078	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1079	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1080	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1081	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1082	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1083	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1084	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1085	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1086	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1087	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1088	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1089	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1090	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1091	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1092	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1093	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1094	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1095	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1096	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1097	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1098	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1099	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1100	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1101	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1102	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1103	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1104	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1105	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1106	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1107	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1108	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1109	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1110	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1111	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1112	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1113	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1114	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1115	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1116	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1117	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1118	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1119	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1120	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1121	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1122	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1123	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1124	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1125	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1126	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1127	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1128	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1129	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1130	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1131	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1132	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1133	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1134	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1135	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1136	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1137	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1138	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1139	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1140	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1141	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1142	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1143	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1144	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1145	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1146	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1147	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1148	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1149	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1150	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1151	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1152	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1153	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1154	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1155	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1156	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1157	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1158	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1159	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1160	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1161	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1162	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1163	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1164	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1165	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1166	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1167	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1168	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1169	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1170	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1171	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1172	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1173	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1174	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1175	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1176	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1177	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1178	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1179	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1180	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1181	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1182	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1183	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1184	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1185	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1186	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1187	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1188	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1189	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1190	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1191	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1192	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1193	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1194	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1195	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1196	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1197	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1198	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1199	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1200	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1201	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1202	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1203	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1204	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1205	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1206	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1207	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1208	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1209	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1210	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1211	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1212	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1213	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1214	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1215	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1216	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1217	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1218	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1219	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1220	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1221	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1222	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1223	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1224	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1225	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1226	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1227	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1228	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1229	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1230	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1231	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1232	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1233	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1234	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1235	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1236	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1237	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1238	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1239	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1240	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
1241	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	speech	4
1242	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	thought	4
1243	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	narrative	4
1244	Gambit (casual)   	Gambit	Gambit = Name Unknown	casual	depicted	4
