	FL1-A	FL2-A
V5345	1680	6065
V5346	2196	6055
V5347	1402	4853
V5348	2087	5162
V5349	1927	3258
V5350	360	1141
V5351	1596	4879
V5352	2646	6855
V5353	152	1765
V5354	8216	5502
V5355	5809	5618
V5356	1949	7332
V5357	1762	6319
V5358	2048	6371
V5359	983	3060
V5360	1581	4342
V5361	1543	3729
V5362	1078	3153
V5363	2055	7334
V5364	2149	5337
V5365	1686	3961
V5366	3361	6076
V5367	1324	2205
V5368	271676	5718
V5369	2492	6425
V5370	1729	4305
V5371	1940	3948
V5372	1928	6945
V5373	2230	5430
V5374	1937	5151
V5375	2008	5363
V5376	137156	3805
V5377	1364	3545
V5378	41	358
V5379	186240	4207
V5380	5260	10069
V5381	310	470
V5382	2678	7523
V5383	1790	5614
V5384	887	3623
V5385	1923	5110
V5386	1418	8342
V5387	1706	5219
V5388	979	3571
V5389	1138	3446
V5390	403	324
V5391	2399	6044
V5392	4696	4047
V5393	2898	1097
V5394	1631	4266
V5395	1240	3404
V5396	1167	4150
V5397	1065	4866
V5398	9257	5462
V5399	1731	4688
V5400	1628	5047
V5401	1335	3793
V5402	2078	4773
V5403	1544	4793
V5404	1513	5290
V5405	2968	5979
V5406	1278	3331
V5407	1346	4754
V5408	2149	6661
V5409	400	577
V5410	1707	5202
V5411	20	244
V5412	1954	5709
V5413	2227	6075
V5414	2677	2195
V5415	2664	6099
V5416	2477	7731
V5417	1407	2866
V5418	1454	3770
V5419	1888	5417
V5420	2726	6819
V5421	2816	3848
V5422	337	335
V5423	1507	4456
V5424	1876	4993
V5425	1817	4928
V5426	2858	7092
V5427	1256	4752
V5428	2366	9479
V5429	2268	7631
V5430	1583	4060
V5431	1865	3772
V5432	291810	6533
V5433	968	4136
V5434	3205	6242
V5435	2089	6423
V5436	6423	6392
V5437	234982	4920
V5438	2117	7433
V5439	504	224
V5440	1590	3595
V5441	2734	6877
V5442	1658	1749
V5443	1566	4185
V5444	266	616
V5445	1155	4056
V5446	1547	6507
V5447	1877	5817
V5448	2516	6697
V5449	1234	4620
V5450	1687	5053
V5451	2626	5301
V5452	1041	2223
V5453	1709	4694
V5454	1858	5939
V5455	1208	3337
V5456	2525	8766
V5457	1353	3220
V5458	1941	5142
V5459	2610	5376
V5460	2180	5797
V5461	1805	4090
V5462	1808	5638
V5463	1596	5530
V5464	15225	4575
V5465	1010	2690
V5466	660	573
V5467	1392	4072
V5468	2215	6764
V5469	1053	2948
V5470	913	3717
V5471	212	318
V5472	2042	5561
V5473	2135	5397
V5474	2444	5272
V5475	1473	5236
V5476	2111	5497
V5477	1881	5445
V5478	1590	4123
V5479	1615	3583
V5480	2207	5223
V5481	1174	2741
V5482	63531	4227
V5483	1388	4341
V5484	2838	5669
V5485	58	5075
V5486	2622	8607
V5487	3380	8994
V5488	1542	5352
V5489	1404	4009
V5490	1440	4731
V5491	2290	9187
V5492	661	2979
V5493	1490	4537
V5494	2623	1814
V5495	218	710
V5496	826	420
V5497	2076	6734
V5498	1298	3816
V5499	1864	4281
V5500	930	2862
V5501	1388	4755
V5502	1898	4683
V5503	3354	5590
V5504	1877	3487
V5505	2140	5320
V5506	1121	2718
V5507	2169	4351
V5508	1024	2969
V5509	2724	5221
V5510	5428	16168
V5511	1833	6540
V5512	127990	15190
V5513	1897	5348
V5514	1707	4439
V5515	2222	4649
V5516	66967	3135
V5517	311868	5376
V5518	73079	2935
V5519	801	562
V5520	1465	5091
V5521	1068	3383
V5522	1962	4670
V5523	1289	4616
V5524	3676	10136
V5525	1729	2243
V5526	1867	4886
V5527	1628	4533
V5528	338	463
V5529	2246	6339
V5530	981	3362
V5531	1989	4938
V5532	25622	3976
V5533	2236	5433
V5534	1528	4038
V5535	269	589
V5536	1217	3286
V5537	31776	4863
V5538	1905	6565
V5539	321	263
V5540	541	761
V5541	3516	6925
V5542	399420	7367
V5543	34220	8058
V5544	1864	7152
V5545	33	867
V5546	1285	5737
V5547	1288	3993
V5548	3485	4832
V5549	2409	5936
V5550	1784	4149
V5551	1346	3442
V5552	1185	3103
V5553	3335	7504
V5554	281	309
V5555	1767	3724
V5556	1953	4513
V5557	2236	5914
V5558	27783	2791
V5559	2377	3365
V5560	1606	4709
V5561	4122	9151
V5562	2375	5712
V5563	1858	4584
V5564	123899	3776
V5565	1508	3717
V5566	1644	7240
V5567	3061	4432
V5568	1865	5515
V5569	89	237
V5570	1819	3889
V5571	17199	2529
V5572	1446	2945
V5573	1656	5282
V5574	1814	5261
V5575	8973	2157
V5576	1539	4504
V5577	2005	5382
V5578	1713	5597
V5579	594	524
V5580	1549	5461
V5581	2681	7046
V5582	2267	5496
V5583	2091	6880
V5584	5898	4140
V5585	1913	5504
V5586	1356	5042
V5587	9883	31449
V5588	2240	5543
V5589	2444	7565
V5590	1894	5263
V5591	383	474
V5592	1258	4792
V5593	1884	6873
V5594	346	1331
V5595	208	452
V5596	1906	5013
V5597	1513	2562
V5598	337507	6007
V5599	227975	6188
V5600	1631	4066
V5601	1653	5316
V5602	1026	5299
V5603	1549	3549
V5604	183292	3516
V5605	1735	4930
V5606	1479	4788
V5607	1818	4973
V5608	2284	4105
V5609	1494	5890
V5610	2430	5425
V5611	1847	4663
V5612	1654	5158
V5613	2347	6240
V5614	4402	9720
V5615	2194	6624
V5616	1112	4765
V5617	696	3660
V5618	8472	4024
V5619	7826	1418
V5620	2301	10984
V5621	1362	3867
V5622	1569	5300
V5623	5254	12390
V5624	119563	8545
V5625	4434	13417
V5626	2047	5713
V5627	2238	5056
V5628	2325	6814
V5629	753	1275
V5630	863	4166
V5631	1358	3897
V5632	3520	3293
V5633	264135	6405
V5634	821	2667
V5635	2204	6062
V5636	233930	5699
V5637	2084	5625
V5638	4317	13646
V5639	2871	5030
V5640	2627	6001
V5641	1812	6290
V5642	2618	5879
V5643	6111	4716
V5644	2244	4818
V5645	1711	4743
V5646	1736	5136
V5647	1659	4246
V5648	2174	7222
V5649	1453	3735
V5650	1967	5796
V5651	1475	4337
V5652	2310	6380
V5653	1859	4858
V5654	1312	4527
V5655	4612	5851
V5656	6005	2980
V5657	1291	4696
V5658	1823	4345
V5659	556	1884
V5660	4945	4423
V5661	1415	4501
V5662	1259	2695
V5663	1209	3857
V5664	978	2567
V5665	4378	9470
V5666	1965	7032
V5667	2163	3314
V5668	1710	5773
V5669	1980	7346
V5670	2638	5436
V5671	1971	6360
V5672	509	309
V5673	1862	5553
V5674	889	2218
V5675	3997	7213
V5676	34	188
V5677	2021	6144
V5678	1524	4449
V5679	1951	4737
V5680	1250	4402
V5681	744	1184
V5682	1616	3933
V5683	1467	4395
V5684	1429	5792
V5685	2185	6051
V5686	1742	3479
V5687	16335	4328
V5688	2651	8291
V5689	1832	7098
V5690	2015	5804
V5691	53542	1878
V5692	1425	2205
V5693	82	427
V5694	803	519
V5695	2488	3955
V5696	4607	8739
V5697	2266	2628
V5698	1795	5328
V5699	987	1611
V5700	1969	6942
V5701	2423	6653
V5702	1940	7381
V5703	1284	3142
V5704	2066	5025
V5705	1745	4115
V5706	4654	10827
V5707	1320	3965
V5708	2210	6124
V5709	1689	4480
V5710	2197	6376
V5711	5083	2735
V5712	1318	4333
V5713	194881	7766
V5714	1562	4597
V5715	2272	5839
V5716	1521	5563
V5717	2843	7234
V5718	1496	3102
V5719	3135	8142
V5720	1834	4760
V5721	2810	8324
V5722	2661	6432
V5723	730	1409
V5724	1292	2622
V5725	5058	11470
V5726	2217	5412
V5727	2442	6516
V5728	1054	2611
V5729	1426	4627
V5730	2140	2646
V5731	1568	5401
V5732	2963	5440
V5733	944	2785
V5734	261	456
V5735	1471	4123
V5736	1940	5401
V5737	1500	3522
V5738	2428	5947
V5739	1863	5231
V5740	201	164
V5741	1316	4113
V5742	2255	5364
V5743	532	948
V5744	1043	4459
V5745	2079	5171
V5746	2261	6907
V5747	3772	7312
V5748	1804	4815
V5749	2017	5275
V5750	229	287
V5751	2571	6630
V5752	1459	1678
V5753	1679	5623
V5754	1705	4964
V5755	1351	4706
V5756	877	2167
V5757	171113	3264
V5758	2057	5927
V5759	5580	3853
V5760	1442	2785
V5761	1547	5079
V5762	2164	5369
V5763	2347	6337
V5764	1241	2663
V5765	258	523
V5766	1518	5409
V5767	2554	6353
V5768	1313	3590
V5769	1195	3276
V5770	2148	5913
V5771	5235	11680
V5772	1884	3980
V5773	1813	5087
V5774	1581	4881
V5775	1673	5443
V5776	5115	5524
V5777	1083	3429
V5778	1965	6750
V5779	3960	4805
V5780	424	740
V5781	293	795
V5782	2037	4727
V5783	2138	6316
V5784	2022	4885
V5785	2250	4359
V5786	9888	1522
V5787	1625	4966
V5788	1693	4012
V5789	2898	7358
V5790	1617	3022
V5791	1739	4620
V5792	1544	3465
V5793	1046	5142
V5794	2369	6632
V5795	1059	3135
V5796	1687	4244
V5797	226	979
V5798	1507	2342
V5799	2024	5813
V5800	3714	10449
V5801	2572	4844
V5802	6348	2348
V5803	1489	3936
V5804	2935	7488
V5805	2184	5050
V5806	171	1642
V5807	2536	5907
V5808	2624	6546
V5809	2410	8008
V5810	1574	5818
V5811	151229	6328
V5812	202040	4485
V5813	640	585
V5814	1858	5250
V5815	2160	4800
V5816	1003	4521
V5817	28842	2062
V5818	3113	6280
V5819	3074	6624
V5820	1022	4222
V5821	1637	4866
V5822	1996	4174
V5823	3142	6998
V5824	1319	3765
V5825	3596	8272
V5826	2803	5206
V5827	171	410
V5828	1972	5032
V5829	2092	6621
V5830	2841	7181
V5831	1680	5530
V5832	865	1774
V5833	2408	5667
V5834	2253	4944
V5835	1469	3340
V5836	2216	6072
V5837	20556	2086
V5838	1978	4661
V5839	1643	3828
V5840	2363	4979
V5841	9434	2217
V5842	2102	6392
V5843	1990	5077
V5844	2389	6812
V5845	128	599
V5846	1634	5635
V5847	2006	4453
V5848	1817	4399
V5849	1621	4420
V5850	1916	4846
V5851	111769	3212
V5852	2413	5114
V5853	2128	4947
V5854	2006	5747
V5855	164573	5301
V5856	1820	1482
V5857	2164	5742
V5858	1345	3835
V5859	1219	8326
V5860	9615	5400811
V5861	2193	5670
V5862	1352	3118
V5863	1372	3657
V5864	1685	4329
V5865	1543	4887
V5866	2052	5131
V5867	1781	4535
V5868	2859	7295
V5869	767	1771
V5870	2250	7307
V5871	7121	18282
V5872	1680	4393
V5873	463	206
V5874	3144	7870
V5875	1977	5707
V5876	8317	25707
V5877	1998	5914
V5878	1668	5115
V5879	2349	5810
V5880	988	2411
V5881	132	590
V5882	3859	8568
V5883	193	284
V5884	2706	7463
V5885	2266	7834
V5886	276236	4791
V5887	712	2094
V5888	2430	6202
V5889	2097	5322
V5890	1145	3806
V5891	2926	7602
V5892	1791	4915
V5893	288806	4836
V5894	2094	6716
V5895	114610	4210
V5896	1765	5042
V5897	1355	3492
V5898	2025	4965
V5899	1191	3931
V5900	1029	2703
V5901	1260	13354
V5902	1636	5987
V5903	711	334
V5904	1341	4461
V5905	245	196
V5906	1789	4142
V5907	1423	3830
V5908	1950	6118
V5909	93681	4306
V5910	2038	4861
V5911	2440	6310
V5912	1950	4754
V5913	362	434
V5914	760	2803
V5915	10889	1752
V5916	1528	4048
V5917	1273	3399
V5918	2547	6304
V5919	2209	6182
V5920	1224	4308
V5921	1788	3365
V5922	1887	5806
V5923	275	258
V5924	4726	5523
V5925	356126	7601
V5926	1665	4074
V5927	1918	3735
V5928	2364	6909
V5929	1382	5335
V5930	1114	5535
V5931	7923	25911
V5932	720	593
V5933	1162	4358
V5934	1168	3414
V5935	5458	12136
V5936	3287	5472
V5937	3002	7418
V5938	1	593
V5939	1811	5917
V5940	1168	3002
V5941	484776	8264
V5942	2179	8026
V5943	1238	4289
V5944	1009	3577
V5945	536	1631
V5946	1313	3922
V5947	1877	4063
V5948	1521	3655
V5949	2066	5205
V5950	7866	5232
V5951	1928	6413
V5952	1556	3795
V5953	2111	5952
V5954	1440	5184
V5955	1831	4401
V5956	2165	6014
V5957	1607	4136
V5958	2914	6931
V5959	146614	5268
V5960	1600	4010
V5961	1726	3496
V5962	1451	3745
V5963	2900	6297
V5964	2499	6791
V5965	2147	5539
V5966	1994	6318
V5967	1946	5059
V5968	1775	4713
V5969	2875	5582
V5970	1606	4384
V5971	1517	4584
V5972	1819	2975
V5973	1976	5276
V5974	2179	7462
V5975	2092	5720
V5976	624	1303
V5977	2408	7370
V5978	1961	3872
V5979	1484	4106
V5980	207	638
V5981	1892	4948
V5982	1296	2852
V5983	3106	4182
V5984	2443	7222
V5985	2158	5816
V5986	2376	5720
V5987	2088	5470
V5988	150	632
V5989	2013	5459
V5990	2430	6735
V5991	10522	3286
V5992	588	908
V5993	3898	8477
V5994	1920	4148
V5995	2776	6027
V5996	1608	4893
V5997	1815	4134
V5998	2486	6286
V5999	7958	6671
V6000	1624	7444
V6001	17999	3877
V6002	1419	2338
V6003	1579	4679
V6004	1294	5905
V6005	1035	3995
V6006	2500	6888
V6007	1306	1837
V6008	2178	5675
V6009	1548	3597
V6010	1971	5244
V6011	2844	7050
V6012	1340	4348
V6013	1403	6527
V6014	1524	5084
V6015	1515	5240
V6016	1838	5808
V6017	42773	2342
V6018	1519	3476
V6019	2361	5378
V6020	1389	3388
V6021	1134	3772
V6022	1032	3537
V6023	92005	4776
V6024	1504	5145
V6025	249	704
V6026	1547	3246
V6027	2463	5162
V6028	2493	5792
V6029	1672	4703
V6030	294	384
V6031	12	496
V6032	172	224
V6033	2138	4683
V6034	1635	4715
V6035	1717	4427
V6036	704642	24146
V6037	963	1916
V6038	394	266
V6039	2621	2997
V6040	1519	4173
V6041	1901	4945
V6042	3441	8360
V6043	1359	3412
V6044	2852	8174
V6045	2762	8290
V6046	1441	5368
V6047	1996	7703
V6048	3601	12094
V6049	85	411
V6050	93388	3702
V6051	1839	5612
V6052	1938	4601
V6053	375	152
V6054	2773	7175
V6055	324	281
V6056	2404	4373
V6057	2875	7835
V6058	1335	2708
V6059	2006	6898
V6060	1897	6135
V6061	4560	10914
V6062	247386	5831
V6063	3290	6566
V6064	2191	5115
V6065	1728	4504
V6066	1227	3868
V6067	257950	5386
V6068	672	2982
V6069	1627	4924
V6070	1596	5388
V6071	2440	6117
V6072	1357	3816
V6073	1012	2661
V6074	2224	5670
V6075	2210	5375
V6076	299	535
V6077	2157	4439
V6078	2093	4323
V6079	1530	4864
V6080	403	678
V6081	3562	5050
V6082	1923	5725
V6083	6008	11758
V6084	1529	4477
V6085	3804	3420
V6086	1585	4616
V6087	1475	3515
V6088	2233	5854
V6089	1988	6140
V6090	1016	3001
V6091	5407	7880
V6092	1689	4337
V6093	170168	3673
V6094	1972	5359
V6095	1225	4271
V6096	685	828
V6097	1385	3681
V6098	1875	4316
V6099	622	868
V6100	2250	6688
V6101	2113	5374
V6102	879	1702
V6103	2050	6743
V6104	1469	4799
V6105	1300	5166
V6106	1393	4099
V6107	48786	3817
V6108	1925	3227
V6109	1658	3306
V6110	3956	3551
V6111	6004	5446
V6112	6237	3883
V6113	24642	2209
V6114	1511	3599
V6115	1173	4238
V6116	163891	3789
V6117	1963	4321
V6118	1135	4957
V6119	2071	5987
V6120	2319	5407
V6121	1920	5064
V6122	1138	2963
V6123	1241	3487
V6124	1867	5948
V6125	1929	4584
V6126	272	180
V6127	572	1763
V6128	2114	5994
V6129	1670	3080
V6130	2174	6405
V6131	337707	6881
V6132	1844	6914
V6133	1381	3803
V6134	352	474
V6135	431	369
V6136	2010	5106
V6137	1926	4971
V6138	103	164
V6139	1887	5320
V6140	2159	2373
V6141	1147	3607
V6142	1964	5884
V6143	2339	5774
V6144	3010	6024
V6145	1739	1164
V6146	3014	5502
V6147	8	263
V6148	2103	7851
V6149	2023	6154
V6150	2314	6804
V6151	73941	2164
V6152	53379	4712
V6153	173097	3424
V6154	1528	3494
V6155	91	276
V6156	2658	27272
V6157	1541	4850
V6158	1696	4283
V6159	2805	5993
V6160	1674	4617
V6161	2350	6771
V6162	1632	4313
V6163	2003	2317
V6164	2669	5132
V6165	2067	5773
V6166	3243	6909
V6167	1717	4170
V6168	2673	6500
V6169	2153	6249
V6170	2707	4894
V6171	1964	5784
V6172	2259	6060
V6173	3873	9976
V6174	478	256
V6175	1112	3178
V6176	7766	4035
V6177	2714	7371
V6178	210	227
V6179	1735	5601
V6180	279	556
V6181	2665	4667
V6182	2126	4637
V6183	59227	2560
V6184	2456	7822
V6185	2151	6650
V6186	90	24
V6187	2000	4417
V6188	1769	5044
V6189	2648	5269
V6190	2326	6022
V6191	10575	3068
V6192	1242	3513
V6193	71839	8459
V6194	1576	4835
V6195	6455	4810
V6196	1735	4456
V6197	1533	4621
V6198	497	624
V6199	244	206
V6200	1616	4156
V6201	2406	5625
V6202	1948	2788
V6203	2090	5941
V6204	129533	4817
V6205	1430	4609
V6206	506	2574
V6207	2132	6031
V6208	1476	3921
V6209	1339	3258
V6210	2777	6988
V6211	2584	4493
V6212	409	439
V6213	2577	8332
V6214	2047	3725
V6215	2575	6909
V6216	4169	5430
V6217	16454	2377
V6218	796	2810
V6219	231	248
V6220	294	887
V6221	4163	9988
V6222	2396	6002
V6223	104	727
V6224	2004	5162
V6225	1149	4156
V6226	567	614
V6227	585	6755
V6228	142	172
V6229	1697	5817
V6230	93726	4280
V6231	1821	6748
V6232	825	4455
V6233	4707	13436
V6234	2116	5159
V6235	1550	5590
V6236	3222	5856
V6237	2783	6155
V6238	4478	7270
V6239	2651	7611
V6240	1938	5578
V6241	8664	21213
V6242	1575	5703
V6243	2488	5759
V6244	1692	5496
V6245	4696	13698
V6246	2482	6365
V6247	1932	5510
V6248	1973	4574
V6249	2352	6087
V6250	1751	4668
V6251	236	473
V6252	2469	6633
V6253	1992	6662
V6254	1618	4508
V6255	2217	5655
V6256	3432	1273
V6257	950	2905
V6258	2475	6861
V6259	2835	6671
V6260	2237	12936
V6261	1142	3402
V6262	2375	6103
V6263	2652	5033
V6264	2299	7304
V6265	3402	4420
V6266	103997	3494
V6267	2160	3723
V6268	2429	5905
V6269	427	633
V6270	1345	4919
V6271	242	310
V6272	2973	7809
V6273	2396	5683
V6274	973	2181
V6275	1710	3218
V6276	512	5987
V6277	817	462
V6278	1671	3957
V6279	3396	6029
V6280	1085	3793
V6281	1715	4494
V6282	2522	7045
V6283	1472	4138
V6284	30522	2567
V6285	2454	6634
V6286	1683	6002
V6287	1223	4616
V6288	1069	1048
V6289	1978	5198
V6290	1577	5054
V6291	278	409
V6292	1652	3932
V6293	2214	6668
V6294	301	306
V6295	2708	3576
V6296	2059	5801
V6297	909	2802
V6298	892	3345
V6299	807	1757
V6300	2279	4497
V6301	60	96
V6302	1956	5348
V6303	1624	3306
V6304	1430	3746
V6305	3801	5360
V6306	43	352
V6307	1044	3131
V6308	1877	4727
V6309	425880	9886
V6310	261	540
V6311	1830	5804
V6312	1086	2869
V6313	2150	5630
V6314	542	664
V6315	2093	5206
V6316	2066	5451
V6317	1506	4384
V6318	1872	4677
V6319	388	542
V6320	2024	4911
V6321	1469	3693
V6322	1288	5036
V6323	2511	7757
V6324	516	1612
V6325	155212	3050
V6326	1548	2889
V6327	428	861
V6328	1870	6236
V6329	231978	3760
V6330	443	556
V6331	3304	7594
V6332	2099	7418
V6333	645	813
V6334	2726	5020
V6335	6474	15640
V6336	3309	6880
V6337	2057	4887
V6338	1622	4602
V6339	769	9742
V6340	2049	5453
V6341	1586	4673
V6342	2966	5950
V6343	2412	6188
V6344	2448	6668
V6345	1650	4308
V6346	2262	6052
V6347	1549	5111
V6348	237	1320
V6349	1719	2719
V6350	2428	3421
V6351	6822	9020
V6352	2807	7472
V6353	2031	5978
V6354	2875	6539
V6355	111	133
V6356	3051	6300
V6357	1470	3018
V6358	1516	4151
V6359	12069	6675
V6360	2251	6085
V6361	13531	6244
V6362	1356	2879
V6363	101778	5852
V6364	2518	7731
V6365	1914	4925
V6366	161373	4418
V6367	1855	5346
V6368	1565	6875
V6369	2343	5486
V6370	3957	1918
V6371	1322	3320
V6372	2815	3719
V6373	1750	5420
V6374	2192	6476
V6375	2553	8099
V6376	1386	3903
V6377	1173	5476
V6378	3728	6265
V6379	2470	6322
V6380	1623	4830
V6381	1506	4219
V6382	1510	4965
V6383	3364	10596
V6384	5032	10648
V6385	3415	2268
V6386	2232	6378
V6387	1548	4039
V6388	1397	7065
V6389	1457	4969
V6390	2634	5511
V6391	1634	4651
V6392	2455	5696
V6393	2018	9145
V6394	535	1911
V6395	1926	4792
V6396	1356	4142
V6397	1468	4568
V6398	2364	4565
V6399	4103	15696
V6400	1489	5014
V6401	2283	4930
V6402	1372	2389
V6403	123	362
V6404	1542	4112
V6405	1167	3110
V6406	1651	4543
V6407	2144	4236
V6408	684	4269
V6409	2995	6918
V6410	2805	6082
V6411	1955	3813
V6412	1223	3051
V6413	1440	4134
V6414	2186	4067
V6415	4218	9141
V6416	217554	5625
V6417	2584	7223
V6418	1633	6472
V6419	1522	4368
V6420	1596	4367
V6421	2135	5709
V6422	1303	4541
V6423	1923	4998
V6424	18107	4892
V6425	1826	5547
V6426	2391	6357
V6427	1983	4725
V6428	1464	3186
V6429	1688	4132
V6430	904	3466
V6431	1597	5284
V6432	1349	2289
V6433	1521	3472
V6434	287	2127
V6435	1354	1049
V6436	2170	6073
V6437	436	1803
V6438	750	2483
V6439	2651	7098
V6440	1324	4740
V6441	1986	4830
V6442	2006	5850
V6443	2617	8871
V6444	1702	3746
V6445	1297	4143
V6446	1599	2080
V6447	2434	5746
V6448	1302	4768
V6449	1022	4367
V6450	1165	3459
V6451	648	332
V6452	1462	3396
V6453	1647	6042
V6454	2786	6952
V6455	1759	4332
V6456	1511	3931
V6457	2044	4731
V6458	9095	30627
V6459	1833	4543
V6460	1729	4642
V6461	1355	5633
V6462	2077	5576
V6463	2626	7540
V6464	1788	3859
V6465	1511	4478
V6466	828	3675
V6467	945	4306
V6468	3527	2351
V6469	1712	5659
V6470	2022	5976
V6471	53642	2822
V6472	2185	5547
V6473	274	440
V6474	1976	5812
V6475	1766	5751
V6476	30322	4075
V6477	1007	2467
V6478	1528	3430
V6479	2070	5902
V6480	2536	5546
V6481	29130	1197
V6482	42	693
V6483	2457	3528
V6484	2986	7460
V6485	87222	3571
V6486	3782	6769
V6487	2509	6419
V6488	1250	4150
V6489	3177	7876
V6490	354	268
V6491	2566	8169
V6492	1234	4442
V6493	1690	4624
V6494	1723	4374
V6495	276742	5959
V6496	2586	6374
V6497	15845	5899
V6498	2650	6621
V6499	163	103
V6500	3301	9124
V6501	1271	4157
V6502	2128	8733
V6503	1195	4415
V6504	1380	5783
V6505	2294	3899
V6506	2033	4522
V6507	1014	718
V6508	140	1263
V6509	56065	12457
V6510	1879	4745
V6511	2551	4844
V6512	926	2706
V6513	1483	4467
V6514	786	4723
V6515	3130	7978
V6516	149	223
V6517	916	2642
V6518	1696	4971
V6519	1722	4819
V6520	2049	2636
V6521	850	2933
V6522	270	529
V6523	2276	1549
V6524	2553	7455
V6525	1875	5689
V6526	2238	6009
V6527	1174	2805
V6528	2005	5248
V6529	1862	4343
V6530	1350	4206
V6531	763	3605
V6532	2743	6182
V6533	314	707
V6534	1418	3821
V6535	1484	4425
V6536	1508	721
V6537	1940	4000
V6538	166320	6552
V6539	108364	7866
V6540	326	14706
V6541	1839	4999
V6542	1929	5231
V6543	895	3082
V6544	2813	6533
V6545	10460	8105
V6546	1481	5612
V6547	2170	5219
V6548	2012	5441
V6549	1092	3649
V6550	1273	4782
V6551	4246	2643
V6552	353664	7590
V6553	2355	6394
V6554	1882	6016
V6555	1715	3960
V6556	1753	4970
V6557	2345	7493
V6558	1805	6804
V6559	1216	4520
V6560	2053	6046
V6561	1329	3298
V6562	1951	5897
V6563	771	42
V6564	1208	3997
V6565	6782	41274
V6566	1925	4917
V6567	1659	2176
V6568	1817	4223
V6569	2544	4773
V6570	843	2491
V6571	1513	4672
V6572	2167	6364
V6573	1743	4701
V6574	2070	4233
V6575	2052	3707
V6576	1255	2284
V6577	1055	3165
V6578	955	2145
V6579	1160	2368
V6580	1452	4712
V6581	2641	8322
V6582	1863	4843
V6583	1315	3561
V6584	1926	5121
V6585	1701	4065
V6586	1471	3680
V6587	3074	8520
V6588	1367	4723
V6589	2082	6105
V6590	1676	5076
V6591	1844	5204
V6592	1600	4111
V6593	2987	6993
V6594	2401	6904
V6595	2267	4670
V6596	5291	12836
V6597	1948	6344
V6598	2019	3258
V6599	1704	6506
V6600	496	295
V6601	2042	5196
V6602	1809	6628
V6603	2239	6283
V6604	1135	2037
V6605	1024	860
V6606	2310	5589
V6607	241461	5094
V6608	1028	5271
V6609	1875	5458
V6610	883	2343
V6611	2007	5355
V6612	2098	5345
V6613	1519	4131
V6614	24133	3950
V6615	71435	4265
V6616	3105	7550
V6617	1890	4902
V6618	1135	4764
V6619	241	168
V6620	2513	7337
V6621	1403	3971
V6622	2046	6597
V6623	1787	4507
V6624	432	543
V6625	1022	3911
V6626	1241	4265
V6627	2387	5124
V6628	170398	3845
V6629	1161	5735
V6630	1433	4226
V6631	682	634
V6632	1138	3868
V6633	64215	2890
V6634	1475	3504
V6635	568	72
V6636	1116	3909
V6637	1759	5667
V6638	2631	6718
V6639	1780	6361
V6640	2188	5890
V6641	2003	5417
V6642	116	86
V6643	3346	5043
V6644	1696	5122
V6645	1501	3274
V6646	1066	4294
V6647	1957	6023
V6648	7643	22570
V6649	999	2049
V6650	395	464
V6651	1714	5610
V6652	217	49
V6653	1154	4464
V6654	1773	5363
V6655	1832	5216
V6656	3582	6113
V6657	1168	4004
V6658	513386	8384
V6659	2353	8051
V6660	1878	4827
V6661	3219	2714
V6662	370505	7316
V6663	1613	4679
V6664	1635	4189
V6665	1720	4455
V6666	1360	4176
V6667	342	534
V6668	1849	5495
V6669	421932	8368
V6670	2413	5649
V6671	2095	4918
V6672	662	1573
V6673	1565	4011
V6674	1876	5411
V6675	2069	5327
V6676	2105	5648
V6677	159	632
V6678	1897	5932
V6679	3939	6023
V6680	197	131995
V6681	2166	5395
V6682	265	360
V6683	1044	3203
V6684	1941	4720
V6685	137	126
V6686	3307	6398
V6687	286	327
V6688	1612	4574
V6689	37728	4211
V6690	1146	3293
V6691	1544	4918
V6692	1555	4416
V6693	312	898
V6694	1705	4633
V6695	1156	4437
V6696	1537	4626
V6697	2112	4345
V6698	924	4984
V6699	2655	6799
V6700	1806	4253
V6701	685	4156
V6702	2116	4627
V6703	2110	5727
V6704	2466	4457
V6705	2027	4397
V6706	1002	2663
V6707	1404	4191
V6708	3788	7507
V6709	385426	6267
V6710	1520	3989
V6711	1479	3761
V6712	2112	6334
V6713	1538	13046
V6714	1468	3452
V6715	2135	4514
V6716	2894	6671
V6717	1249	3171
V6718	1266	4025
V6719	1334	4478
V6720	1679	2940
V6721	1440	4140
V6722	1852	5066
V6723	398	358
V6724	1067	2991
V6725	1864	5068
V6726	176144	4468
V6727	2580	6440
V6728	490	136
V6729	903	3122
V6730	1885	6451
V6731	1647	5810
V6732	6093	4448
V6733	1235	2838
V6734	1410	4028
V6735	80	229
V6736	1495	4333
V6737	1903	3794
V6738	2209	5765
V6739	1864	3799
V6740	2773	6663
V6741	276	551
V6742	3444	13752
V6743	3204	6125
V6744	1357	4956
V6745	136955	5031
V6746	18461	7432
V6747	1768	1240
V6748	2121	5838
V6749	1797	5245
V6750	45	482
V6751	1228	2752
V6752	50	660
V6753	1767	4521
V6754	72194	2698
V6755	134	105
V6756	1590	5313
V6757	1438	4597
V6758	2279	7472
V6759	1612	6079
V6760	170	691
V6761	1828	4318
V6762	1295	4040
V6763	3027	5388
V6764	467	757
V6765	1861	4991
V6766	1531	5592
V6767	954	3737
V6768	233	340
V6769	4536	5654
V6770	2003	5153
V6771	1901	4243
V6772	3289	6910
V6773	1421	5265
V6774	2831	5681
V6775	12937	3705
V6776	1427	3700
