	clarity	color	cut	depth	table	x	y	z
459	VS2	I	Premium	61.8	59	4.61	4.64	2.86
460	VVS2	D	Very Good	63.6	59	6.25	6.32	4
461	SI2	I	Ideal	61.3	56	6.59	6.55	4.03
462	VVS1	F	Very Good	59.8	61	4.31	4.35	2.59
463	VVS1	H	Premium	61.2	58	3.96	4.01	2.44
464	VS2	E	Ideal	61.9	56	5.32	5.27	3.28
465	VS2	F	Premium	63	55	5.1	5.06	3.2
466	VS2	E	Ideal	60.9	57	6.01	6.05	3.67
467	SI1	J	Very Good	59.8	59.9	8.16	8.21	4.9
468	SI2	G	Ideal	61.7	56	4.79	4.81	2.96
469	VS2	D	Very Good	62.9	57	3.92	3.97	2.48
470	IF	G	Ideal	62	57	4.8	4.82	2.98
471	SI2	G	Premium	61.4	59	8.14	8.06	4.97
472	VS2	E	Ideal	61.1	55	5.2	5.27	3.2
473	SI2	D	Premium	61.7	59	6.41	6.37	3.94
474	VVS1	I	Good	64	60	7.21	7.26	4.63
475	SI2	H	Premium	62.1	62	5.67	5.63	3.51
476	SI1	E	Ideal	62.9	54	5.76	5.72	3.61
477	SI1	D	Premium	61.3	60	5.15	5.1	3.14
478	VS2	D	Ideal	61.5	56	4.44	4.41	2.72
479	I1	F	Ideal	61.1	55	6.51	6.54	3.99
480	SI1	F	Ideal	59.9	56	6.64	6.58	3.96
481	VS2	D	Premium	61.8	60	7.3	7.37	4.53
482	VS1	I	Premium	61.6	60	4.3	4.27	2.64
483	VVS2	G	Ideal	61.6	56.3	6.53	6.56	4.03
484	VS2	E	Premium	61.1	59	5.27	5.34	3.24
485	SI1	E	Very Good	63.3	55	4.36	4.33	2.75
486	VS2	G	Ideal	62.5	57	4.39	4.41	2.75
487	SI2	H	Ideal	59.3	57	6.74	6.71	3.99
488	VS1	F	Premium	62.1	60	5.82	5.77	3.6
489	VS2	E	Premium	62.7	59	6.7	6.67	4.19
490	VVS1	F	Ideal	62.2	56	6.93	6.89	4.3
491	VS1	F	Good	56.5	61	5.11	5.05	2.87
492	SI1	H	Very Good	62.8	55	7.29	7.32	4.59
493	VS1	H	Ideal	62.2	55	4.47	4.49	2.79
494	VVS2	I	Very Good	61.3	56	4.52	4.54	2.78
495	I1	F	Good	60.6	62	7.22	7.24	4.38
496	VVS2	J	Ideal	61.7	54.6	4.65	4.69	2.89
497	VVS1	F	Premium	62.4	60	4.31	4.28	2.68
498	VS1	E	Ideal	61.6	56	4.17	4.14	2.56
499	VS2	E	Very Good	61.6	61	4.26	4.31	2.64
500	VS1	F	Very Good	60.6	55	4.41	4.43	2.67
501	VVS1	F	Premium	62.7	60	4.35	4.32	2.72
502	VS1	J	Ideal	61.7	57	5.79	5.84	3.59
503	VVS1	F	Premium	61.1	59	4.78	4.75	2.91
504	SI1	F	Very Good	61.7	61	5.67	5.7	3.51
505	SI1	H	Very Good	60.9	58	8.07	8.15	4.94
506	SI2	I	Ideal	61	59	7.05	7.01	4.29
507	VVS2	G	Ideal	62	56	4.62	4.64	2.87
508	VS2	D	Ideal	61	56	4.42	4.46	2.71
509	VVS1	G	Very Good	60.4	57	6.7	6.77	4.07
510	SI1	F	Very Good	57.9	61	4.39	4.49	2.57
511	VVS1	G	Good	64	57	4.23	4.27	2.72
512	SI1	G	Premium	60.9	58	4.73	4.7	2.87
513	VVS2	H	Very Good	62.6	56	4.33	4.36	2.72
514	VS1	F	Very Good	59	60	7	7.07	4.15
515	SI2	I	Very Good	59.6	60	7.09	7.17	4.25
516	SI2	E	Very Good	63.2	60	5.32	5.28	3.35
517	VS2	F	Premium	62.2	60	7.25	7.34	4.54
518	SI2	I	Premium	62.2	59	6.67	6.61	4.13
519	VS2	H	Ideal	60.3	61	6.84	6.8	4.11
520	VS1	F	Very Good	60	57	5.8	5.87	3.5
521	SI1	D	Ideal	61.7	54	4.78	4.79	2.95
522	VVS1	G	Ideal	61.4	55	6.59	6.66	4.06
523	VS2	F	Good	62.6	61	5.56	5.62	3.5
524	VVS2	F	Ideal	60.6	57	4.82	4.85	2.93
525	VS2	I	Premium	62.5	58	6.39	6.44	4.01
526	SI1	H	Premium	62.3	59	5.02	4.99	3.12
527	VVS1	I	Ideal	62.4	54.8	4.64	4.66	2.9
528	VS1	D	Very Good	60.1	58	6.12	6.15	3.69
529	SI1	G	Ideal	61.7	54	5.52	5.56	3.42
530	VVS1	I	Premium	61	58	4.39	4.33	2.66
531	SI1	E	Very Good	62.3	57	7.43	7.47	4.64
532	SI1	D	Very Good	61.6	61	6.5	6.55	4.02
533	VS1	H	Ideal	61.4	54	4.33	4.37	2.67
534	VVS2	F	Very Good	61.8	60	4.36	4.41	2.71
535	VS1	D	Ideal	61.6	57	6.52	6.56	4.03
536	VS1	H	Premium	62.7	58	6.75	6.65	4.2
537	VS1	J	Good	63.4	55	4.25	4.3	2.71
538	I1	F	Good	64.3	59	6.37	6.42	4.11
539	VS1	H	Ideal	61.9	56	5.7	5.73	3.54
540	SI1	E	Premium	61.9	59	4.36	4.39	2.71
541	SI2	G	Very Good	63.1	57	7.29	7.25	4.59
542	SI1	D	Ideal	61.9	55	4.84	4.79	2.98
543	VVS1	F	Ideal	61.9	55	4.37	4.42	2.72
544	SI2	G	Premium	61.3	58	7.94	7.83	4.83
545	VVS2	E	Ideal	61.8	56	4.35	4.33	2.68
546	SI2	J	Premium	60.9	60	8.42	8.34	5.1
547	SI1	E	Premium	59.9	59	4.7	4.68	2.81
548	SI1	E	Ideal	62.8	54.2	6.32	6.4	4.01
549	VS1	G	Premium	60.3	58	4.52	4.5	2.72
550	SI1	F	Ideal	61.7	56	6.64	6.68	4.11
551	VS1	E	Very Good	61.6	56	4.4	4.46	2.73
552	VS2	E	Very Good	60.2	57	5.77	5.82	3.49
553	SI2	J	Fair	69.9	61	6.13	5.86	4.23
554	SI1	D	Ideal	62.6	57	4.33	4.3	2.7
555	VS1	I	Ideal	61	56	5.37	5.41	3.29
556	SI2	E	Premium	60.9	61	6.61	6.55	4.01
557	VS1	I	Ideal	62.4	56	5.66	5.68	3.54
558	VS2	J	Ideal	61.7	55	6.08	6.11	3.76
559	VVS1	F	Good	64	57	4.06	4.03	2.59
560	IF	E	Very Good	62.8	54	4.3	4.33	2.71
561	SI1	D	Ideal	61.4	55	5.43	5.45	3.34
562	VS2	D	Fair	65.2	57	6.23	6.19	4.05
563	VS1	I	Very Good	61.8	63	4.29	4.26	2.64
564	VS1	E	Very Good	62.7	56	5.09	5.12	3.2
565	VS2	F	Premium	60.6	58	4.67	4.63	2.82
566	SI2	G	Ideal	62.1	57	6.48	6.44	4.01
567	SI1	G	Ideal	61.7	55	5.7	5.73	3.53
568	SI2	I	Good	64.1	58	6.31	6.26	4.03
569	VS2	I	Good	63.8	58	5.89	5.84	3.74
570	VS1	D	Good	63.9	57	6.57	6.49	4.17
571	VS1	E	Ideal	61.2	55	4.76	4.79	2.92
572	VS1	I	Fair	64.4	59	5.29	5.21	3.38
573	VS1	D	Ideal	62.4	56	4.64	4.68	2.91
574	VS2	H	Premium	61.3	59	6.76	6.72	4.13
575	SI2	H	Very Good	60.2	61	6.44	6.48	3.89
576	VS1	H	Ideal	64.9	58	6.57	6.53	4.25
577	SI2	F	Premium	59.5	60	6.39	6.36	3.79
578	SI2	I	Premium	62	56	8.01	7.87	4.92
579	SI2	H	Ideal	62	55	6.9	6.97	4.29
580	SI1	H	Ideal	62.4	56	8.4	8.37	5.23
581	SI1	H	Good	63.7	56	5.07	5.1	3.24
582	VVS1	G	Ideal	61.5	55	4.97	5.01	3.07
583	VVS1	G	Ideal	60.8	56	4.36	4.39	2.66
584	VS2	J	Very Good	62.1	62	5.82	5.87	3.63
585	SI2	D	Premium	59.5	59	4.5	4.48	2.67
586	VVS2	H	Very Good	62.4	54	4.75	4.77	2.97
587	IF	F	Ideal	61.3	57	5.19	5.21	3.19
588	SI1	D	Ideal	62.3	55	5.83	5.8	3.62
589	SI1	G	Ideal	63	56	5.71	5.68	3.59
590	SI1	I	Ideal	61.6	57	8.38	8.43	5.18
591	VVS1	G	Ideal	61.6	57	5.69	5.73	3.52
592	SI2	E	Ideal	62.7	56	6.69	6.73	4.21
593	SI1	G	Ideal	62.2	54	5.18	5.2	3.23
594	VS1	G	Ideal	61.5	55	6.56	6.59	4.04
595	SI1	E	Premium	62.5	59	7.33	7.26	4.56
596	VS2	D	Ideal	62.2	55	4.37	4.41	2.73
597	VS2	F	Ideal	61.8	57	4.75	4.79	2.95
598	VS1	I	Ideal	60.7	60	7.4	7.42	4.5
599	VS2	D	Ideal	61.8	55	4.37	4.33	2.69
600	VS2	G	Very Good	60.1	58	6.64	6.67	4
601	VS1	E	Ideal	62.6	53.5	4.61	4.66	2.9
602	IF	G	Very Good	61.7	54	4.33	4.36	2.68
603	SI2	E	Premium	62.7	52	5.15	5.12	3.22
604	VVS2	E	Fair	57.2	64	5.27	5.36	3.04
605	SI2	D	Ideal	61.6	57	6.62	6.58	4.07
606	VS2	H	Premium	62.8	59	8.03	7.97	5.02
607	SI2	E	Ideal	61	58	4.76	4.78	2.91
608	SI1	F	Fair	65.8	58	5.2	5.1	3.39
609	SI2	H	Ideal	61.6	56	5.25	5.28	3.24
610	SI1	I	Premium	61.6	58	6.45	6.51	3.99
611	SI1	J	Ideal	62.5	56	7.59	7.54	4.73
612	VS1	E	Ideal	62.3	55	5.09	5.12	3.18
613	SI1	G	Very Good	63	57	6.7	6.75	4.24
614	VS2	D	Ideal	61.9	57	5.09	5.06	3.14
615	SI1	H	Ideal	62.2	55	8.2	8.27	5.12
616	SI1	G	Premium	62.6	58	6.17	6.14	3.85
617	VVS1	F	Ideal	61.9	54	4.7	4.67	2.9
618	SI1	I	Ideal	61.6	57	8.24	8.15	5.05
619	VVS2	D	Ideal	61.2	55	4.37	4.42	2.69
620	SI2	G	Very Good	62.7	57	6.21	6.26	3.91
621	VS2	G	Ideal	62.6	54	5.32	5.38	3.35
622	SI2	E	Ideal	62.7	57	4.37	4.34	2.73
623	SI2	F	Good	63.6	62	6.25	6.2	3.96
624	SI2	F	Ideal	59.3	57	5.86	5.81	3.46
625	VS1	E	Very Good	60	57	4.33	4.34	2.6
626	VS1	E	Very Good	59.4	56	6.53	6.56	3.89
627	VS2	D	Very Good	63.3	54	5.07	5.04	3.2
628	VS2	E	Ideal	62.1	57	5.71	5.75	3.56
629	SI2	F	Very Good	63.4	56	4.29	4.26	2.71
630	VS1	G	Good	63.5	61	5.6	5.64	3.57
631	SI1	D	Very Good	62	58	6.18	6.21	3.84
632	SI1	F	Very Good	63	57	6.36	6.4	4.02
633	VVS1	G	Ideal	62.1	53	4.36	4.4	2.72
634	SI1	E	Good	63.5	56	6.37	6.41	4.06
635	VS1	H	Ideal	61.6	57	6.82	6.85	4.21
636	SI2	E	Ideal	61.7	57	6.55	6.6	4.06
637	VVS2	G	Premium	62.5	60	4.7	4.65	2.92
638	SI2	D	Fair	64.7	59	6.09	5.99	3.91
639	VS2	G	Very Good	62.2	57	6.55	6.6	4.09
640	SI1	D	Very Good	61	57	4.85	4.88	2.97
641	VS1	G	Premium	60.8	59	5.76	5.72	3.49
642	IF	J	Ideal	62.2	56	4.37	4.41	2.73
643	SI2	E	Premium	60.5	59	6.67	6.59	4.01
644	VS2	G	Fair	67.8	59	6.07	6.02	4.1
645	VS2	F	Ideal	60.2	55	7.45	7.51	4.5
646	SI2	D	Premium	58.9	60	7.48	7.45	4.4
647	VS1	G	Very Good	62.8	58	4.26	4.28	2.68
648	VVS2	D	Ideal	62.1	57	3.92	3.97	2.45
649	VS2	I	Very Good	62.3	58	5.58	5.65	3.5
650	SI1	H	Good	61.6	61	6.29	6.35	3.89
651	SI1	D	Very Good	63.3	57	6.33	6.37	4.02
652	VVS1	E	Very Good	63.5	58	5.78	5.72	3.65
653	SI1	I	Good	63.6	56	4.5	4.53	2.87
654	VS2	H	Premium	60.6	58	6.88	6.82	4.15
655	VVS2	E	Very Good	63.4	58	5.64	5.69	3.59
656	VS1	F	Ideal	61.6	55	5.68	5.71	3.51
657	VS2	E	Ideal	59.3	58	4.53	4.51	2.68
658	VVS2	G	Ideal	61.3	55	6.86	6.81	4.19
659	SI1	E	Very Good	63.2	57	5.15	5.2	3.27
660	VS2	G	Ideal	61.2	55	4.69	4.72	2.88
661	SI1	D	Very Good	59.3	59	6.63	6.69	3.95
662	SI1	F	Ideal	61.6	56	4.81	4.85	2.98
663	SI1	E	Very Good	61.5	61	4.82	4.87	2.98
664	VS2	E	Ideal	61.5	58	5.12	5.15	3.16
665	VS2	I	Ideal	62.4	54	4.73	4.76	2.96
666	VS1	H	Very Good	63.3	56	7.63	7.53	4.8
667	SI1	F	Ideal	61.3	57	6.47	6.53	3.98
668	VS2	F	Very Good	62.4	59	5.64	5.71	3.54
669	VVS1	E	Premium	61.8	59	4.39	4.35	2.7
670	VS2	D	Ideal	61.4	57	5.27	5.31	3.25
671	SI1	G	Premium	62.8	61	5.14	5.11	3.22
672	VS2	G	Ideal	61.1	57	6.51	6.54	3.99
673	SI1	F	Premium	61.1	59	4.59	4.55	2.79
674	VVS2	F	Ideal	61.8	56	6.89	6.84	4.24
675	VVS2	G	Ideal	62.2	54	4.29	4.33	2.68
676	VS2	D	Premium	60.3	62	5.76	5.69	3.45
677	VVS2	E	Ideal	60.7	57	4.36	4.41	2.66
678	SI2	D	Premium	61.5	60	4.34	4.31	2.66
679	VS1	G	Ideal	62.4	56	7.03	6.95	4.36
680	SI1	I	Ideal	61.9	57	4.29	4.31	2.66
681	VVS2	E	Very Good	60.8	57	4.89	4.92	2.98
682	VS2	F	Very Good	59.4	57	5.29	5.35	3.16
683	SI2	D	Good	63.6	57	6.07	6.03	3.85
684	VS1	D	Ideal	61.6	55	4.79	4.82	2.96
685	SI1	F	Ideal	62.5	56	5.8	5.76	3.61
686	SI2	F	Ideal	62	57	5.96	5.98	3.7
687	SI1	E	Ideal	62.1	55	4.33	4.36	2.7
688	SI1	E	Fair	65.1	58	6.35	6.24	4.1
689	VS2	F	Very Good	62.9	55	6.34	6.38	4
690	SI1	H	Ideal	60.5	57	6.63	6.67	4.02
691	SI2	I	Good	63.2	58	7.66	7.75	4.87
692	VS1	G	Premium	60.6	60	4.4	4.44	2.68
693	SI1	H	Ideal	61.9	57	6.58	6.63	4.09
694	VS2	I	Premium	62.6	58	4.42	4.37	2.75
695	SI2	H	Very Good	59.7	58	6.53	6.57	3.91
696	VS2	G	Premium	61.5	58	4.35	4.4	2.69
697	SI1	F	Ideal	62.3	56	5.77	5.79	3.6
698	VS2	F	Ideal	61.4	57	4.45	4.48	2.74
699	SI2	H	Ideal	62.6	57	6.72	6.63	4.18
700	VVS2	G	Very Good	59.7	59	4.48	4.53	2.69
701	SI1	H	Good	63.8	53	6.39	6.27	4.04
702	VS2	J	Ideal	62.3	55	5.88	5.91	3.67
703	SI2	E	Ideal	62.1	56	5.18	5.22	3.23
704	VVS2	E	Premium	59.5	58	4.77	4.74	2.83
705	VVS2	H	Very Good	61.3	58	5.8	5.85	3.57
706	SI1	E	Premium	62.3	58	4.85	4.88	3.03
707	I1	H	Premium	61.7	62	6.68	6.64	4.11
708	SI2	E	Good	63.8	54	5.18	5.17	3.3
709	VS2	D	Good	63.4	56	5.05	5.1	3.22
710	VVS2	F	Ideal	62	53.6	5.09	5.13	3.18
711	I1	I	Fair	66.3	63	5.58	5.43	3.66
712	SI1	G	Premium	62.7	59	6.1	6.14	3.84
713	VVS2	D	Very Good	62	61	3.99	4.04	2.49
714	VVS1	F	Ideal	61.9	57	4.33	4.3	2.67
715	VS1	F	Ideal	61.9	56	5.39	5.3	3.31
716	VS2	E	Ideal	60.8	57	4.39	4.42	2.68
717	VS2	H	Fair	65.6	55	6.01	5.97	3.93
718	VVS2	H	Very Good	59.9	61	6.29	6.19	3.74
719	VVS1	E	Ideal	59.5	60	4.36	4.38	2.6
720	VS1	J	Ideal	62.2	54.3	4.73	4.75	2.95
721	SI1	E	Very Good	63.5	57	5.63	5.68	3.59
722	VS2	D	Ideal	60.9	56	5.31	5.36	3.25
723	SI1	I	Premium	61.4	57	6.87	6.8	4.2
724	VS2	F	Premium	58.4	62	4.79	4.76	2.79
725	SI2	H	Premium	59.4	58	8.69	8.75	5.18
726	VS1	D	Premium	59.3	58	4.87	4.85	2.88
727	VVS1	G	Premium	62.7	58	4.79	4.74	2.99
728	VVS1	H	Ideal	62	59	6.12	6.13	3.8
729	VVS1	D	Premium	62	54	6.67	6.63	4.16
730	SI1	I	Good	63.8	57	7.21	7.18	4.59
731	SI2	G	Ideal	60.7	55	7.54	7.51	4.57
732	SI2	H	Premium	60.2	59	6.84	6.78	4.1
733	VS1	H	Very Good	63	59	4.21	4.27	2.67
734	VS2	H	Very Good	63.5	59	4.27	4.2	2.69
735	VS2	J	Ideal	62.9	54	6.87	6.9	4.33
736	SI1	D	Ideal	62.1	57	4.47	4.49	2.78
737	VS1	G	Ideal	61.8	56	6.02	6.11	3.75
738	VVS2	D	Premium	61.1	60	4.66	4.7	2.86
739	SI1	G	Very Good	58.8	62	4.39	4.42	2.59
740	VS2	E	Premium	62	58	5.09	5.07	3.15
741	VS2	E	Good	63.7	55	5.12	5.15	3.27
742	SI1	H	Premium	62.2	60	6.43	6.4	3.99
743	SI2	D	Ideal	59.9	57	5.92	5.89	3.54
744	VVS1	E	Premium	62.4	56	4.57	4.53	2.84
745	SI1	E	Good	63.2	53	4.84	4.87	3.07
746	VS2	G	Ideal	63	55	4.31	4.29	2.71
747	VVS1	G	Very Good	63.3	53	5.06	5.09	3.21
748	VVS2	G	Ideal	62.2	55	5.77	5.74	3.58
749	VVS2	F	Ideal	61.1	57	4.22	4.26	2.59
750	VS2	G	Premium	62.6	55	5.31	5.26	3.31
751	VS1	F	Ideal	62.3	57	4.69	4.65	2.91
752	VS1	G	Ideal	62.8	58	6.44	6.48	4.06
753	VVS1	F	Ideal	62	54.7	4.62	4.67	2.88
754	VS2	I	Very Good	61.9	61	6.36	6.41	3.95
755	VS2	H	Good	63.6	58	7.27	7.22	4.61
756	IF	F	Ideal	62.2	54	4.76	4.79	2.97
757	VS1	F	Ideal	61.7	56	5.3	5.33	3.28
758	VS1	I	Premium	61.6	58	6.9	6.84	4.23
759	SI1	F	Premium	62.3	55	4.44	4.39	2.75
760	SI1	J	Premium	60.8	58	6.39	6.44	3.9
761	VVS2	G	Ideal	60.1	56	5.22	5.19	3.13
762	SI2	F	Very Good	60.3	59	6.5	6.53	3.93
763	SI2	H	Ideal	62.2	56	6.74	6.76	4.2
764	VS2	G	Ideal	61.9	57	4.26	4.3	2.65
765	VS1	F	Premium	60.5	58	4.97	5.02	3.02
766	VS1	G	Ideal	62.4	57	4.74	4.72	2.95
767	VVS2	G	Premium	61.5	56	5.15	5.12	3.16
768	VS2	G	Very Good	63.5	62	6.07	6.11	3.87
769	VS2	H	Ideal	61.8	56	4.15	4.17	2.57
770	VS2	I	Ideal	62.3	57	6.74	6.8	4.22
771	SI2	D	Good	60.8	65	4.26	4.29	2.6
772	SI1	D	Premium	62.3	61	5.11	5.07	3.17
773	SI2	G	Fair	65.6	61	5.46	5.37	3.55
774	VS2	H	Ideal	62.6	57	4.34	4.38	2.73
775	VS2	E	Very Good	61	58	5.29	5.34	3.24
776	SI2	E	Premium	61.6	59	5.83	5.68	3.55
777	SI2	F	Premium	61.2	57	8.26	8.21	5.04
778	VS2	E	Very Good	63.5	59	5.68	5.59	3.58
779	VS2	H	Very Good	60.1	57	6.88	6.97	4.16
780	VS2	E	Very Good	62.8	56	5.66	5.68	3.56
781	SI1	H	Ideal	62.1	56	5.77	5.83	3.6
782	IF	H	Premium	62.5	58	7.33	7.38	4.6
783	VS1	D	Ideal	61.6	57	5.33	5.29	3.27
784	VS1	G	Ideal	60.9	55	5.22	5.16	3.16
785	SI1	F	Very Good	62.9	57	4.31	4.34	2.72
786	VS1	G	Ideal	61.1	57	7.41	7.38	4.52
787	VVS2	F	Ideal	61.7	55	4.49	4.52	2.78
788	SI2	G	Good	64.3	57	7.2	7.29	4.66
789	VS1	E	Ideal	62.1	55	4.75	4.79	2.96
790	SI2	H	Ideal	61.9	57	7.42	7.34	4.57
791	SI2	G	Premium	62	60	7.1	7.16	4.42
792	VS2	I	Premium	61.6	61	8.08	7.97	4.94
793	SI2	F	Ideal	62.1	55	6.42	6.47	4
794	VS2	G	Ideal	61.8	57	4.37	4.4	2.71
795	SI1	E	Premium	61.1	59	4.5	4.56	2.77
796	VS2	D	Premium	61.5	58	7.48	7.51	4.61
797	SI1	E	Fair	53.8	63	6.99	6.81	3.71
798	VS2	F	Premium	62.9	58	4.31	4.27	2.7
799	VS1	I	Premium	61.3	58	4.39	4.35	2.68
800	VS1	G	Very Good	61.2	60	4.56	4.59	2.8
801	VS1	E	Very Good	62.3	59	5.14	5.17	3.21
802	VS2	E	Premium	59.4	60	5.47	5.43	3.24
803	VS1	D	Ideal	61.8	54	4.67	4.71	2.9
804	VVS2	G	Ideal	60.8	55	6.91	6.9	4.19
805	SI2	F	Ideal	62.9	56	7.05	7.03	4.43
806	VVS1	H	Very Good	61.4	60	4.73	4.78	2.92
807	SI1	D	Very Good	62	60	6.12	6.2	3.82
808	SI2	F	Very Good	63.1	57	6.37	6.3	4
809	VS2	E	Premium	61	60	4.47	4.42	2.71
810	VVS2	G	Very Good	60.5	62	5.07	5.14	3.09
811	VS1	I	Ideal	61.9	56	6.2	6.23	3.85
812	VVS1	E	Ideal	60.7	55	4.56	4.6	2.78
813	SI1	I	Very Good	62.8	57	6.09	6.18	3.85
814	VS1	H	Premium	63	59	6.13	6.1	3.85
815	SI1	I	Ideal	62	56	5.8	5.75	3.58
816	SI1	E	Ideal	61.2	57	4.52	4.56	2.78
817	SI2	D	Premium	60.3	58	6.79	6.71	4.07
818	SI1	D	Good	64.2	60	5.62	5.59	3.6
819	SI1	D	Ideal	60.2	57	6.48	6.54	3.92
820	SI1	D	Very Good	62.3	57	4.26	4.31	2.67
821	VS1	G	Ideal	61.9	56	6.71	6.73	4.16
822	SI1	F	Premium	62.6	58	4.81	4.77	3
823	SI1	J	Very Good	58.9	59	4.84	4.87	2.86
824	SI1	G	Very Good	61.5	54	7.35	7.42	4.54
825	VS2	D	Ideal	61	57	6.76	6.78	4.13
826	VS1	J	Ideal	61.5	58	4.73	4.76	2.92
827	VVS2	D	Ideal	61.6	55	4.41	4.45	2.73
828	SI2	H	Good	63.8	62	7.38	7.35	4.7
829	SI1	F	Ideal	61.8	53	5.7	5.75	3.54
830	IF	I	Ideal	60.2	56	5.23	5.27	3.16
831	VVS1	G	Ideal	60.9	56.8	4.34	4.38	2.65
832	VS1	G	Premium	59.6	58	5.22	5.21	3.11
833	SI2	D	Good	63.7	60	5.09	5.02	3.22
834	SI1	G	Ideal	60.4	58	4.7	4.74	2.85
835	VS1	E	Good	59.9	61	4.89	4.93	2.94
836	SI1	H	Very Good	60.4	58	6.67	6.73	4.05
837	VS2	E	Ideal	61.1	56	4.6	4.63	2.82
838	VS2	G	Ideal	61.2	56	5.19	5.22	3.19
839	VS2	H	Ideal	62.2	54	4.33	4.35	2.7
840	SI1	D	Very Good	62.9	57	4.27	4.32	2.7
841	VS2	E	Ideal	61.3	57	6.49	6.46	3.97
842	VVS1	F	Ideal	61.6	58	4.27	4.3	2.64
843	VS2	E	Very Good	62.1	59	6.34	6.38	3.95
844	VS2	H	Very Good	63	57	6.09	6.13	3.85
845	SI2	G	Ideal	61.3	58	5.67	5.69	3.48
846	SI1	F	Ideal	61.9	55	5.19	5.21	3.22
847	SI2	E	Very Good	62.5	54	5.21	5.25	3.27
848	VS2	E	Very Good	59.3	59	6.5	6.56	3.87
849	IF	F	Ideal	61.3	56	4.76	4.77	2.92
850	VVS2	H	Premium	62.2	58	4.33	4.38	2.71
851	VS2	H	Premium	61.9	60	7.61	7.57	4.7
852	VS1	H	Ideal	61.2	54	4.2	4.23	2.58
853	VVS2	F	Premium	59.6	59	4.83	4.86	2.89
854	SI1	E	Ideal	60.2	57	6.8	6.77	4.09
855	VS1	E	Ideal	61.6	56	4.67	4.65	2.87
856	VS2	G	Premium	62.6	57	4.8	4.76	2.99
857	SI2	D	Premium	62	62	6.25	6.16	3.85
858	SI2	D	Very Good	62.5	58	6.35	6.44	4
859	VVS2	G	Ideal	62.6	53	4.43	4.45	2.78
860	VVS2	F	Ideal	60.9	56	6.54	6.49	3.97
861	VS2	E	Ideal	62.6	53	4.38	4.37	2.74
862	IF	G	Ideal	60.6	55	7.27	7.21	4.39
863	VS2	H	Ideal	61.6	57	5.35	5.37	3.3
864	SI1	J	Good	62.8	58	6.28	6.33	3.96
865	VVS1	G	Ideal	62.7	58	5.39	5.43	3.39
866	SI1	I	Very Good	63.1	59	8.11	8.02	5.09
867	SI1	E	Very Good	62.8	59	4.67	4.7	2.94
868	SI1	H	Very Good	59.3	60	8.14	8.21	4.85
869	SI1	G	Premium	62.2	58	6.64	6.7	4.15
870	VS2	E	Ideal	62.1	56	4.4	4.45	2.75
871	VS2	J	Ideal	61.9	57	5.29	5.31	3.28
872	SI1	F	Ideal	61.4	57	5.67	5.69	3.49
873	SI2	J	Premium	61.3	58	6.98	6.95	4.27
874	SI2	F	Premium	62.2	60	6.47	6.45	4.02
875	SI1	H	Very Good	62	54	6.43	6.47	4
876	VVS1	G	Very Good	59.6	63	5.16	5.11	3.06
877	VS2	G	Good	63.9	54	6.37	6.31	4.05
878	VS1	G	Ideal	61.8	57	6.45	6.4	3.97
879	VVS1	F	Premium	61.1	55	5.15	5.13	3.14
880	IF	I	Ideal	62.6	57	4.78	4.74	2.98
881	SI1	D	Premium	61.1	60	4.83	4.79	2.94
882	SI2	D	Premium	60	58	8.31	8.23	4.96
883	SI2	H	Premium	59.4	59	6.56	6.53	3.89
884	SI2	D	Ideal	62	56	4.56	4.6	2.84
885	SI1	E	Ideal	61.4	57	6.59	6.53	4.03
886	VS1	D	Premium	60.8	58	6.53	6.5	3.96
887	VS2	E	Ideal	62.5	56	4.61	4.58	2.87
888	SI1	J	Very Good	62.9	59	8.21	8.25	5.18
889	VS1	H	Good	63.4	53	4.25	4.3	2.71
890	VS2	G	Premium	62.6	58	4.44	4.41	2.77
891	VVS2	F	Ideal	62.2	56	4.45	4.43	2.76
892	SI1	J	Very Good	62.5	58	6.37	6.43	4
893	VVS2	D	Very Good	62	56	7.25	7.32	4.52
894	VVS1	G	Ideal	61.5	57	5.4	5.46	3.34
895	VS2	F	Premium	62.3	60	5.1	5.07	3.17
896	VVS2	D	Ideal	62.6	55	6.94	6.89	4.33
897	VVS2	G	Ideal	61.9	56	6.22	6.15	3.83
898	VVS2	E	Ideal	62.2	53.8	4.62	4.66	2.88
899	SI1	F	Premium	60.9	59	5.21	5.23	3.18
900	SI1	I	Good	64.2	57	5.59	5.57	3.58
901	VVS1	D	Ideal	61.7	57	4.2	4.16	2.58
902	SI2	H	Ideal	62.7	55	6.74	6.69	4.21
903	VS2	G	Premium	62.1	60	6.37	6.35	3.95
904	VS1	E	Ideal	60.9	57	5.19	5.25	3.18
905	VS2	E	Very Good	62.6	56	6.39	6.43	4.01
906	SI1	D	Premium	61.9	59	4.62	4.65	2.87
907	I1	D	Fair	66.2	57	6	5.94	3.95
908	SI1	E	Ideal	61.8	53.8	4.63	4.67	2.88
909	SI1	H	Fair	66.3	57	7.71	7.79	5.14
910	I1	J	Fair	68.5	59	7.31	7.24	4.98
911	SI1	H	Very Good	59.5	57	4.78	5.11	2.94
912	VVS1	I	Premium	61.9	58	4.52	4.43	2.77
913	VS1	F	Good	64.2	60	6.18	6.28	4
914	VVS1	E	Premium	60.3	61	4.06	4.03	2.44
915	SI1	D	Premium	60.5	59	5.81	5.79	3.51
