	GATA3	PTEN	XBP1
OV172	-3.82	0.87	-0.04
OV173	-4.56	1.48	-2.23
OV174	-3.91	1.04	0.16
OV175	-3.84	0.81	-0.76
OV176	-3.27	-1.17	0.21
OV177	-3.66	1	0.02
OV178	-5.78	-0.04	-2.11
OV179	-4.83	0.58	-0.79
OV180	-4.37	0.13	-1.52
OV181	-4.35	0.49	-1.47
OV182	-3.17	0.51	-1.57
OV183	-3.69	0.24	-1.26
OV184	-2.65	-0.21	0.15
OV185	-3.81	-0.3	-1.48
OV186	-4.16	0.97	-0.86
OV187	-4.18	0.98	-1.58
OV188	-4.14	1.23	-0.8
OV189	-5.06	1.43	-0.44
OV190	-4.11	0	-1.63
OV191	-4.85	0.14	-0.98
OV192	-4.86	-1.54	-1.67
OV193	-3.51	-0.48	-0.58
OV194	-4.7	0.21	-2.17
OV195	-5.18	0.64	-1.5
OV196	-4.21	0.44	-0.83
OV197	-3.97	1	-2.1
OV198	-5.47	0.01	-0.64
OV199	-3.54	0.5	-0.34
OV200	-3.46	0	-2.19
OV201	-4.04	1.43	-0.54
OV202	-3.98	-0.43	0.31
OV203	-3.88	0.69	0.56
OV204	-4.25	1.81	-1.24
OV205	-3.94	0.13	-0.6
OV206	-3.91	-0.17	-0.47
OV207	-3.62	0.23	-1.68
OV208	-4.44	0.29	-1.82
OV209	-5.9	0.45	-2.83
OV210	-4.86	0.34	-0.26
OV211	-3.71	0.79	-0.55
OV212	-4.39	0.55	-2.16
OV213	-3.75	-0.82	-1.29
OV214	-5.39	1.57	-1.04
OV215	-3.52	-1.7	-0.92
OV216	-4.47	0.74	-1.08
OV217	-2.92	-0.02	-1.71
OV218	-4.29	0.88	-1.81
OV219	-4.35	0.42	-0.18
OV220	-3.45	0.2	-1.08
OV221	-3.5	-0.91	-2.31
OV222	-3.86	0.42	-2.08
OV223	-3.41	1.37	-1.56
OV224	-4.55	0.35	-0.83
OV225	-3.58	0.19	-1.45
OV226	-3.5	0.08	-1.33
OV227	-4.68	-2.61	0.72
OV228	-3.57	0.34	-1.8
OV229	-3.87	0.55	-1.25
OV230	-5.09	1.01	-0.19
OV231	-4.69	1.21	-0.12
OV232	-4.43	1.07	-0.72
OV233	-4.95	0.73	-1.04
OV234	-5.45	1.5	-1.13
OV235	-4.14	1.05	-0.55
OV236	-4.35	0.89	0.2
OV237	-5.3	0.27	-1.01
OV238	-4.53	1.2	-0.98
OV239	-4.54	0.63	-2.35
OV240	-4.28	1.15	-1.35
OV241	-5.12	1.19	-1.32
OV242	-5.67	0.97	-0.74
OV243	-4.95	0.48	-1.56
OV244	-3.53	1.01	-1.26
OV245	-3.85	1.48	-1.34
OV246	-4.62	-0.17	-0.74
OV247	-3.29	0.99	-0.38
OV248	-2.79	0.36	-1.97
OV249	-4.2	0.12	-2.01
OV250	-5.18	0.09	0.07
OV251	-4.07	0.3	0.55
OV252	-4.04	0.76	-0.96
OV253	-4.84	0.48	-2.34
OV254	-4.64	0.87	-2.33
OV255	-4.88	0.04	-1.81
OV256	-4.19	1.35	0.73
OV257	-4.08	1.95	0.4
OV258	-5.18	2.08	-0.28
OV259	-4.46	1.06	-0.37
OV260	-4.86	0.26	-0.82
OV261	-4.19	1.01	-0.69
OV262	-5.04	0.07	-1.6
OV263	-3.64	1.33	-0.61
OV264	-4.14	1.22	-1.93
OV265	-4.47	0.77	-0.04
OV266	-4.16	0.6	-0.75
OV267	-3.32	1.28	-0.54
OV268	-4.83	0.8	-2.4
OV269	-3.31	1.56	-1.66
OV270	-4.13	0.45	-0.42
OV271	-3.63	1.01	-0.14
OV272	-3.95	0.88	-2.48
OV273	-5.25	-1.06	0.02
OV274	-5.14	1.32	-0.92
OV275	-5	1.09	-0.14
OV276	-4.63	1.35	-3.03
OV277	-4.71	1.81	-1.02
OV278	-3.48	1.55	0.7
OV279	-4.4	0.32	-0.21
OV280	-5.24	0.44	-0.98
OV281	-3.95	0.92	0.44
OV282	-4.34	0.91	-2.17
OV283	-4.6	0.21	1.32
OV284	-3.78	1.38	-0.44
OV285	-3.99	0.37	-0.95
OV286	-4.25	0.69	-2.68
OV287	-4.49	0.7	-1.06
OV288	-3.76	0.95	-0.05
OV289	-4.55	0.07	-1.91
OV290	-4.08	0.87	0.89
OV291	-3.57	-0.62	-1.01
OV292	-4.05	0.73	0.34
OV293	-3.41	1.33	0.24
OV294	-5.69	0.86	-0.68
OV295	-4.99	-1.11	1.64
OV296	-5.08	1.32	0.11
OV297	-5.18	0.47	-0.44
OV298	-5.06	-0.03	-0.32
OV299	-4.91	0.59	-0.14
OV300	-4.14	1.04	0.45
OV301	-5.69	-1.94	-2.77
OV302	-5.73	0.82	-1.05
OV303	-4.23	1.21	-1.72
OV304	-5.01	-1.67	-1.13
OV305	-4.36	0.55	-2.05
OV306	-5.91	0.41	-2.1
OV307	-4.44	0.48	-1.72
OV308	-4.25	1.75	-1.56
OV309	-3.79	-1.24	-0.24
OV310	-4.12	1.11	-0.18
OV311	-4.57	1.65	-0.51
OV312	-4.46	0.16	-0.54
OV313	-3.5	0.21	0.54
OV314	-4.52	1.27	0.02
OV315	-4.74	0.65	-0.39
OV316	-4.44	0.4	0.28
OV317	-4.39	1.15	-0.15
OV318	-4.1	0.48	-0.62
OV319	-4.58	-1.42	-0.37
OV320	-4.24	0.51	-0.28
OV321	-5.84	0.29	-0.73
OV322	-4.6	0.87	0.35
OV323	-3.79	1.77	-1.31
OV324	-4.55	0.7	-1.17
OV325	-0.94	0.97	-1.34
OV326	-4.63	1.67	0.33
OV327	-4.33	1.49	-0.13
OV328	-5.25	0.76	0.39
OV329	-4.48	0.74	-0.9
OV330	-5.77	0.72	-0.22
OV331	-4.26	1.27	-0.05
OV332	-4.71	1.88	0.34
OV333	-2.99	0.15	-1.71
OV334	-3.93	0.92	-1.13
OV335	-3.94	0.97	0.84
OV336	-4.86	1.42	-1.17
OV337	-5.48	0.12	0.96
OV338	-3.68	1.32	-0.39
OV339	-4.17	1.92	0.05
OV340	-3.68	1.65	-0.65
OV341	-3.82	1.2	0.94
OV342	-4.34	0.96	-1.21
OV343	-4.81	1.21	-0.5
OV344	-4.51	0.92	0.41
OV345	-4.67	0.19	-0.18
OV346	-4.21	1.26	-1.93
OV347	-4.26	1.87	-0.95
OV348	-3.44	1.65	-1.29
OV349	-3.99	1	-0.78
OV350	-3.53	-0.3	-1.57
OV351	-4.22	-0.29	-1.24
OV352	-3.27	0.19	0.89
OV353	-4.32	1.91	-0.44
OV354	-4.6	0.77	-1
OV355	-5.59	-1.46	-0.31
OV356	-3.66	0.69	-0.07
OV357	-4.55	0.76	-1.54
OV358	-4.82	0.34	-0.42
OV359	-5.17	1.73	-1.47
OV360	-3.83	1.16	0.74
OV361	-5.16	0.8	-0.92
OV362	-4.19	1.48	-1.08
OV363	-4.22	1.5	-0.53
OV364	-4.72	1.27	-1.46
OV365	-4.65	1.56	-2.05
OV366	-3.93	0.92	-1.68
OV367	-3.79	0.77	-0.01
OV368	-4.68	1.26	-0.51
OV369	-4.74	-0.18	-1.21
OV370	-4.2	1.7	0.66
OV371	-4.82	1.46	-0.62
OV372	-4.1	1.11	0.23
OV373	-4.71	1.4	-1.39
OV374	-4.78	1.82	-0.24
OV375	-3.94	-0.02	-0.6
OV376	-3.17	-0.14	-2.57
OV377	-3.97	0.26	-1.06
OV378	-4.88	0.43	0.1
OV379	-3.94	0.49	0.35
OV380	-4.85	-0.12	0.03
OV381	-4.37	0.28	-0.98
OV382	-3.95	0.3	0
OV383	-3.74	0.77	-1.66
OV384	-4.36	1.77	-1.34
OV385	-4.61	0.28	-1.82
OV386	-4	-0.04	-1.43
OV387	-4.11	1.29	-0.09
OV388	-3.95	1.13	-0.14
OV389	-4.43	0.27	-0.35
OV390	-4.54	-0.39	-1.33
OV391	-5.05	1.19	0.45
OV392	-4.46	0.23	-0.71
OV393	-4.34	0.4	-0.07
OV394	-4.96	0.7	-0.17
OV395	-3.96	1.59	0.3
OV396	-3.75	-0.2	-1.55
OV397	-4.29	0.74	-0.79
OV398	-4.93	0.92	-0.68
OV399	-4.91	0.88	0.14
OV400	-4.98	0.28	-1.51
OV401	-3.6	-0.67	-2.35
OV402	-4.12	1.38	-0.85
OV403	-3.94	1.04	-0.92
OV404	-4.41	0.58	-0.12
OV405	-3.66	0.14	0.9
OV406	-4.09	0.87	-0.94
OV407	-3.59	0.42	0.62
OV408	-4.47	-0.09	-0.22
OV409	-5.03	1.48	-0.62
OV410	-4.49	0.96	-0.6
OV411	-4.73	0.82	-0.37
OV412	-4.07	1.16	1.23
OV413	-4.63	1.3	-0.36
OV414	-4.13	-0.31	0.05
OV415	-4.38	1.01	-2.51
OV416	-3.93	0.51	-0.63
OV417	-5.42	0.91	0.32
OV418	-3.29	1.7	-2.05
OV419	-4.8	-0.14	-0.33
OV420	-4.02	0.74	0.51
OV421	-3.68	0.93	-1.91
OV422	-4.55	0.48	-1.46
OV423	-4.18	-0.27	-0.16
OV424	-3.03	0.48	-1.21
OV425	-4.85	0.38	0.09
OV426	-2.59	-1.34	-0.05
OV427	-3.45	1.77	-0.92
OV428	-3.54	0.75	-0.82
OV429	-4.45	0.08	-1.09
OV430	-4.09	0.5	-1.81
OV431	-2.86	1.17	-2.22
OV432	-3.57	0.11	-0.17
OV433	-3.69	1.84	-1.04
OV434	-4.1	1.03	-1.96
OV435	-4.52	-0.13	-0.61
OV436	-4.34	0.16	0.04
OV437	-4.71	0.41	-0.45
OV438	-4.3	-0.89	-0.3
OV439	-3.89	0.64	-0.79
OV440	-4.45	1.74	-0.38
OV441	-3.37	1.29	0.44
OV442	-3.7	0.34	-0.59
OV443	-4.29	1.56	-0.15
OV444	-4.27	1.37	-0.7
OV445	-5.07	-1.38	-0.86
OV446	-4.5	1.01	0.59
OV447	-4.42	0.26	-0.61
OV448	-5.1	0.97	-2.44
OV449	-3.93	0.84	0.24
OV450	-4.84	0.11	-1.73
OV451	-4.49	0.83	-0.53
OV452	-4.12	1.27	-0.78
OV453	-4.27	0.67	0.84
OV454	-3.99	1.92	-0.7
OV455	-4.46	1.16	-2.5
OV456	-4.01	0.33	-2.4
OV457	-4.13	0.37	0.44
OV458	-4.25	0.83	-0.33
OV459	-4.42	0.57	-0.18
OV460	-5.12	1.23	-1.3
OV461	-3.89	0.28	-0.9
OV462	-3.95	1.25	-2.01
OV463	-4.14	0.5	-0.84
OV464	-4.5	1.13	-0.17
OV465	-4.75	0.11	-1.85
OV466	-3.49	0.4	0
OV467	-4.73	0.33	-0.4
OV468	-3.98	1.27	-0.72
OV469	-4.27	1.37	-0.86
OV470	-3.72	-0.5	-1.94
OV471	-4.46	0.61	-1.94
OV472	-4.66	0.31	-1.36
OV473	-3.18	1.23	-1.07
OV474	-3.94	1.4	-1.59
OV475	-3.76	0.18	-0.27
OV476	-4.12	0.61	-0.84
OV477	-5.25	0.2	-0.96
OV478	-3.29	0.68	-0.34
OV479	-3.39	0.32	-0.66
OV480	-4.92	0.96	-2.23
OV481	-4.88	1.68	0
OV482	-4.05	1.34	0.14
OV483	-2.78	0.21	-0.52
OV484	-5.12	-0.17	0.32
OV485	-2.89	0.84	-1.56
OV486	-4.09	-0.02	-0.76
OV487	-4.45	2.73	-0.25
OV488	1.4	0.04	-0.47
OV489	-4.99	1.03	-1.64
OV490	-4.78	1.79	0.69
OV491	-5.5	1.7	0.06
OV492	-3.81	1.27	-0.19
OV493	-3.9	1.26	-0.79
OV494	-5.76	1.53	-0.79
OV495	-5.68	0.44	-1.3
OV496	-4.69	1.08	-1.35
OV497	-3.99	0.74	0.26
OV498	-4.22	1.68	0.72
OV499	-4.11	0.44	-2.09
OV500	-3.26	-0.07	0.29
OV501	-3.98	0	-0.69
OV502	-3.76	1.35	-2.11
OV503	-4.87	0.64	-2.39
OV504	-5.2	-1.4	-0.4
OV505	-4.48	1.29	-0.89
OV506	-4.37	0.04	-0.27
OV507	-4.43	1.04	-0.68
OV508	-4.04	0.95	-0.6
OV509	-4.51	0.23	-1.21
OV510	-5.04	-0.12	-0.3
OV511	-4.09	-0.57	-0.34
OV512	-4.5	1.58	0.19
OV513	-5.54	0.13	-1.31
OV514	-4.39	0.57	-0.55
OV515	-4.3	1.08	0.8
OV516	-3.5	0.96	0.38
OV517	-3.55	1.26	-1.28
OV518	-3.83	0.58	-1.8
OV519	-4.11	0.51	-1.74
OV520	-2.1	0.58	1.68
OV521	-4	0.34	-1.36
OV522	-4.35	0.86	0.4
OV523	-4.32	1.36	-1.46
OV524	-4.5	0.75	-1.95
OV525	-4.18	0.66	-1.85
OV526	-3.84	-0.22	-0.8
OV527	-4.28	0.4	-1.06
OV528	-3.72	1.2	-0.07
OV529	-3.33	1.36	-2.37
OV530	-5.25	0.78	-1.95
OV531	-4.13	0.38	0.16
OV532	-4.05	1.09	-1.43
OV533	-4.57	1.67	-1.08
OV534	-5.71	1.35	-1.13
OV535	-4.55	0.57	-0.1
OV536	-4.21	0.6	0.72
OV537	-4.34	-0.08	0.42
OV538	-4.47	1.41	-1.3
OV539	-5.19	0.55	-0.5
OV540	-4	0.34	-1.81
OV541	-4.69	0.93	-2.46
OV542	-3.33	-0.13	-2.11
OV543	-5.43	1.39	-0.83
OV544	-3.39	-1.09	1.3
OV545	-4.4	0.74	-0.6
OV546	-3.49	0.91	-0.79
OV547	-4.36	1.46	-1.24
OV548	-4.89	0.42	0.26
OV549	-5.37	0.66	-0.78
OV550	-4.58	2.53	1.72
OV551	-2.61	0.7	-1.22
OV552	-5.21	1.11	-0.62
OV553	-4.38	1.06	-1.68
OV554	-5.15	1.34	-2.62
OV555	-5.02	0.72	-0.15
OV556	-3.89	0.23	-0.15
OV557	-1.59	-1.09	-2.26
OV558	-4.31	1.37	-1.04
OV559	-3.53	0.75	-1.26
OV560	-3.85	1.51	-1.11
OV561	-3.96	0.7	-0.48
LUSC1	-3.66	-0.25	0.88
LUSC2	-4.77	0.09	0.53
LUSC3	-4.48	0.57	-0.02
LUSC4	-0.55	1.06	-0.72
LUSC5	-2.25	0.08	-0.61
LUSC6	-4.28	0.26	-0.38
LUSC7	-4.53	0.28	-0.47
LUSC8	-2.23	-0.14	-1
LUSC9	-4.39	-1.08	0.17
LUSC10	-4.18	0.72	0.02
LUSC11	-3.42	0.54	-1.14
LUSC12	-4.47	0.86	0.87
LUSC13	-4.17	-0.07	-1.02
LUSC14	-3.27	-0.35	-0.78
LUSC15	-4.02	0.21	-0.55
LUSC16	-3.36	0.93	0.5
LUSC17	-4.09	0.85	-0.59
LUSC18	-4.2	0.7	-0.62
LUSC19	-4.77	-1.94	-0.92
LUSC20	-3.82	0.88	-0.28
LUSC21	-4.38	0.58	0.23
LUSC22	1.2	0.96	-1.25
LUSC23	-3.85	0.74	-0.68
LUSC24	-4.6	0.49	-1.99
LUSC25	-3.71	-0.9	-1.29
LUSC26	-1.57	-0.48	0.99
LUSC27	-2.34	0.25	-0.48
LUSC28	-2.17	0.32	-0.34
LUSC29	-4.84	0.32	-0.51
LUSC30	-3.54	0.36	0.8
LUSC31	-1.78	1.18	-0.39
LUSC32	-3.01	-0.08	1.87
LUSC33	-3.77	-0.99	2.19
LUSC34	-3.66	0.31	-1.05
LUSC35	-3.08	0.75	-0.27
LUSC36	-4.39	-0.16	0.39
LUSC37	-3.96	1.03	0.3
LUSC38	-3.9	0.24	1.84
LUSC39	-2.68	-0.21	-0.27
LUSC40	-3.38	0.8	0.46
LUSC41	-3.88	0.12	-0.03
LUSC42	-4.16	0.1	-0.29
LUSC43	-3.88	0.65	-0.47
LUSC44	-2.97	1.09	-0.25
LUSC45	-4.44	-0.3	-0.34
LUSC46	-4.9	0.51	-1.22
LUSC47	-3.9	-0.49	-1.04
LUSC48	-3.58	-0.25	-0.47
LUSC49	-2.6	0.94	-0.45
LUSC50	-3.12	0.66	-1.3
LUSC51	-4.87	-0.43	-1.66
LUSC52	-3.83	-0.22	-0.59
LUSC53	-3.88	-0.63	-1.29
LUSC54	-1.86	0.52	-1.45
LUSC55	-4.58	0.87	-0.8
LUSC56	-4.39	0.03	-0.03
LUSC57	-2.8	0.84	0.55
LUSC58	-3.44	0.9	-0.11
LUSC59	-4.26	-0.22	-0.6
LUSC60	-4.41	0.53	-0.76
LUSC61	-3.81	0.41	-0.92
LUSC62	-3.56	0.82	-0.61
LUSC63	-3.78	0.79	-1.14
LUSC64	-4.41	0.46	-1.04
LUSC65	-3.58	-0.25	0.1
LUSC66	-4.16	0.28	-0.37
LUSC67	-4.08	0.1	0.38
LUSC68	-4.05	-0.49	-1.05
LUSC69	-4.33	0.69	-0.74
LUSC70	-3.5	-1.09	-0.67
LUSC71	-4.37	-0.13	-1.06
LUSC72	-4.19	0.14	0.14
LUSC73	-3.34	0.41	-0.64
LUSC74	-3.08	-0.14	1.85
LUSC75	-4.38	0.28	1.7
LUSC76	-3.7	0.24	-0.53
LUSC77	-4.37	-0.43	-1.12
LUSC78	-4.5	-1.51	-1.46
LUSC79	-2.06	0	0.78
LUSC80	-3.81	0.14	-0.8
LUSC81	-3.54	0.65	0.92
LUSC82	-4.82	-0.4	-0.88
LUSC83	-3.8	-0.24	0.1
LUSC84	-4.26	-0.39	0.25
LUSC85	-3.25	1.47	1.24
LUSC86	-2.75	1.04	0.44
LUSC87	-4.94	0.32	-1.29
LUSC88	-3.49	0.9	-0.4
LUSC89	-4.48	0.04	-0.52
LUSC90	-4.23	-0.61	-1.81
LUSC91	-4.76	0.28	-1.55
LUSC92	-4.8	-1.29	1.13
LUSC93	-4.18	0.18	-0.22
LUSC94	-3.96	0.77	-0.44
LUSC95	-4.46	0.18	-0.41
LUSC96	-4.27	-1.18	0.99
LUSC97	-3.41	0.97	-0.16
LUSC98	-4.12	-0.06	-0.8
LUSC99	-4.66	-0.46	-0.6
LUSC100	-3.88	0.27	-0.66
LUSC101	-3.4	1.36	1.09
LUSC102	-4.01	-0.05	-0.57
LUSC103	-4.48	0.39	0.63
LUSC104	-3.09	0.95	-0.47
LUSC105	-4.72	0.77	-2.29
LUSC106	-4.76	-0.04	-0.08
LUSC107	-2.94	0.83	-0.61
LUSC108	-3.67	0.71	0
LUSC109	-4.68	0.36	-0.5
LUSC110	-3.95	1.35	0.2
LUSC111	-4.32	1.25	-0.96
LUSC112	-3.03	0.52	0.21
LUSC113	-3.36	-0.41	-1.85
LUSC114	-4.03	-1.61	-1.14
LUSC115	-3.11	0.12	-0.74
LUSC116	-4.5	-0.54	-0.7
LUSC117	-3.29	0.3	-0.02
LUSC118	-4.13	0.54	-0.01
LUSC119	-4.43	0.92	-0.04
LUSC120	-2.1	0.78	0.62
LUSC121	-4.82	1.21	-0.09
LUSC122	-4.87	-0.55	1.03
LUSC123	-3.56	1.26	-0.76
LUSC124	-4.54	-0.38	0.2
LUSC125	-4.58	0.08	-1.13
LUSC126	-4.44	-0.7	-0.12
LUSC127	-4.48	0.34	-1.39
LUSC128	-4.75	0.74	-0.09
LUSC129	-4.22	1.43	-0.58
LUSC130	-3.07	0	-1.07
LUSC131	-3.64	0.46	0.31
LUSC132	-2.98	0.48	-1.28
LUSC133	-2.57	0.59	0.13
LUSC134	-4.4	0.16	-0.01
LUSC135	-4.33	-0.86	0.76
LUSC136	-3.23	0.17	0.17
LUSC137	-4.12	0.77	-0.07
LUSC138	-4.34	-1.16	-0.96
LUSC139	-3	1.39	-0.09
LUSC140	-5.06	1.03	0.63
LUSC141	-3.36	0.62	-0.73
LUSC142	-4.29	-0.5	0.52
LUSC143	-0.8	0.48	1.54
LUSC144	-2.32	1.04	-0.69
LUSC145	-3.83	0.22	-0.41
LUSC146	-3.68	0.23	0.97
LUSC147	-4.05	0.53	-0.25
LUSC148	-2.87	1.1	0.19
LUSC149	-3.95	-0.43	0.36
LUSC150	-4.74	0.65	-0.5
LUSC151	-3.53	0.6	-2.11
LUSC152	-3.05	0.44	-0.8
LUSC153	-3.72	0.71	-0.69
LUSC154	-4.42	0.01	-0.64
