	Chapter Name	Character	Film	Race	Words
R393	Mount Doom	Sam	The Return Of The King	Hobbit	10
R394	The Eagles AreComing	Pippin	The Return Of The King	Hobbit	6
R395	TheCrack Of Doom	Frodo	The Return Of The King	Hobbit	7
R396	TheCrack Of Doom	Sam	The Return Of The King	Hobbit	38
R397	Sauron Defeated	Merry	The Return Of The King	Hobbit	2
R398	Sauron Defeated	Pippin	The Return Of The King	Hobbit	1
R399	The End Of All Things	Frodo	The Return Of The King	Hobbit	37
R400	The End Of All Things	Sam	The Return Of The King	Hobbit	31
R401	The Fellowship Reunited	Frodo	The Return Of The King	Hobbit	4
R402	The Fellowship Reunited	Gimli	The Return Of The King	Dwarf	1
R403	The Fellowship Reunited	Merry	The Return Of The King	Hobbit	1
R404	The Return Of The King	Aragorn	The Return Of The King	Men	45
R405	The Return Of The King	Gandalf	The Return Of The King	Ainur	11
R406	Homeward Bound	Frodo	The Return Of The King	Hobbit	98
R407	Homeward Bound	Pippin	The Return Of The King	Hobbit	2
R408	Homeward Bound	Sam	The Return Of The King	Hobbit	27
R409	The Grey Havens	Frodo	The Return Of The King	Hobbit	132
R410	The Grey Havens	Gandalf	The Return Of The King	Ainur	42
R411	The Grey Havens	Sam	The Return Of The King	Hobbit	14
