	Country	Date
R10259	BDI	10/2/20
R10260	BDI	10/3/20
R10261	BDI	10/4/20
R10262	BDI	10/5/20
R10263	BDI	10/6/20
R10264	BDI	10/7/20
R10265	BDI	10/8/20
R10266	BDI	10/9/20
R10267	BDI	10/10/20
R10268	BDI	10/11/20
R10269	BDI	10/12/20
R10270	BDI	10/13/20
R10271	BDI	10/14/20
R10272	BDI	10/15/20
R10273	BDI	10/16/20
R10274	BDI	10/17/20
R10275	BDI	10/18/20
R10276	BDI	10/19/20
R10277	BDI	10/20/20
R10278	BDI	10/21/20
R10279	BDI	10/22/20
R10280	BDI	10/23/20
R10281	BDI	10/24/20
R10282	BDI	10/25/20
R10283	BDI	10/26/20
R10284	BDI	10/27/20
R10285	BDI	10/28/20
R10286	BDI	10/29/20
R10287	BDI	10/30/20
R10288	BDI	10/31/20
R10289	BDI	11/1/20
R10290	BDI	11/2/20
R10291	BDI	11/3/20
R10292	BDI	11/4/20
R10293	BDI	11/5/20
R10294	BDI	11/6/20
R10295	BDI	11/7/20
R10296	BDI	11/8/20
R10297	BDI	11/9/20
R10298	BDI	11/10/20
R10299	BDI	11/11/20
R10300	BDI	11/12/20
R10301	BDI	11/13/20
R10302	BDI	11/14/20
R10303	BDI	11/15/20
R10304	BDI	11/16/20
R10305	BDI	11/17/20
R10306	BDI	11/18/20
R10307	BDI	11/19/20
R10308	BDI	11/20/20
R10309	BDI	11/21/20
R10310	BDI	11/22/20
R10311	BDI	11/23/20
R10312	BDI	11/24/20
R10313	BDI	11/25/20
R10314	BDI	11/26/20
R10315	BDI	11/27/20
R10316	BDI	11/28/20
R10317	BDI	11/29/20
R10318	BDI	11/30/20
R10319	BDI	12/1/20
R10320	BDI	12/2/20
R10321	BDI	12/3/20
R10322	BDI	12/4/20
R10323	BDI	12/5/20
R10324	BDI	12/6/20
R10325	BDI	12/7/20
R10326	BDI	12/8/20
R10327	BDI	12/9/20
R10328	BDI	12/10/20
R10329	BDI	12/11/20
R10330	BDI	12/12/20
R10331	BDI	12/13/20
R10332	BDI	12/14/20
R10333	BDI	12/15/20
R10334	BDI	12/16/20
R10335	BDI	12/17/20
R10336	BDI	12/18/20
R10337	BDI	12/19/20
R10338	BDI	12/20/20
R10339	BDI	12/21/20
R10340	BDI	12/22/20
R10341	BDI	12/23/20
R10342	BDI	12/24/20
R10343	BDI	12/25/20
R10344	BDI	12/26/20
R10345	BDI	12/27/20
R10346	BDI	12/28/20
R10347	BDI	12/29/20
R10348	BDI	12/30/20
R10349	BDI	12/31/20
R10350	BDI	1/1/21
R10351	BDI	1/2/21
R10352	BDI	1/3/21
R10353	BDI	1/4/21
R10354	BDI	1/5/21
R10355	BDI	1/6/21
R10356	BDI	1/7/21
R10357	BDI	1/8/21
R10358	BDI	1/9/21
R10359	BDI	1/10/21
R10360	BDI	1/11/21
R10361	BDI	1/12/21
R10362	BDI	1/13/21
R10363	BDI	1/14/21
R10364	BDI	1/15/21
R10365	BDI	1/16/21
R10366	BDI	1/17/21
R10367	BDI	1/18/21
R10368	BDI	1/19/21
R10369	BDI	1/20/21
R10370	BDI	1/21/21
R10371	BDI	1/22/21
R10372	BDI	1/23/21
R10373	BDI	1/24/21
R10374	BDI	1/25/21
R10375	BDI	1/26/21
R10376	BDI	1/27/21
R10377	BDI	1/28/21
R10378	BDI	1/29/21
R10379	BDI	1/30/21
R10380	BDI	1/31/21
R10381	BDI	2/1/21
R10382	BDI	2/2/21
R10383	BDI	2/3/21
R10384	BDI	2/4/21
R10385	BDI	2/5/21
R10386	BDI	2/6/21
R10387	BDI	2/7/21
R10388	BDI	2/8/21
R10389	BDI	2/9/21
R10390	BDI	2/10/21
R10391	BDI	2/11/21
R10392	BDI	2/12/21
R10393	BDI	2/13/21
R10394	BDI	2/14/21
R10395	BDI	2/15/21
R10396	BDI	2/16/21
R10397	BDI	2/17/21
R10398	BDI	2/18/21
R10399	BDI	2/19/21
R10400	BDI	2/20/21
R10401	BDI	2/21/21
R10402	BDI	2/22/21
R10403	BDI	2/23/21
R10404	BDI	2/24/21
R10405	BDI	2/25/21
R10406	BDI	2/26/21
R10407	BDI	2/27/21
R10408	BDI	2/28/21
R10409	BDI	3/1/21
R10410	BDI	3/2/21
R10411	BDI	3/3/21
R10412	BDI	3/4/21
R10413	BDI	3/5/21
R10414	BDI	3/6/21
R10415	KHM	1/27/20
R10416	KHM	1/28/20
R10417	KHM	1/29/20
R10418	KHM	1/30/20
R10419	KHM	1/31/20
R10420	KHM	2/1/20
R10421	KHM	2/2/20
R10422	KHM	2/3/20
R10423	KHM	2/4/20
R10424	KHM	2/5/20
R10425	KHM	2/6/20
R10426	KHM	2/7/20
R10427	KHM	2/8/20
R10428	KHM	2/9/20
R10429	KHM	2/10/20
R10430	KHM	2/11/20
R10431	KHM	2/12/20
R10432	KHM	2/13/20
R10433	KHM	2/14/20
R10434	KHM	2/15/20
R10435	KHM	2/16/20
R10436	KHM	2/17/20
R10437	KHM	2/18/20
R10438	KHM	2/19/20
R10439	KHM	2/20/20
R10440	KHM	2/21/20
R10441	KHM	2/22/20
R10442	KHM	2/23/20
R10443	KHM	2/24/20
R10444	KHM	2/25/20
R10445	KHM	2/26/20
R10446	KHM	2/27/20
R10447	KHM	2/28/20
R10448	KHM	2/29/20
R10449	KHM	3/1/20
R10450	KHM	3/2/20
R10451	KHM	3/3/20
R10452	KHM	3/4/20
R10453	KHM	3/5/20
R10454	KHM	3/6/20
R10455	KHM	3/7/20
R10456	KHM	3/8/20
R10457	KHM	3/9/20
R10458	KHM	3/10/20
R10459	KHM	3/11/20
R10460	KHM	3/12/20
R10461	KHM	3/13/20
R10462	KHM	3/14/20
R10463	KHM	3/15/20
R10464	KHM	3/16/20
R10465	KHM	3/17/20
R10466	KHM	3/18/20
R10467	KHM	3/19/20
R10468	KHM	3/20/20
R10469	KHM	3/21/20
R10470	KHM	3/22/20
R10471	KHM	3/23/20
R10472	KHM	3/24/20
R10473	KHM	3/25/20
R10474	KHM	3/26/20
R10475	KHM	3/27/20
R10476	KHM	3/28/20
R10477	KHM	3/29/20
R10478	KHM	3/30/20
R10479	KHM	3/31/20
R10480	KHM	4/1/20
R10481	KHM	4/2/20
R10482	KHM	4/3/20
R10483	KHM	4/4/20
R10484	KHM	4/5/20
R10485	KHM	4/6/20
R10486	KHM	4/7/20
R10487	KHM	4/8/20
R10488	KHM	4/9/20
R10489	KHM	4/10/20
R10490	KHM	4/11/20
R10491	KHM	4/12/20
R10492	KHM	4/13/20
R10493	KHM	4/14/20
R10494	KHM	4/15/20
R10495	KHM	4/16/20
R10496	KHM	4/17/20
R10497	KHM	4/18/20
R10498	KHM	4/19/20
R10499	KHM	4/20/20
R10500	KHM	4/21/20
R10501	KHM	4/22/20
R10502	KHM	4/23/20
R10503	KHM	4/24/20
R10504	KHM	4/25/20
R10505	KHM	4/26/20
R10506	KHM	4/27/20
R10507	KHM	4/28/20
R10508	KHM	4/29/20
R10509	KHM	4/30/20
R10510	KHM	5/1/20
R10511	KHM	5/2/20
R10512	KHM	5/3/20
R10513	KHM	5/4/20
R10514	KHM	5/5/20
R10515	KHM	5/6/20
R10516	KHM	5/7/20
R10517	KHM	5/8/20
R10518	KHM	5/9/20
R10519	KHM	5/10/20
R10520	KHM	5/11/20
R10521	KHM	5/12/20
R10522	KHM	5/13/20
R10523	KHM	5/14/20
R10524	KHM	5/15/20
R10525	KHM	5/16/20
R10526	KHM	5/17/20
R10527	KHM	5/18/20
R10528	KHM	5/19/20
R10529	KHM	5/20/20
R10530	KHM	5/21/20
R10531	KHM	5/22/20
R10532	KHM	5/23/20
R10533	KHM	5/24/20
R10534	KHM	5/25/20
R10535	KHM	5/26/20
R10536	KHM	5/27/20
R10537	KHM	5/28/20
R10538	KHM	5/29/20
R10539	KHM	5/30/20
R10540	KHM	5/31/20
R10541	KHM	6/1/20
R10542	KHM	6/2/20
R10543	KHM	6/3/20
R10544	KHM	6/4/20
R10545	KHM	6/5/20
R10546	KHM	6/6/20
R10547	KHM	6/7/20
R10548	KHM	6/8/20
R10549	KHM	6/9/20
R10550	KHM	6/10/20
R10551	KHM	6/11/20
R10552	KHM	6/12/20
R10553	KHM	6/13/20
R10554	KHM	6/14/20
R10555	KHM	6/15/20
R10556	KHM	6/16/20
R10557	KHM	6/17/20
R10558	KHM	6/18/20
R10559	KHM	6/19/20
R10560	KHM	6/20/20
R10561	KHM	6/21/20
R10562	KHM	6/22/20
R10563	KHM	6/23/20
R10564	KHM	6/24/20
R10565	KHM	6/25/20
R10566	KHM	6/26/20
R10567	KHM	6/27/20
R10568	KHM	6/28/20
R10569	KHM	6/29/20
R10570	KHM	6/30/20
R10571	KHM	7/1/20
R10572	KHM	7/2/20
R10573	KHM	7/3/20
R10574	KHM	7/4/20
R10575	KHM	7/5/20
R10576	KHM	7/6/20
R10577	KHM	7/7/20
R10578	KHM	7/8/20
R10579	KHM	7/9/20
R10580	KHM	7/10/20
R10581	KHM	7/11/20
R10582	KHM	7/12/20
R10583	KHM	7/13/20
R10584	KHM	7/14/20
R10585	KHM	7/15/20
R10586	KHM	7/16/20
R10587	KHM	7/17/20
R10588	KHM	7/18/20
R10589	KHM	7/19/20
R10590	KHM	7/20/20
R10591	KHM	7/21/20
R10592	KHM	7/22/20
R10593	KHM	7/23/20
R10594	KHM	7/24/20
R10595	KHM	7/25/20
R10596	KHM	7/26/20
R10597	KHM	7/27/20
R10598	KHM	7/28/20
R10599	KHM	7/29/20
R10600	KHM	7/30/20
R10601	KHM	7/31/20
R10602	KHM	8/1/20
R10603	KHM	8/2/20
R10604	KHM	8/3/20
R10605	KHM	8/4/20
R10606	KHM	8/5/20
R10607	KHM	8/6/20
R10608	KHM	8/7/20
R10609	KHM	8/8/20
R10610	KHM	8/9/20
R10611	KHM	8/10/20
R10612	KHM	8/11/20
R10613	KHM	8/12/20
R10614	KHM	8/13/20
R10615	KHM	8/14/20
R10616	KHM	8/15/20
R10617	KHM	8/16/20
R10618	KHM	8/17/20
R10619	KHM	8/18/20
R10620	KHM	8/19/20
R10621	KHM	8/20/20
R10622	KHM	8/21/20
R10623	KHM	8/22/20
R10624	KHM	8/23/20
R10625	KHM	8/24/20
R10626	KHM	8/25/20
R10627	KHM	8/26/20
R10628	KHM	8/27/20
R10629	KHM	8/28/20
R10630	KHM	8/29/20
R10631	KHM	8/30/20
R10632	KHM	8/31/20
R10633	KHM	9/1/20
R10634	KHM	9/2/20
R10635	KHM	9/3/20
R10636	KHM	9/4/20
R10637	KHM	9/5/20
R10638	KHM	9/6/20
R10639	KHM	9/7/20
R10640	KHM	9/8/20
R10641	KHM	9/9/20
R10642	KHM	9/10/20
R10643	KHM	9/11/20
R10644	KHM	9/12/20
R10645	KHM	9/13/20
R10646	KHM	9/14/20
R10647	KHM	9/15/20
R10648	KHM	9/16/20
R10649	KHM	9/17/20
R10650	KHM	9/18/20
R10651	KHM	9/19/20
R10652	KHM	9/20/20
R10653	KHM	9/21/20
R10654	KHM	9/22/20
R10655	KHM	9/23/20
R10656	KHM	9/24/20
R10657	KHM	9/25/20
R10658	KHM	9/26/20
R10659	KHM	9/27/20
R10660	KHM	9/28/20
R10661	KHM	9/29/20
R10662	KHM	9/30/20
R10663	KHM	10/1/20
R10664	KHM	10/2/20
R10665	KHM	10/3/20
R10666	KHM	10/4/20
R10667	KHM	10/5/20
R10668	KHM	10/6/20
R10669	KHM	10/7/20
R10670	KHM	10/8/20
R10671	KHM	10/9/20
R10672	KHM	10/10/20
R10673	KHM	10/11/20
R10674	KHM	10/12/20
R10675	KHM	10/13/20
R10676	KHM	10/14/20
R10677	KHM	10/15/20
R10678	KHM	10/16/20
R10679	KHM	10/17/20
R10680	KHM	10/18/20
R10681	KHM	10/19/20
R10682	KHM	10/20/20
R10683	KHM	10/21/20
R10684	KHM	10/22/20
R10685	KHM	10/23/20
R10686	KHM	10/24/20
R10687	KHM	10/25/20
R10688	KHM	10/26/20
R10689	KHM	10/27/20
R10690	KHM	10/28/20
R10691	KHM	10/29/20
R10692	KHM	10/30/20
R10693	KHM	10/31/20
R10694	KHM	11/1/20
R10695	KHM	11/2/20
R10696	KHM	11/3/20
R10697	KHM	11/4/20
R10698	KHM	11/5/20
R10699	KHM	11/6/20
R10700	KHM	11/7/20
R10701	KHM	11/8/20
R10702	KHM	11/9/20
R10703	KHM	11/10/20
R10704	KHM	11/11/20
R10705	KHM	11/12/20
R10706	KHM	11/13/20
R10707	KHM	11/14/20
R10708	KHM	11/15/20
R10709	KHM	11/16/20
R10710	KHM	11/17/20
R10711	KHM	11/18/20
R10712	KHM	11/19/20
R10713	KHM	11/20/20
R10714	KHM	11/21/20
R10715	KHM	11/22/20
R10716	KHM	11/23/20
R10717	KHM	11/24/20
R10718	KHM	11/25/20
R10719	KHM	11/26/20
R10720	KHM	11/27/20
R10721	KHM	11/28/20
R10722	KHM	11/29/20
R10723	KHM	11/30/20
R10724	KHM	12/1/20
R10725	KHM	12/2/20
R10726	KHM	12/3/20
R10727	KHM	12/4/20
R10728	KHM	12/5/20
R10729	KHM	12/6/20
R10730	KHM	12/7/20
R10731	KHM	12/8/20
R10732	KHM	12/9/20
R10733	KHM	12/10/20
R10734	KHM	12/11/20
R10735	KHM	12/12/20
R10736	KHM	12/13/20
R10737	KHM	12/14/20
R10738	KHM	12/15/20
R10739	KHM	12/16/20
R10740	KHM	12/17/20
R10741	KHM	12/18/20
R10742	KHM	12/19/20
R10743	KHM	12/20/20
R10744	KHM	12/21/20
R10745	KHM	12/22/20
R10746	KHM	12/23/20
R10747	KHM	12/24/20
R10748	KHM	12/25/20
R10749	KHM	12/26/20
R10750	KHM	12/27/20
R10751	KHM	12/28/20
R10752	KHM	12/29/20
R10753	KHM	12/30/20
R10754	KHM	12/31/20
R10755	KHM	1/1/21
R10756	KHM	1/2/21
R10757	KHM	1/3/21
R10758	KHM	1/4/21
R10759	KHM	1/5/21
R10760	KHM	1/6/21
R10761	KHM	1/7/21
R10762	KHM	1/8/21
R10763	KHM	1/9/21
R10764	KHM	1/10/21
R10765	KHM	1/11/21
R10766	KHM	1/12/21
R10767	KHM	1/13/21
R10768	KHM	1/14/21
R10769	KHM	1/15/21
R10770	KHM	1/16/21
R10771	KHM	1/17/21
R10772	KHM	1/18/21
R10773	KHM	1/19/21
R10774	KHM	1/20/21
R10775	KHM	1/21/21
R10776	KHM	1/22/21
R10777	KHM	1/23/21
R10778	KHM	1/24/21
R10779	KHM	1/25/21
R10780	KHM	1/26/21
R10781	KHM	1/27/21
R10782	KHM	1/28/21
R10783	KHM	1/29/21
R10784	KHM	1/30/21
R10785	KHM	1/31/21
R10786	KHM	2/1/21
R10787	KHM	2/2/21
R10788	KHM	2/3/21
R10789	KHM	2/4/21
R10790	KHM	2/5/21
R10791	KHM	2/6/21
R10792	KHM	2/7/21
R10793	KHM	2/8/21
R10794	KHM	2/9/21
R10795	KHM	2/10/21
R10796	KHM	2/11/21
R10797	KHM	2/12/21
R10798	KHM	2/13/21
R10799	KHM	2/14/21
R10800	KHM	2/15/21
R10801	KHM	2/16/21
R10802	KHM	2/17/21
R10803	KHM	2/18/21
R10804	KHM	2/19/21
R10805	KHM	2/20/21
R10806	KHM	2/21/21
R10807	KHM	2/22/21
R10808	KHM	2/23/21
R10809	KHM	2/24/21
R10810	KHM	2/25/21
R10811	KHM	2/26/21
R10812	KHM	2/27/21
R10813	KHM	2/28/21
R10814	KHM	3/1/21
R10815	KHM	3/2/21
R10816	KHM	3/3/21
R10817	KHM	3/4/21
R10818	KHM	3/5/21
R10819	KHM	3/6/21
R10820	CMR	3/6/20
R10821	CMR	3/7/20
R10822	CMR	3/8/20
R10823	CMR	3/9/20
R10824	CMR	3/10/20
R10825	CMR	3/11/20
R10826	CMR	3/12/20
R10827	CMR	3/13/20
R10828	CMR	3/14/20
R10829	CMR	3/15/20
R10830	CMR	3/16/20
R10831	CMR	3/17/20
R10832	CMR	3/18/20
R10833	CMR	3/19/20
R10834	CMR	3/20/20
R10835	CMR	3/21/20
R10836	CMR	3/22/20
R10837	CMR	3/23/20
R10838	CMR	3/24/20
R10839	CMR	3/25/20
R10840	CMR	3/26/20
R10841	CMR	3/27/20
R10842	CMR	3/28/20
R10843	CMR	3/29/20
R10844	CMR	3/30/20
R10845	CMR	3/31/20
R10846	CMR	4/1/20
R10847	CMR	4/2/20
R10848	CMR	4/3/20
R10849	CMR	4/4/20
R10850	CMR	4/5/20
R10851	CMR	4/6/20
R10852	CMR	4/7/20
R10853	CMR	4/8/20
R10854	CMR	4/9/20
R10855	CMR	4/10/20
R10856	CMR	4/11/20
R10857	CMR	4/12/20
R10858	CMR	4/13/20
R10859	CMR	4/14/20
R10860	CMR	4/15/20
R10861	CMR	4/16/20
R10862	CMR	4/17/20
R10863	CMR	4/18/20
R10864	CMR	4/19/20
R10865	CMR	4/20/20
R10866	CMR	4/21/20
R10867	CMR	4/22/20
R10868	CMR	4/23/20
R10869	CMR	4/24/20
R10870	CMR	4/25/20
R10871	CMR	4/26/20
R10872	CMR	4/27/20
R10873	CMR	4/28/20
R10874	CMR	4/29/20
R10875	CMR	4/30/20
R10876	CMR	5/1/20
R10877	CMR	5/2/20
R10878	CMR	5/3/20
R10879	CMR	5/4/20
R10880	CMR	5/5/20
R10881	CMR	5/6/20
R10882	CMR	5/7/20
R10883	CMR	5/8/20
R10884	CMR	5/9/20
R10885	CMR	5/10/20
R10886	CMR	5/11/20
R10887	CMR	5/12/20
R10888	CMR	5/13/20
R10889	CMR	5/14/20
R10890	CMR	5/15/20
R10891	CMR	5/16/20
R10892	CMR	5/17/20
R10893	CMR	5/18/20
R10894	CMR	5/19/20
R10895	CMR	5/20/20
R10896	CMR	5/21/20
R10897	CMR	5/22/20
R10898	CMR	5/23/20
R10899	CMR	5/24/20
R10900	CMR	5/25/20
R10901	CMR	5/26/20
R10902	CMR	5/27/20
R10903	CMR	5/28/20
R10904	CMR	5/29/20
R10905	CMR	5/30/20
R10906	CMR	5/31/20
R10907	CMR	6/1/20
R10908	CMR	6/2/20
R10909	CMR	6/3/20
R10910	CMR	6/4/20
R10911	CMR	6/5/20
R10912	CMR	6/6/20
R10913	CMR	6/7/20
R10914	CMR	6/8/20
R10915	CMR	6/9/20
R10916	CMR	6/10/20
R10917	CMR	6/11/20
R10918	CMR	6/12/20
R10919	CMR	6/13/20
R10920	CMR	6/14/20
R10921	CMR	6/15/20
R10922	CMR	6/16/20
R10923	CMR	6/17/20
R10924	CMR	6/18/20
R10925	CMR	6/19/20
R10926	CMR	6/20/20
R10927	CMR	6/21/20
R10928	CMR	6/22/20
R10929	CMR	6/23/20
R10930	CMR	6/24/20
R10931	CMR	6/25/20
R10932	CMR	6/26/20
R10933	CMR	6/27/20
R10934	CMR	6/28/20
R10935	CMR	6/29/20
R10936	CMR	6/30/20
R10937	CMR	7/1/20
R10938	CMR	7/2/20
R10939	CMR	7/3/20
R10940	CMR	7/4/20
R10941	CMR	7/5/20
R10942	CMR	7/6/20
R10943	CMR	7/7/20
R10944	CMR	7/8/20
R10945	CMR	7/9/20
R10946	CMR	7/10/20
R10947	CMR	7/11/20
R10948	CMR	7/12/20
R10949	CMR	7/13/20
R10950	CMR	7/14/20
R10951	CMR	7/15/20
R10952	CMR	7/16/20
R10953	CMR	7/17/20
R10954	CMR	7/18/20
R10955	CMR	7/19/20
R10956	CMR	7/20/20
R10957	CMR	7/21/20
R10958	CMR	7/22/20
R10959	CMR	7/23/20
R10960	CMR	7/24/20
R10961	CMR	7/25/20
R10962	CMR	7/26/20
R10963	CMR	7/27/20
R10964	CMR	7/28/20
R10965	CMR	7/29/20
R10966	CMR	7/30/20
R10967	CMR	7/31/20
R10968	CMR	8/1/20
R10969	CMR	8/2/20
R10970	CMR	8/3/20
R10971	CMR	8/4/20
R10972	CMR	8/5/20
R10973	CMR	8/6/20
R10974	CMR	8/7/20
R10975	CMR	8/8/20
R10976	CMR	8/9/20
R10977	CMR	8/10/20
R10978	CMR	8/11/20
R10979	CMR	8/12/20
R10980	CMR	8/13/20
R10981	CMR	8/14/20
R10982	CMR	8/15/20
R10983	CMR	8/16/20
R10984	CMR	8/17/20
R10985	CMR	8/18/20
R10986	CMR	8/19/20
R10987	CMR	8/20/20
R10988	CMR	8/21/20
R10989	CMR	8/22/20
R10990	CMR	8/23/20
R10991	CMR	8/24/20
R10992	CMR	8/25/20
R10993	CMR	8/26/20
R10994	CMR	8/27/20
R10995	CMR	8/28/20
R10996	CMR	8/29/20
R10997	CMR	8/30/20
R10998	CMR	8/31/20
R10999	CMR	9/1/20
R11000	CMR	9/2/20
R11001	CMR	9/3/20
R11002	CMR	9/4/20
R11003	CMR	9/5/20
R11004	CMR	9/6/20
R11005	CMR	9/7/20
R11006	CMR	9/8/20
R11007	CMR	9/9/20
R11008	CMR	9/10/20
R11009	CMR	9/11/20
R11010	CMR	9/12/20
R11011	CMR	9/13/20
R11012	CMR	9/14/20
R11013	CMR	9/15/20
R11014	CMR	9/16/20
R11015	CMR	9/17/20
R11016	CMR	9/18/20
R11017	CMR	9/19/20
R11018	CMR	9/20/20
R11019	CMR	9/21/20
R11020	CMR	9/22/20
R11021	CMR	9/23/20
R11022	CMR	9/24/20
R11023	CMR	9/25/20
R11024	CMR	9/26/20
R11025	CMR	9/27/20
R11026	CMR	9/28/20
R11027	CMR	9/29/20
R11028	CMR	9/30/20
R11029	CMR	10/1/20
R11030	CMR	10/2/20
R11031	CMR	10/3/20
R11032	CMR	10/4/20
R11033	CMR	10/5/20
R11034	CMR	10/6/20
R11035	CMR	10/7/20
R11036	CMR	10/8/20
R11037	CMR	10/9/20
R11038	CMR	10/10/20
R11039	CMR	10/11/20
R11040	CMR	10/12/20
R11041	CMR	10/13/20
R11042	CMR	10/14/20
R11043	CMR	10/15/20
R11044	CMR	10/16/20
R11045	CMR	10/17/20
R11046	CMR	10/18/20
R11047	CMR	10/19/20
R11048	CMR	10/20/20
R11049	CMR	10/21/20
R11050	CMR	10/22/20
R11051	CMR	10/23/20
R11052	CMR	10/24/20
R11053	CMR	10/25/20
R11054	CMR	10/26/20
R11055	CMR	10/27/20
R11056	CMR	10/28/20
R11057	CMR	10/29/20
R11058	CMR	10/30/20
R11059	CMR	10/31/20
R11060	CMR	11/1/20
R11061	CMR	11/2/20
R11062	CMR	11/3/20
R11063	CMR	11/4/20
R11064	CMR	11/5/20
R11065	CMR	11/6/20
R11066	CMR	11/7/20
R11067	CMR	11/8/20
R11068	CMR	11/9/20
R11069	CMR	11/10/20
R11070	CMR	11/11/20
R11071	CMR	11/12/20
R11072	CMR	11/13/20
R11073	CMR	11/14/20
R11074	CMR	11/15/20
R11075	CMR	11/16/20
R11076	CMR	11/17/20
R11077	CMR	11/18/20
R11078	CMR	11/19/20
R11079	CMR	11/20/20
R11080	CMR	11/21/20
R11081	CMR	11/22/20
R11082	CMR	11/23/20
R11083	CMR	11/24/20
R11084	CMR	11/25/20
R11085	CMR	11/26/20
R11086	CMR	11/27/20
R11087	CMR	11/28/20
R11088	CMR	11/29/20
R11089	CMR	11/30/20
R11090	CMR	12/1/20
R11091	CMR	12/2/20
R11092	CMR	12/3/20
R11093	CMR	12/4/20
R11094	CMR	12/5/20
R11095	CMR	12/6/20
R11096	CMR	12/7/20
R11097	CMR	12/8/20
R11098	CMR	12/9/20
R11099	CMR	12/10/20
R11100	CMR	12/11/20
R11101	CMR	12/12/20
R11102	CMR	12/13/20
R11103	CMR	12/14/20
R11104	CMR	12/15/20
R11105	CMR	12/16/20
R11106	CMR	12/17/20
R11107	CMR	12/18/20
R11108	CMR	12/19/20
R11109	CMR	12/20/20
R11110	CMR	12/21/20
R11111	CMR	12/22/20
R11112	CMR	12/23/20
R11113	CMR	12/24/20
R11114	CMR	12/25/20
R11115	CMR	12/26/20
R11116	CMR	12/27/20
R11117	CMR	12/28/20
R11118	CMR	12/29/20
R11119	CMR	12/30/20
R11120	CMR	12/31/20
R11121	CMR	1/1/21
R11122	CMR	1/2/21
R11123	CMR	1/3/21
R11124	CMR	1/4/21
R11125	CMR	1/5/21
R11126	CMR	1/6/21
R11127	CMR	1/7/21
R11128	CMR	1/8/21
R11129	CMR	1/9/21
R11130	CMR	1/10/21
R11131	CMR	1/11/21
R11132	CMR	1/12/21
R11133	CMR	1/13/21
R11134	CMR	1/14/21
R11135	CMR	1/15/21
R11136	CMR	1/16/21
R11137	CMR	1/17/21
R11138	CMR	1/18/21
R11139	CMR	1/19/21
R11140	CMR	1/20/21
R11141	CMR	1/21/21
R11142	CMR	1/22/21
R11143	CMR	1/23/21
R11144	CMR	1/24/21
R11145	CMR	1/25/21
R11146	CMR	1/26/21
R11147	CMR	1/27/21
R11148	CMR	1/28/21
R11149	CMR	1/29/21
R11150	CMR	1/30/21
R11151	CMR	1/31/21
R11152	CMR	2/1/21
R11153	CMR	2/2/21
R11154	CMR	2/3/21
R11155	CMR	2/4/21
R11156	CMR	2/5/21
R11157	CMR	2/6/21
R11158	CMR	2/7/21
R11159	CMR	2/8/21
R11160	CMR	2/9/21
R11161	CMR	2/10/21
R11162	CMR	2/11/21
R11163	CMR	2/12/21
R11164	CMR	2/13/21
R11165	CMR	2/14/21
R11166	CMR	2/15/21
R11167	CMR	2/16/21
R11168	CMR	2/17/21
R11169	CMR	2/18/21
R11170	CMR	2/19/21
R11171	CMR	2/20/21
R11172	CMR	2/21/21
R11173	CMR	2/22/21
R11174	CMR	2/23/21
R11175	CMR	2/24/21
R11176	CMR	2/25/21
R11177	CMR	2/26/21
R11178	CMR	2/27/21
R11179	CMR	2/28/21
R11180	CMR	3/1/21
R11181	CMR	3/2/21
R11182	CMR	3/3/21
R11183	CMR	3/4/21
R11184	CMR	3/5/21
R11185	CMR	3/6/21
R11186	CAN	1/26/20
R11187	CAN	1/27/20
R11188	CAN	1/28/20
R11189	CAN	1/29/20
R11190	CAN	1/30/20
R11191	CAN	1/31/20
R11192	CAN	2/1/20
R11193	CAN	2/2/20
R11194	CAN	2/3/20
R11195	CAN	2/4/20
R11196	CAN	2/5/20
R11197	CAN	2/6/20
R11198	CAN	2/7/20
R11199	CAN	2/8/20
R11200	CAN	2/9/20
R11201	CAN	2/10/20
R11202	CAN	2/11/20
R11203	CAN	2/12/20
R11204	CAN	2/13/20
R11205	CAN	2/14/20
R11206	CAN	2/15/20
R11207	CAN	2/16/20
R11208	CAN	2/17/20
R11209	CAN	2/18/20
R11210	CAN	2/19/20
R11211	CAN	2/20/20
R11212	CAN	2/21/20
R11213	CAN	2/22/20
R11214	CAN	2/23/20
R11215	CAN	2/24/20
R11216	CAN	2/25/20
R11217	CAN	2/26/20
R11218	CAN	2/27/20
R11219	CAN	2/28/20
R11220	CAN	2/29/20
R11221	CAN	3/1/20
R11222	CAN	3/2/20
R11223	CAN	3/3/20
R11224	CAN	3/4/20
R11225	CAN	3/5/20
R11226	CAN	3/6/20
R11227	CAN	3/7/20
R11228	CAN	3/8/20
R11229	CAN	3/9/20
R11230	CAN	3/10/20
R11231	CAN	3/11/20
R11232	CAN	3/12/20
R11233	CAN	3/13/20
R11234	CAN	3/14/20
R11235	CAN	3/15/20
R11236	CAN	3/16/20
R11237	CAN	3/17/20
R11238	CAN	3/18/20
R11239	CAN	3/19/20
R11240	CAN	3/20/20
R11241	CAN	3/21/20
R11242	CAN	3/22/20
R11243	CAN	3/23/20
R11244	CAN	3/24/20
R11245	CAN	3/25/20
R11246	CAN	3/26/20
R11247	CAN	3/27/20
R11248	CAN	3/28/20
R11249	CAN	3/29/20
R11250	CAN	3/30/20
R11251	CAN	3/31/20
R11252	CAN	4/1/20
R11253	CAN	4/2/20
R11254	CAN	4/3/20
R11255	CAN	4/4/20
R11256	CAN	4/5/20
R11257	CAN	4/6/20
