	Category	Latitude	Longitude	Month	No_of_days_last	Year
R625	severe	-10.2	126.6	Apr	6	1994
R626	mild	-6.8	93.7	Apr	5	1994
R627	severe	-12.5	116	Dec	7	1994
R628	severe	-11	134	Feb	8	1995
R629	moderate	-13.3	154.3	Mar	6	1995
R630	moderate	-13.3	140.2	Mar	2	1995
R631	severe	-9.1	128.1	Apr	5	1995
R632	severe	-11.3	146.7	Apr	6	1995
R633	severe	-7	95.5	Nov	9	1995
R634	mild	-10	105.9	Dec	15	1995
R635	severe	-10.4	116.8	Dec	7	1995
R636	moderate	-13.2	125.5	Dec	7	1995
R637	severe	-14.7	133	Jan	7	1996
R638	severe	-10.2	99.6	Jan	6	1996
R639	moderate	-17.1	148.8	Jan	4	1996
R640	mild	-12.4	122.8	Jan	4	1996
R641	severe	-14	140	Jan	12	1996
R642	mild	-14	140.2	Feb	5	1996
R643	severe	-17.3	122.8	Mar	7	1996
R644	mild	-15.5	137.9	Mar	6	1996
R645	severe	-8.5	133	Apr	9	1996
R646	mild	-6.8	94.7	May	5	1996
R647	mild	-9.3	93.3	July	4	1996
R648	severe	-9.1	97.8	Oct	8	1996
R649	mild	-11	124.5	Dec	4	1996
R650	mild	-9.1	107.9	Dec	6	1996
R651	severe	-12.6	160.1	Dec	5	1996
R652	mild	-12.3	138.8	Dec	6	1996
R653	mild	-15.7	92.8	Jan	6	1997
R654	moderate	-12.5	133.3	Jan	9	1997
R655	severe	-15.1	162.5	Jan	6	1997
R656	severe	-9.6	96.2	Jan	20	1997
R657	mild	-12.1	152	Feb	3	1997
R658	mild	-13.9	147.6	Feb	6	1997
R659	mild	-13.7	157.8	Feb	6	1997
R660	severe	-17.2	155	Mar	19	1997
R661	severe	-11	84.5	May	7	1997
R662	mild	-11.2	165.2	Nov	3	1997
R663	mild	-13.2	130.1	Dec	5	1997
R664	moderate	-11.9	110.6	Dec	6	1997
R665	severe	-14.6	151.1	Jan	24	1998
R666	severe	-15	124.5	Jan	13	1998
R667	mild	-15.5	142.1	Jan	10	1998
R668	moderate	-12.9	133.6	Feb	12	1998
R669	mild	-14.3	138.9	Feb	1	1998
R670	mild	-10.7	144.3	Mar	9	1998
R671	mild	-11.3	93	Oct	3	1998
R672	severe	-10.2	98.2	Nov	6	1998
R673	severe	-12	138	Nov	15	1998
R674	moderate	-14.6	120.1	Dec	5	1998
R675	mild	-11.1	100.6	Dec	6	1998
R676	mild	-16.9	157.9	Jan	1	1999
R677	severe	-12.9	113.2	Jan	7	1999
R678	mild	-15	149	Jan	2	1999
R679	moderate	-15.2	146.8	Feb	3	1999
R680	severe	-12.5	131.5	Mar	9	1999
R681	severe	-13.1	117.5	Mar	5	1999
R682	severe	-11.5	119	Mar	6	1999
R683	severe	-11.2	131	Apr	6	1999
R684	mild	-10.5	93.6	Apr	2	1999
R685	mild	-9	95	Dec	9	1999
R686	severe	-10.5	122.5	Dec	7	1999
R687	mild	-11.5	99.8	Jan	7	2000
R688	moderate	-10.5	115.5	Feb	7	2000
R689	mild	-13.8	99.7	Feb	4	2000
R690	mild	-16.5	151.7	Feb	16	2000
R691	severe	-17.3	123	Feb	12	2000
R692	mild	-16.2	117.3	Mar	5	2000
R693	severe	-15.6	95.2	Mar	16	2000
R694	mild	-14.4	155.6	Apr	2	2000
R695	mild	-14.8	159.6	Apr	4	2000
R696	severe	-13	127.5	Apr	10	2000
R697	severe	-9.5	127	Apr	6	2000
R698	severe	-11	140	Nov	16	2000
R699	mild	-14.2	124.8	Jan	3	2001
R700	mild	-11	138.7	Feb	5	2001
R701	mild	-15.8	112.2	Feb	4	2001
R702	mild	-13.5	141.5	Feb	8	2001
R703	moderate	-15.5	154.3	Feb	14	2001
R704	severe	-10.7	110.7	Apr	7	2001
R705	mild	-7.5	137	Apr	9	2001
R706	mild	-7.4	96.8	Oct	3	2001
R707	mild	-7	95.6	Nov	5	2001
R708	mild	-11.5	137.5	Dec	7	2001
R709	severe	-13.1	120.3	Feb	5	2002
R710	moderate	-19.5	155.5	Feb	2	2002
R711	mild	-14.6	154.2	Mar	2	2002
R712	severe	-10.4	101.5	Apr	5	2002
R713	mild	-7.2	133.2	Apr	8	2002
R714	mild	-6.3	97.3	May	6	2002
R715	mild	-7.5	154	May	4	2002
R716	mild	-10	135.5	Jan	2	2003
R717	mild	-10	135.5	Jan	21	2003
R718	severe	-11.8	117.4	Feb	10	2003
R719	mild	-17	119.5	Feb	4	2003
R720	mild	-13.4	105.5	Mar	10	2003
R721	moderate	-21	147.5	Mar	11	2003
R722	mild	-13	130.3	Mar	5	2003
R723	severe	-7.7	124	Apr	5	2003
R724	mild	-7.3	154.2	June	6	2003
R725	severe	-7	93.2	Dec	7	2003
R726	moderate	-10	140.4	Dec	3	2003
R727	mild	-7.2	91.4	Jan	5	2004
R728	mild	-13.8	146.7	Feb	7	2004
R729	severe	-17.8	124.5	Feb	6	2004
R730	mild	-12.8	141.5	Feb	2	2004
R731	mild	-13.4	90.8	Mar	16	2004
R732	severe	-11	146	Mar	3	2004
R733	mild	-16.6	149.3	Mar	7	2004
R734	severe	-12	103.5	Mar	6	2004
R735	mild	-4.5	88.7	Aug	11	2004
R736	mild	-12.9	119.8	Dec	10	2004
R737	severe	-18.2	159.8	Jan	4	2005
R738	mild	-9	99	Jan	3	2005
R739	mild	-13.5	112.4	Jan	4	2005
R740	moderate	-14	135.8	Feb	5	2005
R741	mild	-14.5	118	Feb	12	2005
R742	severe	-11.5	140	Mar	6	2005
R743	moderate	-11.8	120.2	Mar	3	2005
R744	moderate	-9.8	101.2	Apr	2	2005
R745	mild	-8	138	Apr	6	2005
R746	severe	-4.5	95.5	Nov	4	2005
R747	moderate	-11.3	129.1	Jan	6	2006
R748	mild	-15.3	125.6	Jan	5	2006
R749	moderate	-17.7	146.7	Jan	2	2006
R750	mild	-10.7	143.7	Feb	5	2006
R751	mild	-12	114.4	Feb	9	2006
R752	severe	-14	128.5	Mar	7	2006
R753	severe	-12.5	158	Mar	9	2006
R754	severe	-11.5	118.9	Mar	4	2006
R755	severe	-17.2	159.1	Mar	6	2006
R756	mild	-14.5	115.2	Apr	11	2006
R757	severe	-9.5	152.5	Apr	2	2006
R758	mild	-12	114.1	Jan	6	2007
R759	mild	-11.1	137	Feb	13	2007
R760	severe	-12.1	135.2	Feb	10	2007
R761	mild	-13.8	118.9	Mar	7	2007
R762	severe	-16.2	124.5	Mar	8	2007
R763	mild	-9.7	157.7	May	5	2007
R764	mild	-9.8	89.3	July	4	2007
R765	mild	-5.3	95.2	Nov	5	2007
R766	mild	-11.1	146.9	Nov	7	2007
R767	moderate	-10	117	Dec	9	2007
R768	mild	-13.2	130.9	Dec	9	2007
R769	severe	-16	121	Feb	6	2008
R770	mild	-15	129	Mar	7	2008
R771	severe	-12	102	Mar	4	2008
R772	mild	-8.2	96.5	Apr	6	2008
R773	mild	-5.7	82.2	Apr	5	2008
R774	mild	-8.1	89.4	Nov	16	2008
R775	severe	-10.2	128.7	Dec	2	2008
R776	mild	-16.6	139.6	Jan	3	2009
R777	mild	-17.3	123.4	Jan	1	2009
R778	mild	-16.4	148.1	Jan	10	2009
R779	mild	-15.5	125.5	Feb	6	2009
R780	mild	-9.7	101.2	Feb	6	2009
R781	severe	-12.9	147.9	Mar	9	2009
R782	moderate	-10	128.7	Mar	1	2009
R783	mild	-14.7	154.2	Mar	13	2009
R784	mild	-7.3	133.3	Apr	15	2009
R785	severe	-8.9	139.5	Dec	2	2009
R786	mild	-14.1	146.6	Jan	6	2010
R787	mild	-10.9	123	Jan	9	2010
R788	mild	-11.9	159.9	Jan	6	2010
R789	severe	-12.9	160	Mar	9	2010
R790	mild	-8.5	138	Mar	6	2010
R791	mild	-8.8	93.3	Apr	6	2010
R792	mild	-10	117.5	Apr	7	2010
R793	mild	-7.4	96.5	Oct	5	2010
R794	mild	-11.4	86.4	Nov	5	2010
R795	mild	-18.2	109	Dec	1	2010
R796	mild	-14.7	149.8	Dec	7	2010
R797	mild	-14.5	132.8	Dec	7	2010
R798	mild	-15.1	112.8	Jan	6	2011
R799	severe	-15.1	150.2	Jan	7	2011
R800	mild	-15.3	148.9	Jan	9	2011
R801	severe	-16	129	Jan	2	2011
R802	severe	-13.5	160.5	Feb	9	2011
R803	moderate	-15.9	119.3	Feb	13	2011
R804	moderate	-14	132	Feb	13	2011
R805	mild	-8.5	129.5	Mar	6	2011
R806	mild	-11	125	Apr	7	2011
R807	mild	-10.5	98.4	Dec	8	2011
R808	mild	-12	157	Dec	10	2011
R809	mild	-10.5	134.5	Dec	4	2011
R810	moderate	-12	118	Jan	11	2012
R811	mild	-15	116	Jan	5	2012
R812	mild	-15.3	140.9	Feb	3	2012
R813	mild	-10.4	101.3	Mar	8	2012
R814	severe	-16.5	112	Mar	3	2012
R815	moderate	-7.5	164.9	Dec	5	2012
R816	mild	-13.4	116.2	Dec	10	2012
R817	severe	-10	125.8	Jan	11	2013
R818	mild	-14	138	Jan	3	2013
R819	mild	-16.5	123.5	Jan	9	2013
R820	severe	-13	125.9	Feb	5	2013
R821	moderate	-17.9	149.4	Mar	8	2013
R822	mild	-11.7	140.2	Mar	6	2013
R823	mild	-8.7	99.2	Apr	2	2013
R824	mild	-12	154	Apr	11	2013
R825	mild	-10.5	113.2	Nov	4	2013
R826	moderate	-8.2	98.7	Dec	6	2013
R827	severe	-12	124	Dec	7	2013
R828	mild	-13	160	Jan	4	2014
R829	mild	-13.6	129.3	Feb	11	2014
R830	mild	-14.3	123.7	Feb	12	2014
R831	mild	-14.3	123.7	Feb	16	2014
R832	mild	-13.4	160	Mar	21	2014
R833	severe	-10	139	Mar	13	2014
R834	severe	-10.6	159	Apr	7	2014
R835	mild	-10	100	Apr	9	2014
R836	severe	-7.5	100.5	Dec	6	2014
R837	severe	-12.3	145.1	Feb	4	2015
R838	severe	-15	152.3	Feb	6	2015
R839	severe	-14	112.5	Mar	18	2015
R840	moderate	-12.4	151.3	Mar	4	2015
R841	severe	-10.2	86.9	Apr	3	2015
R842	severe	-12	115	Apr	6	2015
R843	mild	-7	163.4	June	10	2015
R844	mild	-15.6	136	Dec	4	2015
R845	mild	-13	118.5	Jan	5	2016
R846	mild	-11.7	94	Feb	6	2016
R847	mild	-17.4	154	Feb	2	2016
R848	mild	-15.5	137.4	Mar	5	2016
R849	mild	-10.5	129.5	Dec	7	2016
R850	mild	-15	116	Dec	7	2016
R851	mild	-17	137.1	Feb	5	2017
R852	mild	-9	138.5	Mar	4	2017
R853	mild	-13.2	122	Mar	9	2017
R854	mild	-10	96	Mar	9	2017
R855	severe	-13.2	152	Mar	7	2017
R856	severe	-9.9	115	Apr	10	2017
R857	mild	-7.6	135.3	Apr	6	2017
R858	mild	-7.8	136.5	Apr	1	2017
R859	mild	-9.4	101.9	Apr	8	2017
R860	mild	-10	112	Nov	8	2017
R861	mild	-6.2	93.1	Nov	3	2017
R862	mild	-14.5	123.4	Dec	3	2017
R863	mild	-8.3	95.4	Jan	8	2018
R864	mild	-13	129.5	Jan	9	2018
R865	severe	-10	132.5	Feb	11	2018
R866	severe	-9	129	Mar	5	2018
R867	mild	-9.3	160	Mar	6	2018
R868	moderate	-7.7	137.2	Mar	21	2018
R869	mild	-9.5	162	Mar	21	2018
R870	moderate	-8.3	155.6	Nov	12	2018
R871	severe	-7.7	93.1	Dec	12	2018
R872	mild	-13.4	147	Dec	12	2018
R873	mild	-8.9	128.4	Jan	1	2019
R874	mild	-22.6	160	Feb	9	2019
R875	moderate	-11.4	114.5	Mar	10	2019
R876	severe	-13	122.7	Mar	12	2019
R877	severe	-8.4	151	Mar	7	2019
R878	mild	-7.5	132.8	Apr	10	2019
R879	mild	-10.3	162	May	4	2019
R880	mild	-13.8	122.2	Jan	13	2020
R881	moderate	-9.4	134	Jan	6	2020
R882	severe	-17.1	129.5	Feb	2	2020
R883	mild	-15.6	160	Feb	8	2020
R884	moderate	-12	119	Feb		2020
