	Cabin	Embarked	Fare	Parch	Pclass	Sex	SibSp	Survived	Ticket
598		S	0	0	3	male	0	0	LINE
599		C	7.225	0	3	male	0	0	2664
600	A20	C	56.9292	0	1	male	1	1	PC 17485
601		S	27	1	2	female	2	1	243847
602		S	7.8958	0	3	male	0	0	349214
603		S	42.4	0	1	male	0	0	113796
604		S	8.05	0	3	male	0	0	364511
605		C	26.55	0	1	male	0	1	111426
606		S	15.55	0	3	male	1	0	349910
607		S	7.8958	0	3	male	0	0	349246
608		S	30.5	0	1	male	0	1	113804
609		C	41.5792	2	2	female	1	1	SC/Paris 2123
610	C125	S	153.4625	0	1	female	0	1	PC 17582
611		S	31.275	5	3	female	1	0	347082
612		S	7.05	0	3	male	0	0	SOTON/O.Q. 3101305
613		Q	15.5	0	3	female	1	1	367230
614		Q	7.75	0	3	male	0	0	370377
615		S	8.05	0	3	male	0	0	364512
616		S	65	2	2	female	1	1	220845
617		S	14.4	1	3	male	1	0	347080
618		S	16.1	0	3	female	1	0	A/5. 3336
619	F4	S	39	1	2	female	2	1	230136
620		S	10.5	0	2	male	0	0	31028
621		C	14.4542	0	3	male	1	0	2659
622	D19	S	52.5542	0	1	male	1	1	11753
623		C	15.7417	1	3	male	1	1	2653
624		S	7.8542	0	3	male	0	0	350029
625		S	16.1	0	3	male	0	0	54636
626	D50	S	32.3208	0	1	male	0	0	36963
627		Q	12.35	0	2	male	0	0	219533
628	D9	S	77.9583	0	1	female	0	1	13502
629		S	7.8958	0	3	male	0	0	349224
630		Q	7.7333	0	3	male	0	0	334912
631	A23	S	30	0	1	male	0	1	27042
632		S	7.0542	0	3	male	0	0	347743
633	B50	C	30.5	0	1	male	0	1	13214
634		S	0	0	1	male	0	0	112052
635		S	27.9	2	3	female	3	0	347088
636		S	13	0	2	female	0	1	237668
637		S	7.925	0	3	male	0	0	STON/O 2. 3101292
638		S	26.25	1	2	male	1	0	C.A. 31921
639		S	39.6875	5	3	female	0	0	3101295
640		S	16.1	0	3	male	1	0	376564
641		S	7.8542	0	3	male	0	0	350050
642	B35	C	69.3	0	1	female	0	1	PC 17477
643		S	27.9	2	3	female	3	0	347088
644		S	56.4958	0	3	male	0	1	1601
645		C	19.2583	1	3	female	2	1	2666
646	D33	C	76.7292	0	1	male	1	1	PC 17572
647		S	7.8958	0	3	male	0	0	349231
648	A26	C	35.5	0	1	male	0	1	13213
649		S	7.55	0	3	male	0	0	S.O./P.P. 751
650		S	7.55	0	3	female	0	1	CA. 2314
651		S	7.8958	0	3	male	0	0	349221
652		S	23	1	2	female	0	1	231919
653		S	8.4333	0	3	male	0	0	8475
654		Q	7.8292	0	3	female	0	1	330919
655		Q	6.75	0	3	female	0	0	365226
656		S	73.5	0	2	male	2	0	S.O.C. 14879
657		S	7.8958	0	3	male	0	0	349223
658		Q	15.5	1	3	female	1	0	364849
659		S	13	0	2	male	0	0	29751
660	D48	C	113.275	2	1	male	0	0	35273
661		S	133.65	0	1	male	2	1	PC 17611
662		C	7.225	0	3	male	0	0	2623
663	E58	S	25.5875	0	1	male	0	0	5727
664		S	7.4958	0	3	male	0	0	349210
665		S	7.925	0	3	male	1	1	STON/O 2. 3101285
666		S	73.5	0	2	male	2	0	S.O.C. 14879
667		S	13	0	2	male	0	0	234686
668		S	7.775	0	3	male	0	0	312993
669		S	8.05	0	3	male	0	0	A/5 3536
670	C126	S	52	0	1	female	1	1	19996
671		S	39	1	2	female	1	1	29750
672	B71	S	52	0	1	male	1	0	F.C. 12750
673		S	10.5	0	2	male	0	0	C.A. 24580
674		S	13	0	2	male	0	1	244270
675		S	0	0	2	male	0	0	239856
676		S	7.775	0	3	male	0	0	349912
677		S	8.05	0	3	male	0	0	342826
678		S	9.8417	0	3	female	0	1	4138
679		S	46.9	6	3	female	1	0	CA 2144
680	B51 B53 B55	C	512.3292	1	1	male	0	1	PC 17755
681		Q	8.1375	0	3	female	0	0	330935
682	D49	C	76.7292	0	1	male	0	1	PC 17572
683		S	9.225	0	3	male	0	0	6563
684		S	46.9	2	3	male	5	0	CA 2144
685		S	39	1	2	male	1	0	29750
686		C	41.5792	2	2	male	1	0	SC/Paris 2123
687		S	39.6875	1	3	male	4	0	3101295
688		S	10.1708	0	3	male	0	0	349228
689		S	7.7958	0	3	male	0	0	350036
690	B5	S	211.3375	1	1	female	0	1	24160
691	B20	S	57	0	1	male	1	1	17474
692		C	13.4167	1	3	female	0	1	349256
693		S	56.4958	0	3	male	0	1	1601
694		C	7.225	0	3	male	0	0	2672
695		S	26.55	0	1	male	0	0	113800
696		S	13.5	0	2	male	0	0	248731
697		S	8.05	0	3	male	0	0	363592
698		Q	7.7333	0	3	female	0	1	35852
699	C68	C	110.8833	1	1	male	1	0	17421
700	F G63	S	7.65	0	3	male	0	0	348121
701	C62 C64	C	227.525	0	1	female	1	1	PC 17757
702	E24	S	26.2875	0	1	male	0	1	PC 17475
703		C	14.4542	1	3	female	0	0	2691
704		Q	7.7417	0	3	male	0	0	36864
705		S	7.8542	0	3	male	1	0	350025
706		S	26	0	2	male	0	0	250655
707		S	13.5	0	2	female	0	1	223596
708	E24	S	26.2875	0	1	male	0	1	PC 17476
709		S	151.55	0	1	female	0	1	113781
710		C	15.2458	1	3	male	1	1	2661
711	C90	C	49.5042	0	1	female	0	1	PC 17482
712	C124	S	26.55	0	1	male	0	0	113028
713	C126	S	52	0	1	male	1	1	19996
714		S	9.4833	0	3	male	0	0	7545
715		S	13	0	2	male	0	0	250647
716	F G73	S	7.65	0	3	male	0	0	348124
717	C45	C	227.525	0	1	female	0	1	PC 17757
718	E101	S	10.5	0	2	female	0	1	34218
719		Q	15.5	0	3	male	0	0	36568
720		S	7.775	0	3	male	0	0	347062
721		S	33	1	2	female	0	1	248727
722		S	7.0542	0	3	male	1	0	350048
723		S	13	0	2	male	0	0	12233
724		S	13	0	2	male	0	0	250643
725	E8	S	53.1	0	1	male	1	1	113806
726		S	8.6625	0	3	male	0	0	315094
727		S	21	0	2	female	3	1	31027
728		Q	7.7375	0	3	female	0	1	36866
729		S	26	0	2	male	1	0	236853
730		S	7.925	0	3	female	1	0	STON/O2. 3101271
731	B5	S	211.3375	0	1	female	0	1	24160
732		C	18.7875	0	3	male	0	0	2699
733		S	0	0	2	male	0	0	239855
734		S	13	0	2	male	0	0	28425
735		S	13	0	2	male	0	0	233639
736		S	16.1	0	3	male	0	0	54636
737		S	34.375	3	3	female	1	0	W./C. 6608
738	B101	C	512.3292	0	1	male	0	1	PC 17755
739		S	7.8958	0	3	male	0	0	349201
740		S	7.8958	0	3	male	0	0	349218
741	D45	S	30	0	1	male	0	1	16988
742	C46	S	78.85	0	1	male	1	0	19877
743	B57 B59 B63 B66	C	262.375	2	1	female	2	1	PC 17608
744		S	16.1	0	3	male	1	0	376566
745		S	7.925	0	3	male	0	1	STON/O 2. 3101288
746	B22	S	71	1	1	male	1	0	WE/P 5735
747		S	20.25	1	3	male	1	0	C.A. 2673
748		S	13	0	2	female	0	1	250648
749	D30	S	53.1	0	1	male	1	0	113773
750		Q	7.75	0	3	male	0	0	335097
751		S	23	1	2	female	1	1	29103
752	E121	S	12.475	1	3	male	0	1	392096
753		S	9.5	0	3	male	0	0	345780
754		S	7.8958	0	3	male	0	0	349204
755		S	65	2	2	female	1	1	220845
756		S	14.5	1	2	male	1	1	250649
757		S	7.7958	0	3	male	0	0	350042
758		S	11.5	0	2	male	0	0	29108
759		S	8.05	0	3	male	0	0	363294
760	B77	S	86.5	0	1	female	0	1	110152
761		S	14.5	0	3	male	0	0	358585
762		S	7.125	0	3	male	0	0	SOTON/O2 3101272
763		C	7.2292	0	3	male	0	1	2663
764	B96 B98	S	120	2	1	female	1	1	113760
765		S	7.775	0	3	male	0	0	347074
766	D11	S	77.9583	0	1	female	1	1	13502
767		C	39.6	0	1	male	0	0	112379
768		Q	7.75	0	3	female	0	0	364850
769		Q	24.15	0	3	male	1	0	371110
770		S	8.3625	0	3	male	0	0	8471
771		S	9.5	0	3	male	0	0	345781
772		S	7.8542	0	3	male	0	0	350047
773	E77	S	10.5	0	2	female	0	0	S.O./P.P. 3
774		C	7.225	0	3	male	0	0	2674
775		S	23	3	2	female	1	1	29105
776		S	7.75	0	3	male	0	0	347078
777	F38	Q	7.75	0	3	male	0	0	383121
778		S	12.475	0	3	female	0	1	364516
779		Q	7.7375	0	3	male	0	0	36865
780	B3	S	211.3375	1	1	female	0	1	24160
781		C	7.2292	0	3	female	0	1	2687
782	B20	S	57	0	1	female	1	1	17474
783	D6	S	30	0	1	male	0	0	113501
784		S	23.45	2	3	male	1	0	W./C. 6607
785		S	7.05	0	3	male	0	0	SOTON/O.Q. 3101312
786		S	7.25	0	3	male	0	0	374887
787		S	7.4958	0	3	female	0	1	3101265
788		Q	29.125	1	3	male	4	0	382652
789		S	20.575	2	3	male	1	1	C.A. 2315
790	B82 B84	C	79.2	0	1	male	0	0	PC 17593
791		Q	7.75	0	3	male	0	0	12460
792		S	26	0	2	male	0	0	239865
793		S	69.55	2	3	female	8	0	CA. 2343
794		C	30.6958	0	1	male	0	0	PC 17600
795		S	7.8958	0	3	male	0	0	349203
796		S	13	0	2	male	0	0	28213
797	D17	S	25.9292	0	1	female	0	1	17465
798		S	8.6833	0	3	female	0	1	349244
799		C	7.2292	0	3	male	0	0	2685
800		S	24.15	1	3	female	1	0	345773
801		S	13	0	2	male	0	0	250647
802		S	26.25	1	2	female	1	1	C.A. 31921
803	B96 B98	S	120	2	1	male	1	1	113760
804		C	8.5167	1	3	male	0	1	2625
805		S	6.975	0	3	male	0	1	347089
806		S	7.775	0	3	male	0	0	347063
807	A36	S	0	0	1	male	0	0	112050
808		S	7.775	0	3	female	0	0	347087
809		S	13	0	2	male	0	0	248723
810	E8	S	53.1	0	1	female	1	1	113806
811		S	7.8875	0	3	male	0	0	3474
812		S	24.15	0	3	male	0	0	A/4 48871
813		S	10.5	0	2	male	0	0	28206
814		S	31.275	2	3	female	4	0	347082
815		S	8.05	0	3	male	0	0	364499
816	B102	S	0	0	1	male	0	0	112058
817		S	7.925	0	3	female	0	0	STON/O2. 3101290
818		C	37.0042	1	2	male	1	0	S.C./PARIS 2079
819		S	6.45	0	3	male	0	0	C 7075
820		S	27.9	2	3	male	3	0	347088
821	B69	S	93.5	1	1	female	1	1	12749
822		S	8.6625	0	3	male	0	1	315098
823		S	0	0	1	male	0	0	19972
824	E121	S	12.475	1	3	female	0	1	392096
825		S	39.6875	1	3	male	4	0	3101295
826		Q	6.95	0	3	male	0	0	368323
827		S	56.4958	0	3	male	0	0	1601
828		C	37.0042	2	2	male	0	1	S.C./PARIS 2079
829		Q	7.75	0	3	male	0	1	367228
830	B28		80	0	1	female	0	1	113572
831		C	14.4542	0	3	female	1	1	2659
832		S	18.75	1	2	male	1	1	29106
833		C	7.2292	0	3	male	0	0	2671
834		S	7.8542	0	3	male	0	0	347468
835		S	8.3	0	3	male	0	0	2223
836	E49	C	83.1583	1	1	female	1	1	PC 17756
837		S	8.6625	0	3	male	0	0	315097
838		S	8.05	0	3	male	0	0	392092
839		S	56.4958	0	3	male	0	1	1601
840	C47	C	29.7	0	1	male	0	1	11774
841		S	7.925	0	3	male	0	0	SOTON/O2 3101287
842		S	10.5	0	2	male	0	0	S.O./P.P. 3
843		C	31	0	1	female	0	1	113798
844		C	6.4375	0	3	male	0	0	2683
845		S	8.6625	0	3	male	0	0	315090
846		S	7.55	0	3	male	0	0	C.A. 5547
847		S	69.55	2	3	male	8	0	CA. 2343
848		C	7.8958	0	3	male	0	0	349213
849		S	33	1	2	male	0	0	248727
850	C92	C	89.1042	0	1	female	1	1	17453
851		S	31.275	2	3	male	4	0	347082
852		S	7.775	0	3	male	0	0	347060
853		C	15.2458	1	3	female	1	0	2678
854	D28	S	39.4	1	1	female	0	1	PC 17592
855		S	26	0	2	female	1	0	244252
856		S	9.35	1	3	female	0	1	392091
857		S	164.8667	1	1	female	1	1	36928
858	E17	S	26.55	0	1	male	0	1	113055
859		C	19.2583	3	3	female	0	1	2666
860		C	7.2292	0	3	male	0	0	2629
861		S	14.1083	0	3	male	2	0	350026
862		S	11.5	0	2	male	1	0	28134
863	D17	S	25.9292	0	1	female	0	1	17466
864		S	69.55	2	3	female	8	0	CA. 2343
865		S	13	0	2	male	0	0	233866
866		S	13	0	2	female	0	1	236852
867		C	13.8583	0	2	female	1	1	SC/PARIS 2149
868	A24	S	50.4958	0	1	male	0	0	PC 17590
869		S	9.5	0	3	male	0	0	345777
870		S	11.1333	1	3	male	1	1	347742
871		S	7.8958	0	3	male	0	0	349248
872	D35	S	52.5542	1	1	female	1	1	11751
873	B51 B53 B55	S	5	0	1	male	0	0	695
874		S	9	0	3	male	0	0	345765
875		C	24	0	2	female	1	1	P/PP 3381
876		C	7.225	0	3	female	0	1	2667
877		S	9.8458	0	3	male	0	0	7534
878		S	7.8958	0	3	male	0	0	349212
879		S	7.8958	0	3	male	0	0	349217
880	C50	C	83.1583	1	1	female	0	1	11767
881		S	26	1	2	female	0	1	230433
882		S	7.8958	0	3	male	0	0	349257
883		S	10.5167	0	3	female	0	0	7552
884		S	10.5	0	2	male	0	0	C.A./SOTON 34068
885		S	7.05	0	3	male	0	0	SOTON/OQ 392076
886		Q	29.125	5	3	female	0	0	382652
887		S	13	0	2	male	0	0	211536
888	B42	S	30	0	1	female	0	1	112053
889		S	23.45	2	3	female	1	0	W./C. 6607
890	C148	C	30	0	1	male	0	1	111369
891		Q	7.75	0	3	male	0	0	370376
