	Cases	Deaths
R14380	5005	89
R14381	5005	89
R14382	5005	89
R14383	5008	89
R14384	5008	89
R14385	5008	89
R14386	5089	89
R14387	5089	89
R14388	5089	89
R14389	5089	89
R14390	5089	89
R14391	5089	89
R14392	5089	89
R14393	5089	89
R14394	5089	89
R14395	5118	90
R14396	5118	90
R14397	5118	90
R14398	5118	90
R14399	5118	90
R14400	5156	92
R14401	5156	92
R14402	5156	92
R14403	5156	92
R14404	5156	92
R14405	5156	92
R14406	5156	92
R14407	5156	92
R14408	5156	92
R14409	5156	92
R14410	5253	92
R14411	5253	92
R14412	5253	92
R14413	5253	92
R14414	5253	92
R14415	5290	92
R14416	5290	92
R14417	5290	92
R14418	5290	92
R14419	5290	92
R14420	5348	92
R14421	5348	92
R14422	5348	92
R14423	5379	92
R14424	5379	92
R14425	5379	92
R14426	5379	92
R14427	5379	92
R14428	5379	92
R14429	5379	92
R14430	5515	92
R14431	5515	92
R14432	5515	92
R14433	5515	92
R14434	5515	92
R14435	5515	92
R14436	5632	93
R14437	5632	93
R14438	5632	93
R14439	5632	93
R14440	5632	93
R14441	5632	93
R14442	5632	93
R14443	5632	93
R14444	5774	94
R14445	5774	94
R14446	5774	94
R14447	5774	94
R14448	5774	94
R14449	5774	94
R14450	5774	94
R14451	5774	94
R14452	5774	94
R14453	5774	94
R14454	5774	94
R14455	5774	94
R14456	6049	99
R14457	6049	99
R14458	6049	99
R14459	6049	99
R14460	6049	99
R14461	6200	100
R14462	6200	100
R14463	6200	100
R14464	6200	100
R14465	6200	100
R14466	6200	100
R14467	6200	100
R14468	6200	100
R14469	6571	100
R14470	6571	100
R14471	6571	100
R14472	6571	100
R14473	6908	107
R14474	6908	107
R14475	6908	107
R14476	6908	107
R14477	6908	107
R14478	7107	108
R14479	7107	108
R14480	7107	108
R14481	7107	108
R14482	7107	108
R14483	7107	108
R14484	7127	108
R14485	7127	108
R14486	7127	108
R14487	7127	108
R14488	7127	108
R14489	7127	108
R14490	7160	112
R14491	7160	112
R14492	7160	112
R14493	7709	114
R14494	7709	114
R14495	7709	114
R14496	7709	114
R14497	7709	114
R14498	7709	114
R14499	7794	117
R14500	7794	117
R14501	7794	117
R14502	7794	117
R14503	7887	117
R14504	7887	117
R14505	7887	117
R14506	7887	117
R14507	7887	117
R14508	7887	117
R14509	7887	117
R14510	7887	117
R14511	7887	117
R14512	7887	117
R14513	8060	122
R14514	8060	122
R14515	8060	122
R14516	8060	122
R14517	8060	122
R14518	8060	122
R14519	8354	122
R14520	8354	122
R14521	8419	123
R14522	8419	123
R14523	8419	123
R14524	8419	123
R14525	8419	123
R14526	8419	123
R14527	8419	123
R14528	8419	123
R14529	8419	123
R14530	8625	127
R14531	8625	127
R14532	8625	127
R14533	8820	128
R14534	8820	128
R14535	8820	128
R14536	8820	128
R14537	8820	128
R14538	8820	128
R14539	8820	128
R14540	8820	128
R14541	9179	131
R14542	9179	131
R14543	9179	131
R14544	1	
R14545	1	
R14546	5	
R14547	9	
R14548	9	
R14549	13	
R14550	22	
R14551	23	
R14552	26	
R14553	27	
R14554	35	
R14555	41	
R14556	50	
R14557	69	1
R14558	89	1
R14559	117	2
R14560	134	2
R14561	158	2
R14562	177	2
R14563	201	2
R14564	231	2
R14565	263	2
R14566	295	2
R14567	314	2
R14568	330	2
R14569	347	2
R14570	375	2
R14571	396	2
R14572	416	2
R14573	435	2
R14574	454	2
R14575	467	2
R14576	483	2
R14577	502	3
R14578	539	3
R14579	558	3
R14580	577	3
R14581	595	3
R14582	612	3
R14583	618	3
R14584	626	4
R14585	642	4
R14586	649	4
R14587	655	4
R14588	660	5
R14589	662	6
R14590	669	6
R14591	681	6
R14592	686	6
R14593	687	6
R14594	693	6
R14595	695	6
R14596	697	6
R14597	705	6
R14598	713	6
R14599	719	6
R14600	725	6
R14601	733	6
R14602	739	6
R14603	742	6
R14604	755	6
R14605	761	6
R14606	765	6
R14607	773	6
R14608	780	6
R14609	792	7
R14610	801	7
R14611	804	7
R14612	815	8
R14613	830	8
R14614	843	9
R14615	853	10
R14616	863	10
R14617	866	10
R14618	882	10
R14619	897	10
R14620	903	10
R14621	911	10
R14622	918	10
R14623	930	10
R14624	951	10
R14625	956	10
R14626	984	10
R14627	1000	10
R14628	1022	10
R14629	1047	10
R14630	1056	10
R14631	1084	10
R14632	1105	10
R14633	1157	10
R14634	1194	10
R14635	1228	10
R14636	1263	10
R14637	1318	10
R14638	1342	11
R14639	1375	11
R14640	1461	12
R14641	1538	12
R14642	1612	12
R14643	1662	12
R14644	1715	12
R14645	1744	12
R14646	1796	12
R14647	1871	12
R14648	1939	12
R14649	2058	12
R14650	2127	12
R14651	2213	12
R14652	2277	12
R14653	2368	12
R14654	2515	12
R14655	2684	12
R14656	2836	12
R14657	2979	14
R14658	3130	15
R14659	3269	15
R14660	3459	16
R14661	3753	17
R14662	4023	18
R14663	4311	18
R14664	4621	18
R14665	4996	19
R14666	5241	23
R14667	5486	23
R14668	5836	25
R14669	6485	25
R14670	6845	26
R14671	7231	28
R14672	7596	30
R14673	8036	34
R14674	8482	37
R14675	8986	40
R14676	9546	42
R14677	9969	47
R14678	10551	54
R14679	11114	62
R14680	11534	66
R14681	11811	68
R14682	12361	71
R14683	13129	80
R14684	13669	87
R14685	14600	98
R14686	15229	104
R14687	15841	115
R14688	16344	125
R14689	16800	133
R14690	17290	140
R14691	17820	150
R14692	18187	154
R14693	18975	162
R14694	19402	171
R14695	19837	181
R14696	20417	191
R14697	21070	200
R14698	22081	218
R14699	22802	228
R14700	23286	235
R14701	23872	244
R14702	24508	255
R14703	25057	263
R14704	26129	272
R14705	26931	281
R14706	27737	291
R14707	28465	294
R14708	29084	304
R14709	29643	314
R14710	30409	321
R14711	31075	333
R14712	32134	340
R14713	33084	348
R14714	33820	355
R14715	34463	362
R14716	35305	376
R14717	36307	386
R14718	37292	397
R14719	38485	407
R14720	39699	418
R14721	39699	418
R14722	41287	436
R14723	42184	443
R14724	43305	453
R14725	44458	460
R14726	45680	469
R14727	46920	478
R14728	46920	478
R14729	48780	510
R14730	49897	531
R14731	51224	543
R14732	52549	567
R14733	53969	583
R14734	55454	590
R14735	55454	590
R14736	57361	621
R14737	58137	633
R14738	59516	649
R14739	60818	666
R14740	62374	686
R14741	63712	706
R14742	63712	706
R14743	65602	745
R14744	66689	760
R14745	68059	781
R14746	69459	795
R14747	70816	812
R14748	72049	828
R14749	72049	828
R14750	73714	861
R14751	74604	880
R14752	75760	904
R14753	76828	917
R14754	77829	930
R14755	79182	950
R14756	79182	950
R14757	81129	987
R14758	82142	1004
R14759	83497	1024
R14760	84828	1040
R14761	86053	1055
R14762	87439	1076
R14763	87439	1076
R14764	89223	1108
R14765	90238	1124
R14766	91780	1134
R14767	93152	1159
R14768	94348	1168
R14769	95514	1183
R14770	95514	1183
R14771	97075	1204
R14772	97922	1222
R14773	99425	1236
R14774	100616	1251
R14775	101826	1265
R14776	103088	1282
R14777	103088	1282
R14778	104460	1312
R14779	105322	1329
R14780	106553	1340
R14781	107570	1357
R14782	108866	1371
R14783	109971	1385
R14784	109971	1385
R14785	111257	1404
R14786	112120	1419
R14787	113261	1431
R14788	114367	1444
R14789	115417	1453
R14790	116363	1464
R14791	116363	1464
R14792	117587	1491
R14793	118566	1502
R14794	119768	1513
R14795	120939	1527
R14796	122123	1537
R14797	123223	1546
R14798	123223	1546
R14799	124592	1566
R14800	125590	1578
R14801	127012	1588
R14802	128231	1599
R14803	129418	1608
R14804	129418	1608
R14805	129418	1608
R14806	132295	1641
R14807	133190	1662
R14808	134520	1674
R14809	135742	1679
R14810	137093	1690
R14811	137093	1690
R14812	137093	1690
R14813	139638	1726
R14814	140172	1731
R14815	141340	1739
R14816	142505	1757
R14817	143685	1773
R14818	143685	1773
R14819	143685	1773
R14820	146421	1825
R14821	147430	1846
R14822	148688	1864
R14823	149815	1882
R14824	150947	1895
R14825	150947	1895
R14826	150947	1895
R14827	153169	1936
R14828	154096	1956
R14829	155263	1967
R14830	156388	1980
R14831	157472	1996
R14832	157472	1996
R14833	157472	1996
R14834	159893	2037
R14835	160804	2051
R14836	161942	2065
R14837	162990	2086
R14838	162990	2086
R14839	162990	2086
R14840	162990	2086
R14841	165762	2144
R14842	166799	2156
R14843	168114	2171
R14844	169321	2185
R14845	169321	2185
R14846	169321	2185
R14847	169321	2185
R14848	172436	2229
R14849	173591	2248
R14850	175038	2267
R14851	176407	2286
R14852	177614	2305
R14853	177614	2305
R14854	177614	2305
R14855	180061	2353
R14856	181093	2367
R14857	182156	2384
R14858	183242	2401
R14859	184187	2416
R14860	184187	2416
R14861	184187	2416
R14862	186016	2458
R14863	186877	2477
R14864	187712	2492
R14865	188477	2506
R14866	189308	2518
R14867	189308	2518
R14868	189308	2518
R14869	190745	2558
R14870	191345	2567
R14871	192066	2584
R14872	192637	2599
R14873	193276	2604
R14874	193276	2604
R14875	193276	2604
R14876	194569	2634
R14877	195009	2641
R14878	195537	2650
R14879	195992	2662
R14880	196438	2672
R14881	196438	2672
R14882	196438	2672
R14883	197435	2692
R14884	197852	2698
R14885	198338	2701
R14886	198756	2710
R14887	199187	2714
R14888	199187	2714
R14889	199187	2714
R14890	200024	2730
R14891	200454	2737
R14892	200888	2745
R14893	201241	2756
R14894	201678	2763
R14895	201678	2763
R14896	201678	2763
R14897	202674	2782
R14898	203097	2785
R14899	203496	2793
R14900	203914	2796
R14901	204341	2800
R14902	204341	2800
R14903	204341	2800
R14904	205086	2812
R14905	205514	2820
R14906	205890	2824
R14907	206293	2829
R14908	206640	2833
R14909	206640	2833
R14910	1	
R14911	1	
R14912	1	
R14913	1	
R14914	1	
R14915	1	
R14916	5	
R14917	6	
R14918	9	
R14919	9	
R14920	14	
R14921	14	
R14922	25	
R14923	73	
R14924	80	
R14925	96	
R14926	101	
R14927	101	
R14928	165	1
R14929	168	1
R14930	179	1
R14931	190	1
R14932	194	1
R14933	218	1
R14934	245	1
R14935	261	3
R14936	323	3
R14937	349	3
R14938	384	3
R14939	444	3
R14940	444	3
R14941	533	4
R14942	574	5
R14943	626	6
R14944	638	6
R14945	638	6
R14946	654	6
R14947	688	6
R14948	801	8
R14949	847	9
R14950	847	9
R14951	916	13
R14952	952	14
R14953	1004	14
R14954	1077	14
R14955	1077	14
R14956	1150	14
R14957	1164	14
R14958	1183	14
R14959	1238	14
R14960	1275	14
R14961	1333	15
R14962	1362	15
R14963	1398	17
R14964	1432	17
R14965	1464	18
R14966	1516	18
R14967	1571	20
R14968	1602	20
R14969	1667	21
R14970	1700	21
R14971	1730	21
R14972	1857	21
R14973	1912	24
R14974	1971	24
R14975	2017	24
R14976	2061	25
R14977	2109	27
R14978	2119	28
R14979	2153	28
R14980	2231	29
R14981	2301	29
R14982	2341	29
R14983	2366	30
R14984	2376	30
R14985	2423	30
R14986	2477	30
R14987	2556	31
R14988	2641	32
R14989	2750	32
R14990	2799	33
R14991	2833	33
R14992	2951	33
R14993	3024	33
R14994	3110	35
R14995	3262	35
R14996	3431	36
R14997	3557	36
R14998	3739	36
R14999	3881	38
R15000	3995	38
R15001	4181	41
R15002	4404	41
R15003	4684	45
R15004	4848	45
R15005	5084	45
R15006	5439	46
R15007	5679	46
R15008	6063	48
R15009	6444	49
R15010	6874	49
R15011	7276	52
R15012	7492	54
R15013	7677	56
R15014	7904	58
R15015	8164	58
R15016	8334	60
R15017	8739	64
R15018	8944	66
R15019	9101	66
R15020	9214	66
R15021	9499	68
R15022	9702	68
R15023	9992	68
R15024	10244	70
R15025	10462	72
R15026	10772	74
R15027	10966	75
R15028	11194	76
R15029	11504	78
R15030	11750	79
R15031	12052	81
R15032	12443	82
R15033	12766	84
R15034	12872	84
R15035	13037	87
R15036	13403	87
R15037	13554	87
R15038	13696	87
R15039	13912	91
R15040	14119	92
R15041	14312	92
R15042	14531	93
R15043	14733	93
R15044	15001	93
R15045	15253	94
R15046	15494	94
R15047	15596	96
R15048	15655	96
R15049	15713	98
R15050	15813	99
R15051	15978	100
R15052	16047	102
R15053	16109	102
R15054	16182	102
R15055	16220	102
R15056	16293	103
R15057	16349	103
R15058	16447	103
R15059	16524	104
R15060	16620	104
R15061	16715	105
R15062	16798	105
R15063	16847	105
R15064	16847	105
R15065	16889	107
R15066	16935	108
R15067	16993	108
R15068	17026	110
R15069	17107	110
R15070	17150	110
R15071	17232	111
R15072	17249	112
R15073	17310	112
R15074	17374	113
R15075	17471	113
R15076	17506	114
R15077	17562	114
R15078	17603	114
R15079	17702	115
R15080	17797	115
R15081	17893	115
R15082	17948	115
R15083	18067	117
R15084	18103	117
R15085	18161	117
R15086	18208	119
R15087	18269	119
R15088	18472	119
R15089	18588	119
R15090	18701	119
R15091	18778	119
R15092	18815	119
R15093	18869	119
R15094	18916	119
R15095	18916	119
R15096	19013	120
R15097	19066	120
R15098	19100	120
R15099	19132	120
R15100	19158	120
R15101	19200	120
R15102	19269	120
R15103	19320	120
R15104	19327	120
R15105	19343	120
R15106	19430	120
R15107	19501	120
R15108	19556	120
R15109	19600	120
R15110	19629	120
R15111	19641	120
R15112	19669	120
R15113	19724	120
R15114	19755	120
R15115	19793	120
R15116	19849	120
R15117	19882	120
R15118	19885	120
R15119	19903	120
R15120	19935	120
R15121	19982	120
R15122	20036	120
R15123	20128	120
R15124	20154	120
R15125	20155	120
R15126	20183	120
R15127	20217	120
R15128	20257	120
R15129	20275	121
R15130	20301	121
R15131	20323	121
R15132	20324	121
R15133	20342	121
R15134	20363	121
R15135	20390	121
R15136	20405	121
R15137	20429	121
R15138	20470	122
R15139	20486	122
R15140	20488	122
R15141	20555	124
R15142	20628	124
R15143	20692	124
R15144	20716	126
R15145	20716	126
R15146	20753	126
R15147	20765	126
R15148	20778	126
R15149	20789	126
R15150	20801	126
R15151	20813	126
R15152	20832	126
R15153	20835	126
R15154	20847	126
R15155	20855	127
R15156	20882	127
R15157	20899	127
R15158	20945	127
R15159	20976	128
R15160	20988	128
R15161	21004	129
R15162	21045	129
R15163	21083	129
R15164	21099	129
R15165	21126	129
R15166	21138	131
R15167	21148	131
R15168	21156	131
R15169	21168	131
R15170	21199	131
R15171	21232	131
R15172	21261	131
R15173	21310	131
R15174	21331	132
R15175	21334	132
R15176	21361	132
R15177	21389	132
R15178	21412	132
R15179	21441	132
R15180	21485	132
R15181	21507	132
R15182	21513	132
R15183	21547	133
R15184	21590	133
R15185	21618	133
R15186	21639	133
R15187	21680	133
R15188	21705	133
R15189	21775	133
R15190	21741	133
R15191	21772	133
R15192	21845	133
R15193	21890	133
R15194	21918	133
R15195	21932	133
R15196	21942	133
R15197	21984	133
R15198	22071	133
R15199	22081	133
R15200	22081	133
R15201	22152	135
R15202	22176	137
R15203	22250	137
R15204	22366	137
R15205	22490	137
R15206	22563	138
R15207	22563	138
R15208	22648	138
R15209	22800	138
R15210	22855	138
R15211	22963	138
R15212	23173	138
R15213	23254	139
R15214	23482	139
R15215	23750	139
R15216	23894	139
R15217	24186	140
R15218	24369	140
R15219	24578	140
R15220	24856	141
R15221	24856	141
R15222	25241	141
R15223	25304	142
R15224	25383	142
R15225	25597	142
R15226	25751	142
R15227	26315	143
R15228	26612	145
R15229	26850	146
R15230	27096	146
R15231	27237	147
R15232	27455	151
R15233	27694	151
R15234	27934	152
R15235	28178	152
R15236	28399	154
R15237	28475	156
R15238	28607	158
R15239	28739	158
R15240	29102	158
R15241	29295	160
R15242	29567	162
R15243	29825	162
R15244	29967	165
R15245	29967	165
R15246	30240	169
R15247	30526	171
R15248	30717	173
R15249	30884	173
R15250	31140	174
R15251	31235	175
R15252	31365	179
R15253	31497	180
R15254	31612	183
R15255	31825	185
R15256	31914	185
R15257	32026	186
R15258	32039	188
R15259	32124	188
R15260	32295	188
R15261	32295	188
R15262	32478	190
R15263	32631	192
R15264	32754	192
R15265	32791	193
R15266	32929	193
R15267	33285	194
R15268	33976	196
R15269	34412	199
R15270	34935	200
R15271	1	
R15272	3	
R15273	3	
R15274	5	
R15275	6	
R15276	7	
R15277	7	
R15278	9	
R15279	10	
R15280	10	
R15281	11	
R15282	12	
R15283	12	
R15284	12	
R15285	14	
R15286	19	
R15287	19	
R15288	32	
R15289	38	
R15290	49	
R15291	57	
R15292	65	
R15293	81	
R15294	105	1
R15295	128	1
R15296	206	1
R15297	254	1
R15298	315	1
R15299	382	1
R15300	442	1
R15301	495	3
R15302	586	3
R15303	657	5
R15304	713	6
R15305	790	6
R15306	867	6
R15307	963	6
R15308	1011	7
R15309	1079	8
R15310	1126	12
R15311	1182	15
R15312	1222	16
R15313	1282	18
R15314	1343	19
R15315	1407	20
R15316	1495	21
R15317	1534	21
R15318	1600	23
R15319	1650	25
R15320	1704	31
R15321	1741	33
R15322	1791	35
R15323	1814	36
R15324	1832	39
R15325	1871	47
R15326	1881	47
R15327	1908	48
R15328	1950	48
R15329	1981	50
R15330	2009	51
R15331	2016	54
R15332	2030	55
R15333	2039	59
R15334	2047	63
R15335	2062	67
R15336	2076	69
R15337	2085	75
R15338	2088	77
R15339	2096	79
R15340	2101	80
R15341	2112	83
R15342	2119	85
R15343	2125	86
R15344	2161	86
R15345	2176	87
R15346	2187	90
R15347	2196	91
R15348	2207	91
R15349	2213	94
R15350	2221	94
R15351	2222	95
R15352	2224	95
R15353	2226	95
R15354	2228	95
R15355	2232	96
R15356	2234	96
R15357	2237	97
R15358	2243	99
R15359	2243	99
R15360	2244	99
R15361	2244	100
R15362	2244	101
R15363	2244	101
R15364	2245	102
R15365	2245	103
R15366	2246	103
R15367	2246	103
R15368	2246	103
R15369	2246	103
R15370	2246	103
R15371	2247	103
R15372	2247	103
R15373	2247	104
R15374	2247	104
R15375	2247	104
R15376	2247	106
R15377	2249	106
R15378	2249	106
R15379	2249	107
R15380	2251	107
R15381	2252	107
R15382	2254	107
R15383	2255	107
R15384	2258	107
R15385	2269	107
R15386	2280	107
R15387	2299	107
R15388	2317	107
R15389	2336	107
R15390	2366	107
R15391	2388	107
R15392	2483	107
R15393	2539	107
R15394	2624	107
R15395	2691	107
R15396	2725	107
R15397	2777	107
R15398	2831	108
R15399	2912	110
R15400	3008	112
R15401	3094	113
R15402	3151	113
R15403	3220	113
R15404	3272	113
R15405	3325	114
R15406	3416	115
R15407	3532	117
R15408	3672	118
R15409	3722	119
R15410	3775	119
R15411	3827	120
R15412	3953	120
R15413	4039	120
R15414	4137	120
R15415	4253	120
R15416	4345	120
R15417	4370	122
R15418	4422	123
R15419	4530	125
R15420	4634	128
R15421	4715	128
R15422	4792	133
R15423	4857	136
R15424	4881	139
R15425	4923	140
R15426	4993	141
R15427	5071	144
R15428	5139	145
R15429	5224	145
R15430	5260	149
R15431	5294	153
R15432	5318	154
R15433	5376	154
R15434	5404	155
R15435	5466	155
R15436	5543	157
R15437	5604	157
R15438	5649	158
R15439	5740	160
R15440	5870	160
R15441	6050	161
R15442	6258	163
R15443	6420	165
R15444	6571	166
R15445	6656	166
R15446	6855	166
R15447	7074	168
R15448	7329	168
R15449	7594	169
R15450	7900	170
R15451	8175	171
R15452	8311	173
R15453	8530	175
R15454	8888	175
R15455	9192	177
R15456	9549	180
R15457	9861	183
R15458	10123	184
R15459	10269	186
R15460	10414	187
R15461	10725	191
R15462	11094	194
R15463	11428	195
R15464	11739	197
R15465	11964	198
R15466	12081	201
R15467	12285	203
R15468	12626	206
R15469	12917	208
R15470	13107	211
R15471	13368	218
R15472	13533	224
R15473	13598	227
R15474	13749	230
R15475	14029	236
R15476	14279	238
R15477	14513	244
R15478	14725	244
R15479	14922	248
R15480	14992	253
R15481	15136	255
R15482	15340	257
R15483	15572	261
R15484	15795	266
R15485	16007	269
R15486	16197	272
R15487	16245	272
R15488	16380	275
R15489	16593	280
R15490	16827	284
R15491	17160	291
R15492	17401	293
R15493	17659	298
R15494	17797	300
R15495	18084	304
R15496	18447	309
R15497	18989	310
R15498	19446	313
R15499	19932	317
R15500	20440	324
R15501	20621	327
R15502	20993	330
R15503	21741	334
R15504	22534	344
R15505	23665	345
R15506	24761	355
R15507	25580	363
R15508	25973	374
R15509	26863	382
R15510	28287	393
R15511	29850	406
R15512	31717	413
R15513	33959	429
R15514	36380	437
R15515	37208	452
R15516	38621	470
R15517	40999	493
R15518	43775	511
R15519	46547	531
R15520	49316	546
R15521	51495	562
R15522	52660	594
R15523	54087	628
R15524	56567	654
R15525	59415	683
R15526	62305	717
R15527	64704	752
R15528	67247	794
R15529	68776	832
R15530	70243	865
R15531	72840	893
R15532	75922	925
R15533	78978	968
R15534	81844	1006
R15535	84206	1049
R15536	85519	1082
R15537	87464	1113
R15538	90715	1151
R15539	93879	1200
R15540	96837	1257
R15541	100410	1304
R15542	103718	1353
R15543	105691	1398
R15544	108014	1445
R15545	111617	1501
R15546	115626	1552
R15547	119706	1600
R15548	123693	1655
R15549	126612	1712
R15550	128442	1786
R15551	131342	1861
R15552	134881	1916
R15553	139415	1964
R15554	143370	2032
R15555	147454	2102
R15556	150353	2174
R15557	152239	2233
R15558	154852	2298
R15559	159372	2367
R15560	163992	2420
R15561	168388	2484
R15562	172523	2562
R15563	175886	2640
R15564	177358	2705
R15565	179718	2778
R15566	183045	2870
R15567	186963	2955
R15568	190235	3023
R15569	192987	3101
R15570	194962	3177
R15571	195728	3257
R15572	197323	3328
R15573	200086	3394
R15574	202319	3464
R15575	203962	3548
R15576	204312	3613
R15577	204930	3671
R15578	205246	3739
R15579	206596	3795
R15580	208446	3860
R15581	210837	3920
R15582	212007	3961
R15583	212262	4016
R15584	212958	4072
R15585	213319	4126
R15586	214390	4179
R15587	216286	4223
R15588	216848	4266
R15589	217946	4304
R15590	219347	4342
R15591	219993	4368
R15592	220223	4403
R15593	220982	4446
R15594	222117	4472
R15595	223097	4517
R15596	223812	4550
R15597	224575	4588
R15598	224954	4616
R15599	225128	4655
R15600	225648	4684
R15601	226550	4711
R15602	227326	4738
R15603	227969	4770
R15604	228568	4799
R15605	228920	4827
R15606	229054	4859
R15607	229502	4882
R15608	230359	4913
R15609	230978	4943
R15610	231539	4972
R15611	232090	4998
R15612	232426	5027
R15613	232520	5054
R15614	232907	5071
R15615	233637	5088
R15616	234153	5106
R15617	234702	5122
R15618	235126	5144
R15619	235402	5169
R15620	235473	5198
R15621	235756	5224
R15622	236333	5238
R15623	236709	5263
R15624	237080	5282
R15625	237459	5299
R15626	237657	5318
R15627	237725	5339
R15628	237999	5357
R15629	238501	5375
R15630	238866	5399
R15631	239254	5407
R15632	239685	5420
R15633	239945	5429
R15634	240017	5449
R15635	240360	5462
R15636	241048	5477
R15637	241592	5489
R15638	242097	5503
R15639	242617	5511
R15640	242973	5526
R15641	243064	5537
R15642	243458	5548
R15643	244205	5555
R15644	244872	5564
R15645	245462	5570
R15646	246120	5585
R15647	3	
R15648	4	
R15649	4	
R15650	4	
R15651	4	
R15652	5	
R15653	7	1
R15654	11	1
R15655	16	1
R15656	21	1
R15657	35	1
R15658	40	1
R15659	48	1
R15660	57	1
R15661	67	2
R15662	80	2
R15663	119	3
R15664	139	3
R15665	170	4
R15666	186	6
R15667	212	6
R15668	233	6
R15669	269	6
R15670	288	6
R15671	320	8
R15672	350	9
R15673	396	11
R15674	457	12
R15675	515	15
R15676	564	15
R15677	620	16
R15678	669	18
R15679	726	21
R15680	766	21
R15681	814	24
R15682	862	27
R15683	923	31
R15684	986	32
R15685	1035	34
R15686	1087	36
R15687	1137	38
R15688	1189	40
R15689	1235	43
R15690	1285	49
R15691	1337	51
R15692	1369	54
R15693	1389	56
R15694	1437	58
R15695	1467	58
R15696	1501	61
R15697	1537	64
R15698	1611	66
R15699	1649	67
R15700	1668	69
R15701	1685	69
R15702	1703	69
R15703	1729	73
R15704	1741	74
R15705	1754	74
R15706	1766	77
R15707	1783	77
R15708	1804	78
R15709	1810	79
R15710	1830	79
R15711	1840	79
R15712	1862	79
R15713	1872	79
R15714	1881	79
R15715	1887	79
R15716	1900	79
R15717	1908	80
R15718	1916	81
R15719	1931	81
R15720	1941	82
R15721	1947	82
R15722	1963	82
R15723	1974	82
R15724	1983	82
R15725	2005	82
R15726	2025	83
R15727	2045	83
R15728	2083	83
R15729	2092	83
R15730	2107	83
R15731	2119	83
R15732	2133	83
R15733	2173	83
R15734	2191	83
R15735	2200	83
R15736	2205	83
R15737	2211	83
R15738	2219	84
R15739	2233	84
R15740	2238	84
R15741	2248	84
R15742	2262	84
R15743	2273	84
R15744	2280	84
R15745	2295	85
R15746	2305	85
R15747	2309	85
R15748	2312	85
R15749	2315	85
R15750	2318	85
R15751	2319	85
R15752	2321	85
R15753	2325	85
R15754	2330	86
R15755	2332	86
R15756	2340	86
R15757	2341	86
R15758	2348	86
R15759	2353	86
R15760	2361	86
R15761	2369	86
R15762	2372	86
R15763	2380	86
R15764	2395	86
R15765	2399	86
R15766	2403	86
R15767	2413	86
R15768	2420	87
R15769	2426	87
R15770	2428	87
R15771	2432	87
R15772	2438	87
R15773	2440	87
R15774	2444	87
R15775	2445	87
R15776	2446	87
R15777	2446	87
R15778	2449	87
R15779	2462	87
R15780	2466	87
R15781	2469	87
R15782	2478	87
R15783	2495	87
R15784	2532	87
R15785	2555	87
R15786	2588	87
R15787	2597	87
R15788	2608	87
R15789	2633	87
R15790	2646	87
R15791	2670	87
R15792	2701	88
R15793	2726	88
R15794	2775	88
R15795	2829	88
R15796	2888	88
R15797	2953	88
R15798	3046	88
R15799	3093	88
R15800	3128	88
R15801	3174	89
R15802	3229	88
R15803	3292	88
R15804	3316	88
R15805	3364	88
R15806	3408	88
R15807	3482	88
R15808	3565	88
R15809	3582	89
R15810	3617	89
R15811	3682	91
R15812	3717	91
R15813	3744	91
R15814	3759	92
R15815	3806	92
R15816	3866	92
R15817	3925	94
R15818	3973	94
R15819	4032	94
R15820	4065	95
R15821	4126	98
R15822	4214	100
R15823	4266	100
R15824	4298	100
R15825	4309	101
R15826	4352	102
R15827	4377	104
R15828	4459	104
R15829	4551	106
R15830	4593	106
R15831	4653	108
R15832	4684	108
R15833	4726	108
R15834	4803	108
R15835	4876	109
R15836	4933	109
R15837	5004	111
R15838	5055	113
R15839	5091	115
R15840	5141	116
R15841	5222	117
R15842	5270	118
R15843	5310	118
R15844	5350	118
R15845	5412	120
R15846	5457	122
R15847	5483	122
R15848	5531	122
R15849	5597	122
R15850	5670	122
R15851	5718	122
R15852	5780	122
R15853	5809	122
R15854	5845	123
R15855	5883	123
R15856	5898	123
R15857	5917	123
R15858	5943	123
R15859	5948	123
R15860	5978	123
R15861	6000	123
R15862	6017	123
R15863	6035	123
R15864	6062	123
R15865	6118	124
R15866	6170	125
R15867	6220	125
R15868	6258	127
R15869	6305	127
R15870	6368	127
R15871	6421	128
R15872	6479	128
R15873	6534	128
R15874	6566	128
R15875	6595	128
R15876	6678	128
R15877	6727	128
R15878	6766	128
R15879	6801	128
R15880	6887	128
R15881	6935	128
R15882	6970	129
R15883	7035	129
R15884	7144	129
R15885	7184	129
R15886	7228	130
R15887	7267	130
R15888	7297	130
R15889	7349	130
R15890	7392	130
R15891	7429	130
R15892	7487	131
R15893	7541	131
R15894	7568	131
R15895	7590	131
R15896	7639	131
R15897	7667	131
R15898	7704	131
R15899	7725	131
R15900	7763	131
R15901	7798	132
R15902	7846	132
R15903	7879	132
R15904	7950	133
R15905	8026	133
R15906	8075	133
R15907	8110	133
R15908	8173	133
R15909	8233	134
R15910	8284	135
R15911	8381	136
R15912	8456	136
R15913	8531	136
R15914	8610	136
R15915	8714	136
R15916	8782	136
R15917	8906	136
R15918	8982	136
R15919	9106	136
R15920	9181	136
R15921	9267	136
R15922	9354	137
R15923	9423	137
R15924	9492	137
R15925	9588	137
R15926	9671	137
R15927	9771	137
R15928	9893	137
R15929	10024	137
R15930	10127	137
R15931	10242	137
R15932	10384	139
R15933	10500	139
